lineup_size,team_name,lineup_player_ids,lineup_player_names,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,PTS_allowed,PTS_allowed_per_game,PTS_allowed_per100,PTS_allowed_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,ORB_allowed,ORB_allowed_per_game,ORB_allowed_per100,ORB_allowed_per36,DRB_allowed,DRB_allowed_per_game,DRB_allowed_per100,DRB_allowed_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PACE,PM_total,PM_per_game,PM_per100,MIN_total,MIN_per_game,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,ORB_pct,DRB_pct,TRB_pct,STL_pct,BLK_pct,Foul_per_poss,FT_allowed_rate_per100,FT_rate
2,桃園台啤永豐雲豹,54|58,高錦瑋/林信寬,2,219,260.0,3683.59,61.39,61:24,1841.79,30.7,30:42,119.0,59.5,45.77,69.78,102.0,51.0,39.23,59.81,91.0,45.5,35.0,53.36,43.0,21.5,16.54,25.21,57.0,28.5,21.92,33.42,28.0,14.0,10.77,16.42,34.0,17.0,13.08,19.94,15.0,7.5,5.77,8.8,22.0,11.0,8.46,12.9,18.0,9.0,6.92,10.55,10.0,5.0,3.85,5.86,34.0,17.0,13.08,19.94,18.0,9.0,6.92,10.55,45.0,22.5,17.31,26.39,23.0,11.5,8.85,13.49,24.0,12.0,9.23,14.07,5.0,2.5,1.92,2.93,7.0,3.5,2.69,4.1,30.0,15.0,11.54,17.59,30.0,15.0,11.54,17.59,45.77,39.23,6.54,101.64,17.0,8.5,6.54,61.39,30.7,0.55,0.59,0.49,0.44,0.82,0.19,0.56,0.18,0.65,0.41,1.92,2.69,0.12,11.54,0.24
2,桃園台啤永豐雲豹,54|68,高錦瑋/克羅馬,2,247,291.0,4291.86,71.53,71:32,2145.93,35.77,35:46,131.0,65.5,45.02,65.93,113.0,56.5,38.83,56.87,105.0,52.5,36.08,52.84,49.0,24.5,16.84,24.66,63.0,31.5,21.65,31.71,31.0,15.5,10.65,15.6,42.0,21.0,14.43,21.14,18.0,9.0,6.19,9.06,17.0,8.5,5.84,8.56,14.0,7.0,4.81,7.05,14.0,7.0,4.81,7.05,39.0,19.5,13.4,19.63,16.0,8.0,5.5,8.05,53.0,26.5,18.21,26.67,27.0,13.5,9.28,13.59,30.0,15.0,10.31,15.1,6.0,3.0,2.06,3.02,7.0,3.5,2.41,3.52,30.0,15.0,10.31,15.1,34.0,17.0,11.68,17.11,45.02,38.83,6.19,97.64,18.0,9.0,6.19,71.53,35.77,0.55,0.58,0.49,0.43,0.82,0.19,0.61,0.21,0.71,0.43,2.06,2.41,0.1,11.68,0.16
2,桃園台啤永豐雲豹,54|69,高錦瑋/威廉斯,2,213,248.0,3865.73,64.43,64:26,1932.86,32.21,32:13,116.0,58.0,46.77,64.82,95.0,47.5,38.31,53.08,88.0,44.0,35.48,49.17,41.0,20.5,16.53,22.91,49.0,24.5,19.76,27.38,24.0,12.0,9.68,13.41,39.0,19.5,15.73,21.79,17.0,8.5,6.85,9.5,20.0,10.0,8.06,11.18,17.0,8.5,6.85,9.5,8.0,4.0,3.23,4.47,34.0,17.0,13.71,19.0,18.0,9.0,7.26,10.06,50.0,25.0,20.16,27.94,21.0,10.5,8.47,11.73,26.0,13.0,10.48,14.53,5.0,2.5,2.02,2.79,5.0,2.5,2.02,2.79,24.0,12.0,9.68,13.41,20.0,10.0,8.06,11.18,46.77,38.31,8.47,92.38,21.0,10.5,8.47,64.43,32.21,0.56,0.6,0.49,0.44,0.85,0.18,0.63,0.14,0.65,0.38,2.02,2.02,0.1,8.06,0.23
2,桃園台啤永豐雲豹,54|3129,高錦瑋/董永全,2,167,198.0,3031.12,50.52,50:31,1515.56,25.26,25:16,97.0,48.5,48.99,69.12,80.0,40.0,40.4,57.01,67.0,33.5,33.84,47.74,32.0,16.0,16.16,22.8,34.0,17.0,17.17,24.23,16.0,8.0,8.08,11.4,33.0,16.5,16.67,23.52,16.0,8.0,8.08,11.4,19.0,9.5,9.6,13.54,17.0,8.5,8.59,12.11,8.0,4.0,4.04,5.7,23.0,11.5,11.62,16.39,15.0,7.5,7.58,10.69,37.0,18.5,18.69,26.37,18.0,9.0,9.09,12.83,21.0,10.5,10.61,14.96,3.0,1.5,1.52,2.14,5.0,2.5,2.53,3.56,23.0,11.5,11.62,16.39,13.0,6.5,6.57,9.26,48.99,40.4,8.59,94.06,17.0,8.5,8.59,50.52,25.26,0.6,0.64,0.47,0.48,0.89,0.19,0.66,0.18,0.61,0.37,1.52,2.53,0.12,6.57,0.28
2,桃園台啤永豐雲豹,58|68,林信寬/克羅馬,2,237,279.0,3879.53,64.66,64:40,1939.76,32.33,32:20,126.0,63.0,45.16,70.15,105.0,52.5,37.63,58.46,95.0,47.5,34.05,52.89,43.0,21.5,15.41,23.94,61.0,30.5,21.86,33.96,28.0,14.0,10.04,15.59,34.0,17.0,12.19,18.93,15.0,7.5,5.38,8.35,31.0,15.5,11.11,17.26,25.0,12.5,8.96,13.92,12.0,6.0,4.3,6.68,36.0,18.0,12.9,20.04,16.0,8.0,5.73,8.91,49.0,24.5,17.56,27.28,27.0,13.5,9.68,15.03,25.0,12.5,8.96,13.92,7.0,3.5,2.51,3.9,7.0,3.5,2.51,3.9,31.0,15.5,11.11,17.26,28.0,14.0,10.04,15.59,45.16,37.63,7.53,103.56,21.0,10.5,7.53,64.66,32.33,0.53,0.58,0.46,0.44,0.81,0.2,0.58,0.2,0.69,0.42,2.51,2.51,0.11,10.04,0.33
2,桃園台啤永豐雲豹,58|69,林信寬/威廉斯,2,190,226.0,3292.44,54.87,54:52,1646.22,27.44,27:26,106.0,53.0,46.9,69.54,86.0,43.0,38.05,56.42,77.0,38.5,34.07,50.52,36.0,18.0,15.93,23.62,46.0,23.0,20.35,30.18,23.0,11.5,10.18,15.09,31.0,15.5,13.72,20.34,13.0,6.5,5.75,8.53,27.0,13.5,11.95,17.71,21.0,10.5,9.29,13.78,9.0,4.5,3.98,5.9,26.0,13.0,11.5,17.06,18.0,9.0,7.96,11.81,42.0,21.0,18.58,27.55,20.0,10.0,8.85,13.12,22.0,11.0,9.73,14.43,4.0,2.0,1.77,2.62,5.0,2.5,2.21,3.28,24.0,12.0,10.62,15.75,17.0,8.5,7.52,11.15,46.9,38.05,8.85,98.84,20.0,10.0,8.85,54.87,27.44,0.55,0.6,0.5,0.42,0.78,0.18,0.61,0.18,0.59,0.37,1.77,2.21,0.11,7.52,0.35
2,桃園台啤永豐雲豹,58|3129,林信寬/董永全,2,147,178.0,2620.3,43.67,43:40,1310.15,21.84,21:50,90.0,45.0,50.56,74.19,71.0,35.5,39.89,58.53,59.0,29.5,33.15,48.64,29.0,14.5,16.29,23.91,33.0,16.5,18.54,27.2,16.0,8.0,8.99,13.19,26.0,13.0,14.61,21.43,13.0,6.5,7.3,10.72,24.0,12.0,13.48,19.78,19.0,9.5,10.67,15.66,9.0,4.5,5.06,7.42,16.0,8.0,8.99,13.19,14.0,7.0,7.87,11.54,31.0,15.5,17.42,25.55,16.0,8.0,8.99,13.19,19.0,9.5,10.67,15.66,2.0,1.0,1.12,1.65,5.0,2.5,2.81,4.12,23.0,11.5,12.92,18.96,10.0,5.0,5.62,8.24,50.56,39.89,10.67,97.82,19.0,9.5,10.67,43.67,21.84,0.6,0.65,0.48,0.5,0.79,0.19,0.66,0.22,0.53,0.36,1.12,2.81,0.13,5.62,0.41
2,桃園台啤永豐雲豹,68|69,克羅馬/威廉斯,2,193,226.0,3490.08,58.17,58:10,1745.04,29.08,29:05,104.0,52.0,46.02,64.37,88.0,44.0,38.94,54.46,80.0,40.0,35.4,49.51,37.0,18.5,16.37,22.9,46.0,23.0,20.35,28.47,22.0,11.0,9.73,13.62,34.0,17.0,15.04,21.04,15.0,7.5,6.64,9.28,20.0,10.0,8.85,12.38,15.0,7.5,6.64,9.28,10.0,5.0,4.42,6.19,28.0,14.0,12.39,17.33,14.0,7.0,6.19,8.66,44.0,22.0,19.47,27.23,22.0,11.0,9.73,13.62,24.0,12.0,10.62,14.85,5.0,2.5,2.21,3.09,5.0,2.5,2.21,3.09,22.0,11.0,9.73,13.62,15.0,7.5,6.64,9.28,46.02,38.94,7.08,93.25,16.0,8.0,7.08,58.17,29.08,0.56,0.59,0.48,0.44,0.75,0.2,0.65,0.19,0.67,0.4,2.21,2.21,0.1,6.64,0.25
2,桃園台啤永豐雲豹,68|3129,克羅馬/董永全,2,156,188.0,2821.7,47.03,47:02,1410.85,23.51,23:31,89.0,44.5,47.34,68.13,77.0,38.5,40.96,58.94,62.0,31.0,32.98,47.46,29.0,14.5,15.43,22.2,33.0,16.5,17.55,25.26,15.0,7.5,7.98,11.48,29.0,14.5,15.43,22.2,14.0,7.0,7.45,10.72,24.0,12.0,12.77,18.37,18.0,9.0,9.57,13.78,10.0,5.0,5.32,7.65,19.0,9.5,10.11,14.54,14.0,7.0,7.45,10.72,33.0,16.5,17.55,25.26,19.0,9.5,10.11,14.54,20.0,10.0,10.64,15.31,3.0,1.5,1.6,2.3,5.0,2.5,2.66,3.83,23.0,11.5,12.23,17.61,10.0,5.0,5.32,7.65,47.34,40.96,6.38,95.94,12.0,6.0,6.38,47.03,23.51,0.58,0.61,0.45,0.48,0.75,0.21,0.69,0.23,0.58,0.38,1.6,2.66,0.12,5.32,0.39
2,桃園台啤永豐雲豹,69|3129,威廉斯/董永全,2,176,211.0,3155.56,52.59,52:36,1577.78,26.3,26:18,100.0,50.0,47.39,68.45,79.0,39.5,37.44,54.08,72.0,36.0,34.12,49.28,33.0,16.5,15.64,22.59,38.0,19.0,18.01,26.01,18.0,9.0,8.53,12.32,34.0,17.0,16.11,23.27,15.0,7.5,7.11,10.27,24.0,12.0,11.37,16.43,19.0,9.5,9.0,13.01,10.0,5.0,4.74,6.85,24.0,12.0,11.37,16.43,17.0,8.5,8.06,11.64,40.0,20.0,18.96,27.38,18.0,9.0,8.53,12.32,22.0,11.0,10.43,15.06,3.0,1.5,1.42,2.05,5.0,2.5,2.37,3.42,22.0,11.0,10.43,15.06,13.0,6.5,6.16,8.9,47.39,37.44,9.95,96.29,21.0,10.5,9.95,52.59,26.3,0.56,0.61,0.47,0.44,0.79,0.18,0.67,0.2,0.59,0.37,1.42,2.37,0.1,6.16,0.33
