lineup_size,team_name,lineup_player_ids,lineup_player_names,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,PTS_allowed,PTS_allowed_per_game,PTS_allowed_per100,PTS_allowed_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,ORB_allowed,ORB_allowed_per_game,ORB_allowed_per100,ORB_allowed_per36,DRB_allowed,DRB_allowed_per_game,DRB_allowed_per100,DRB_allowed_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PACE,PM_total,PM_per_game,PM_per100,MIN_total,MIN_per_game,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,ORB_pct,DRB_pct,TRB_pct,STL_pct,BLK_pct,Foul_per_poss,FT_allowed_rate_per100,FT_rate
3,桃園台啤永豐雲豹,54|58|68,高錦瑋/林信寬/克羅馬,2,205,242.0,3470.49,57.84,57:50,1735.25,28.92,28:55,111.0,55.5,45.87,69.09,97.0,48.5,40.08,60.37,86.0,43.0,35.54,53.53,41.0,20.5,16.94,25.52,54.0,27.0,22.31,33.61,26.0,13.0,10.74,16.18,32.0,16.0,13.22,19.92,15.0,7.5,6.2,9.34,17.0,8.5,7.02,10.58,14.0,7.0,5.79,8.71,10.0,5.0,4.13,6.22,32.0,16.0,13.22,19.92,14.0,7.0,5.79,8.71,41.0,20.5,16.94,25.52,23.0,11.5,9.5,14.31,23.0,11.5,9.5,14.31,5.0,2.5,2.07,3.11,7.0,3.5,2.89,4.36,27.0,13.5,11.16,16.8,26.0,13.0,10.74,16.18,45.87,40.08,5.79,100.41,14.0,7.0,5.79,57.84,28.92,0.56,0.59,0.48,0.47,0.82,0.2,0.56,0.2,0.7,0.43,2.07,2.89,0.11,10.74,0.2
3,桃園台啤永豐雲豹,54|58|69,高錦瑋/林信寬/威廉斯,2,171,201.0,3004.47,50.07,50:04,1502.23,25.04,25:02,96.0,48.0,47.76,69.02,82.0,41.0,40.8,58.95,70.0,35.0,34.83,50.33,34.0,17.0,16.92,24.44,41.0,20.5,20.4,29.48,21.0,10.5,10.45,15.1,29.0,14.5,14.43,20.85,13.0,6.5,6.47,9.35,18.0,9.0,8.96,12.94,15.0,7.5,7.46,10.78,7.0,3.5,3.48,5.03,24.0,12.0,11.94,17.25,16.0,8.0,7.96,11.5,38.0,19.0,18.91,27.32,18.0,9.0,8.96,12.94,20.0,10.0,9.95,14.38,4.0,2.0,1.99,2.88,5.0,2.5,2.49,3.59,22.0,11.0,10.95,15.82,17.0,8.5,8.46,12.22,47.76,40.8,6.97,96.34,14.0,7.0,6.97,50.07,25.04,0.58,0.62,0.51,0.45,0.83,0.19,0.59,0.16,0.6,0.36,1.99,2.49,0.11,8.46,0.26
3,桃園台啤永豐雲豹,54|58|3129,高錦瑋/林信寬/董永全,2,131,157.0,2384.86,39.75,39:45,1192.43,19.87,19:52,82.0,41.0,52.23,74.27,67.0,33.5,42.68,60.68,52.0,26.0,33.12,47.1,27.0,13.5,17.2,24.45,28.0,14.0,17.83,25.36,14.0,7.0,8.92,12.68,24.0,12.0,15.29,21.74,13.0,6.5,8.28,11.77,17.0,8.5,10.83,15.4,15.0,7.5,9.55,13.59,7.0,3.5,4.46,6.34,14.0,7.0,8.92,12.68,13.0,6.5,8.28,11.77,28.0,14.0,17.83,25.36,15.0,7.5,9.55,13.59,17.0,8.5,10.83,15.4,2.0,1.0,1.27,1.81,5.0,2.5,3.18,4.53,21.0,10.5,13.38,19.02,10.0,5.0,6.37,9.06,52.23,42.68,9.55,94.8,15.0,7.5,9.55,39.75,19.87,0.64,0.69,0.5,0.54,0.88,0.2,0.63,0.2,0.52,0.34,1.27,3.18,0.13,6.37,0.33
3,桃園台啤永豐雲豹,54|68|69,高錦瑋/克羅馬/威廉斯,2,178,207.0,3269.63,54.49,54:30,1634.82,27.25,27:15,96.0,48.0,46.38,63.42,84.0,42.0,40.58,55.49,73.0,36.5,35.27,48.23,35.0,17.5,16.91,23.12,41.0,20.5,19.81,27.09,20.0,10.0,9.66,13.21,32.0,16.0,15.46,21.14,15.0,7.5,7.25,9.91,13.0,6.5,6.28,8.59,11.0,5.5,5.31,7.27,8.0,4.0,3.86,5.28,26.0,13.0,12.56,17.18,13.0,6.5,6.28,8.59,41.0,20.5,19.81,27.09,21.0,10.5,10.14,13.87,22.0,11.0,10.63,14.53,5.0,2.5,2.42,3.3,5.0,2.5,2.42,3.3,20.0,10.0,9.66,13.21,15.0,7.5,7.25,9.91,46.38,40.58,5.8,91.17,12.0,6.0,5.8,54.49,27.25,0.58,0.61,0.49,0.47,0.85,0.21,0.63,0.16,0.67,0.39,2.42,2.42,0.1,7.25,0.18
3,桃園台啤永豐雲豹,54|68|3129,高錦瑋/克羅馬/董永全,2,141,169.0,2601.02,43.35,43:21,1300.51,21.68,21:41,81.0,40.5,47.93,67.27,73.0,36.5,43.2,60.62,55.0,27.5,32.54,45.67,27.0,13.5,15.98,22.42,28.0,14.0,16.57,23.25,13.0,6.5,7.69,10.8,27.0,13.5,15.98,22.42,14.0,7.0,8.28,11.63,15.0,7.5,8.88,12.46,13.0,6.5,7.69,10.8,8.0,4.0,4.73,6.64,17.0,8.5,10.06,14.12,13.0,6.5,7.69,10.8,30.0,15.0,17.75,24.91,18.0,9.0,10.65,14.95,18.0,9.0,10.65,14.95,3.0,1.5,1.78,2.49,5.0,2.5,2.96,4.15,21.0,10.5,12.43,17.44,10.0,5.0,5.92,8.3,47.93,43.2,4.73,93.56,8.0,4.0,4.73,43.35,21.68,0.62,0.66,0.46,0.52,0.87,0.23,0.67,0.21,0.57,0.37,1.78,2.96,0.12,5.92,0.27
3,桃園台啤永豐雲豹,54|69|3129,高錦瑋/威廉斯/董永全,2,159,188.0,2905.12,48.42,48:25,1452.56,24.21,24:13,92.0,46.0,48.94,68.4,75.0,37.5,39.89,55.76,65.0,32.5,34.57,48.33,31.0,15.5,16.49,23.05,33.0,16.5,17.55,24.54,16.0,8.0,8.51,11.9,32.0,16.0,17.02,23.79,15.0,7.5,7.98,11.15,17.0,8.5,9.04,12.64,15.0,7.5,7.98,11.15,8.0,4.0,4.26,5.95,22.0,11.0,11.7,16.36,15.0,7.5,7.98,11.15,37.0,18.5,19.68,27.51,17.0,8.5,9.04,12.64,20.0,10.0,10.64,14.87,3.0,1.5,1.6,2.23,5.0,2.5,2.66,3.72,20.0,10.0,10.64,14.87,13.0,6.5,6.91,9.67,48.94,39.89,9.04,93.19,17.0,8.5,9.04,48.42,24.21,0.59,0.63,0.48,0.47,0.88,0.19,0.65,0.18,0.59,0.37,1.6,2.66,0.11,6.91,0.26
3,桃園台啤永豐雲豹,58|68|69,林信寬/克羅馬/威廉斯,2,172,202.0,3011.81,50.2,50:12,1505.91,25.1,25:06,96.0,48.0,47.52,68.85,81.0,40.5,40.1,58.09,72.0,36.0,35.64,51.64,34.0,17.0,16.83,24.38,43.0,21.5,21.29,30.84,21.0,10.5,10.4,15.06,29.0,14.5,14.36,20.8,13.0,6.5,6.44,9.32,20.0,10.0,9.9,14.34,15.0,7.5,7.43,10.76,9.0,4.5,4.46,6.45,24.0,12.0,11.88,17.21,13.0,6.5,6.44,9.32,37.0,18.5,18.32,26.54,19.0,9.5,9.41,13.63,21.0,10.5,10.4,15.06,4.0,2.0,1.98,2.87,5.0,2.5,2.48,3.59,21.0,10.5,10.4,15.06,13.0,6.5,6.44,9.32,47.52,40.1,7.43,96.58,15.0,7.5,7.43,50.2,25.1,0.56,0.59,0.49,0.45,0.75,0.19,0.62,0.2,0.65,0.4,1.98,2.48,0.1,6.44,0.28
3,桃園台啤永豐雲豹,58|68|3129,林信寬/克羅馬/董永全,2,141,170.0,2558.2,42.64,42:38,1279.1,21.32,21:19,86.0,43.0,50.59,72.61,70.0,35.0,41.18,59.1,57.0,28.5,33.53,48.13,28.0,14.0,16.47,23.64,32.0,16.0,18.82,27.02,15.0,7.5,8.82,12.67,25.0,12.5,14.71,21.11,13.0,6.5,7.65,10.98,22.0,11.0,12.94,18.58,17.0,8.5,10.0,14.35,9.0,4.5,5.29,7.6,16.0,8.0,9.41,13.51,13.0,6.5,7.65,10.98,29.0,14.5,17.06,24.49,16.0,8.0,9.41,13.51,19.0,9.5,11.18,16.04,2.0,1.0,1.18,1.69,5.0,2.5,2.94,4.22,22.0,11.0,12.94,18.58,8.0,4.0,4.71,6.75,50.59,41.18,9.41,95.69,16.0,8.0,9.41,42.64,21.32,0.61,0.64,0.47,0.52,0.77,0.19,0.68,0.24,0.55,0.37,1.18,2.94,0.13,4.71,0.39
3,桃園台啤永豐雲豹,58|69|3129,林信寬/威廉斯/董永全,2,139,168.0,2494.3,41.57,41:34,1247.15,20.79,20:47,85.0,42.5,50.6,73.61,66.0,33.0,39.29,57.15,57.0,28.5,33.93,49.36,28.0,14.0,16.67,24.25,32.0,16.0,19.05,27.71,16.0,8.0,9.52,13.86,25.0,12.5,14.88,21.65,12.0,6.0,7.14,10.39,22.0,11.0,13.1,19.05,17.0,8.5,10.12,14.72,9.0,4.5,5.36,7.79,15.0,7.5,8.93,12.99,14.0,7.0,8.33,12.12,31.0,15.5,18.45,26.85,15.0,7.5,8.93,12.99,18.0,9.0,10.71,15.59,2.0,1.0,1.19,1.73,5.0,2.5,2.98,4.33,20.0,10.0,11.9,17.32,10.0,5.0,5.95,8.66,50.6,39.29,11.31,96.99,19.0,9.5,11.31,41.57,20.79,0.6,0.64,0.5,0.48,0.77,0.18,0.64,0.22,0.52,0.35,1.19,2.98,0.12,5.95,0.39
3,桃園台啤永豐雲豹,68|69|3129,克羅馬/威廉斯/董永全,2,148,178.0,2695.47,44.92,44:55,1347.73,22.46,22:28,84.0,42.0,47.19,67.31,72.0,36.0,40.45,57.7,60.0,30.0,33.71,48.08,28.0,14.0,15.73,22.44,32.0,16.0,17.98,25.64,15.0,7.5,8.43,12.02,28.0,14.0,15.73,22.44,13.0,6.5,7.3,10.42,20.0,10.0,11.24,16.03,15.0,7.5,8.43,12.02,10.0,5.0,5.62,8.01,18.0,9.0,10.11,14.42,14.0,7.0,7.87,11.22,33.0,16.5,18.54,26.44,18.0,9.0,10.11,14.42,19.0,9.5,10.67,15.23,3.0,1.5,1.69,2.4,5.0,2.5,2.81,4.01,20.0,10.0,11.24,16.03,10.0,5.0,5.62,8.01,47.19,40.45,6.74,95.09,12.0,6.0,6.74,44.92,22.46,0.57,0.61,0.47,0.46,0.75,0.21,0.68,0.23,0.56,0.37,1.69,2.81,0.11,5.62,0.33
