lineup_size,team_name,lineup_player_ids,lineup_player_names,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,PTS_allowed,PTS_allowed_per_game,PTS_allowed_per100,PTS_allowed_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,ORB_allowed,ORB_allowed_per_game,ORB_allowed_per100,ORB_allowed_per36,DRB_allowed,DRB_allowed_per_game,DRB_allowed_per100,DRB_allowed_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PACE,PM_total,PM_per_game,PM_per100,MIN_total,MIN_per_game,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,ORB_pct,DRB_pct,TRB_pct,STL_pct,BLK_pct,Foul_per_poss,FT_allowed_rate_per100,FT_rate
5,桃園台啤永豐雲豹,54|58|68|69|3129,高錦瑋/林信寬/克羅馬/威廉斯/董永全,2,118,141.0,2211.76,36.86,36:52,1105.88,18.43,18:26,73.0,36.5,51.77,71.29,61.0,30.5,43.26,59.57,48.0,24.0,34.04,46.88,25.0,12.5,17.73,24.41,26.0,13.0,18.44,25.39,13.0,6.5,9.22,12.7,22.0,11.0,15.6,21.49,12.0,6.0,8.51,11.72,13.0,6.5,9.22,12.7,11.0,5.5,7.8,10.74,7.0,3.5,4.96,6.84,13.0,6.5,9.22,12.7,12.0,6.0,8.51,11.72,26.0,13.0,18.44,25.39,14.0,7.0,9.93,13.67,16.0,8.0,11.35,15.63,2.0,1.0,1.42,1.95,5.0,2.5,3.55,4.88,17.0,8.5,12.06,16.6,8.0,4.0,5.67,7.81,51.77,43.26,8.51,91.8,12.0,6.0,8.51,36.86,18.43,0.65,0.68,0.5,0.55,0.85,0.21,0.64,0.21,0.52,0.34,1.42,3.55,0.12,5.67,0.27
5,臺北台新戰神,1|10|14|3000|3001,丁聖儒/雷蒙恩/錢肯尼/麥卡倫/艾力克,1,42,48.0,671.0,11.18,11:11,671.0,11.18,11:11,18.0,18.0,37.5,57.94,29.0,29.0,60.42,93.35,24.0,24.0,50.0,77.26,9.0,9.0,18.75,28.97,22.0,22.0,45.83,70.82,9.0,9.0,18.75,28.97,2.0,2.0,4.17,6.44,0.0,0.0,0.0,0.0,2.0,2.0,4.17,6.44,0.0,0.0,0.0,0.0,5.0,5.0,10.42,16.1,11.0,11.0,22.92,35.41,0.0,0.0,0.0,0.0,5.0,5.0,10.42,16.1,1.0,1.0,2.08,3.22,2.0,2.0,4.17,6.44,1.0,1.0,2.08,3.22,1.0,1.0,2.08,3.22,2.0,2.0,4.17,6.44,3.0,3.0,6.25,9.66,37.5,60.42,-22.92,103.01,-11.0,-11.0,-22.92,11.18,11.18,0.38,0.36,0.41,0.0,0.0,0.04,0.22,0.5,1.0,0.76,2.08,2.08,0.04,6.25,0.08
5,桃園台啤永豐雲豹,54|58|62|68|69,高錦瑋/林信寬/王皓吉/克羅馬/威廉斯,2,35,38.0,513.17,8.55,08:33,256.59,4.28,04:17,15.0,7.5,39.47,63.14,12.0,6.0,31.58,50.51,15.0,7.5,39.47,63.14,7.0,3.5,18.42,29.46,11.0,5.5,28.95,46.3,6.0,3.0,15.79,25.25,4.0,2.0,10.53,16.84,1.0,0.5,2.63,4.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.5,18.42,29.46,0.0,0.0,0.0,0.0,7.0,3.5,18.42,29.46,4.0,2.0,10.53,16.84,3.0,1.5,7.89,12.63,2.0,1.0,5.26,8.42,0.0,0.0,0.0,0.0,2.0,1.0,5.26,8.42,5.0,2.5,13.16,21.05,39.47,31.58,7.89,106.63,3.0,1.5,7.89,8.55,4.28,0.5,0.5,0.55,0.25,,0.21,0.43,0.0,1.0,0.5,5.26,0.0,0.05,13.16,0.0
5,桃園台啤永豐雲豹,56|58|64|68|9182,丁冠皓/林信寬/劉元凱/克羅馬/圖霸,1,17,18.0,188.59,3.14,03:09,188.59,3.14,03:09,7.0,7.0,38.89,80.17,4.0,4.0,22.22,45.81,2.0,2.0,11.11,22.91,0.0,0.0,0.0,0.0,2.0,2.0,11.11,22.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,38.89,80.17,7.0,7.0,38.89,80.17,0.0,0.0,0.0,0.0,2.0,2.0,11.11,22.91,1.0,1.0,5.56,11.45,5.0,5.0,27.78,57.27,3.0,3.0,16.67,34.36,0.0,0.0,0.0,0.0,2.0,2.0,11.11,22.91,0.0,0.0,0.0,0.0,2.0,2.0,11.11,22.91,2.0,2.0,11.11,22.91,38.89,22.22,16.67,137.44,3.0,3.0,16.67,3.14,3.14,0.0,0.69,0.0,,1.0,0.37,,0.0,0.67,0.25,11.11,0.0,0.11,11.11,3.5
5,臺北台新戰神,1|3|10|3000|8457,丁聖儒/陳文宏/雷蒙恩/麥卡倫/莫爾曼,2,16,18.0,218.7,3.65,03:39,109.35,1.82,01:49,4.0,2.0,22.22,39.51,4.0,2.0,22.22,39.51,9.0,4.5,50.0,88.89,1.0,0.5,5.56,9.88,3.0,1.5,16.67,29.63,1.0,0.5,5.56,9.88,6.0,3.0,33.33,59.26,0.0,0.0,0.0,0.0,2.0,1.0,11.11,19.75,2.0,1.0,11.11,19.75,2.0,1.0,11.11,19.75,6.0,3.0,33.33,59.26,0.0,0.0,0.0,0.0,3.0,1.5,16.67,29.63,0.0,0.0,0.0,0.0,1.0,0.5,5.56,9.88,0.0,0.0,0.0,0.0,1.0,0.5,5.56,9.88,4.0,2.0,22.22,39.51,1.0,0.5,5.56,9.88,22.22,22.22,0.0,118.52,0.0,0.0,0.0,3.65,1.82,0.11,0.2,0.33,0.0,1.0,0.0,1.0,0.4,1.0,0.73,0.0,5.56,0.22,5.56,0.22
5,臺北台新戰神,3|10|13|3000|8457,陳文宏/雷蒙恩/陳冠全/麥卡倫/莫爾曼,1,5,6.0,56.72,0.95,00:57,56.72,0.95,00:57,0.0,0.0,0.0,0.0,4.0,4.0,66.67,152.32,3.0,3.0,50.0,114.24,0.0,0.0,0.0,0.0,3.0,3.0,50.0,114.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16.67,38.08,2.0,2.0,33.33,76.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16.67,38.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,33.33,76.16,0.0,66.67,-66.67,152.32,-4.0,-4.0,-66.67,0.95,0.95,0.0,0.0,0.0,,,0.25,,1.0,1.0,1.0,0.0,0.0,0.0,33.33,0.0
5,臺北台新戰神,3|5|13|3000|8457,陳文宏/黃聰翰/陳冠全/麥卡倫/莫爾曼,1,5,5.0,65.43,1.09,01:05,65.43,1.09,01:05,2.0,2.0,40.0,66.03,4.0,4.0,80.0,132.06,1.0,1.0,20.0,33.01,1.0,1.0,20.0,33.01,1.0,1.0,20.0,33.01,1.0,1.0,20.0,33.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,20.0,33.01,1.0,1.0,20.0,33.01,1.0,1.0,20.0,33.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,20.0,33.01,4.0,4.0,80.0,132.06,40.0,80.0,-40.0,110.05,-2.0,-2.0,-40.0,1.09,1.09,1.0,1.0,1.0,,,0.5,1.0,0.0,,0.0,0.0,0.0,0.2,80.0,0.0
5,桃園台啤永豐雲豹,54|58|62|68|9182,高錦瑋/林信寬/王皓吉/克羅馬/圖霸,2,25,30.0,367.12,6.12,06:07,183.56,3.06,03:04,9.0,4.5,30.0,52.95,10.0,5.0,33.33,58.84,13.0,6.5,43.33,76.49,4.0,2.0,13.33,23.53,10.0,5.0,33.33,58.84,3.0,1.5,10.0,17.65,3.0,1.5,10.0,17.65,1.0,0.5,3.33,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,10.0,17.65,6.0,3.0,20.0,35.3,1.0,0.5,3.33,5.88,5.0,2.5,16.67,29.42,3.0,1.5,10.0,17.65,2.0,1.0,6.67,11.77,1.0,0.5,3.33,5.88,2.0,1.0,6.67,11.77,3.0,1.5,10.0,17.65,6.0,3.0,20.0,35.3,30.0,33.33,-3.33,117.67,-1.0,-0.5,-3.33,6.12,3.06,0.35,0.35,0.3,0.33,,0.19,0.5,0.38,0.86,0.6,3.33,6.67,0.1,20.0,0.0
5,臺北台新戰神,3|5|10|3000|8457,陳文宏/黃聰翰/雷蒙恩/麥卡倫/莫爾曼,1,1,1.0,0.89,0.01,00:01,0.89,0.01,00:01,2.0,2.0,200.0,4837.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,200.0,4837.63,2.0,2.0,200.0,4837.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,200.0,1612.54,2.0,2.0,200.0,0.01,0.01,,1.14,,,1.0,0.0,,,,,0.0,0.0,0.0,0.0,
5,臺北台新戰神,1|3|5|10|8457,丁聖儒/陳文宏/黃聰翰/雷蒙恩/莫爾曼,1,1,1.0,12.0,0.2,00:12,12.0,0.2,00:12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.2,0.2,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,
