player_id,player_name,team_name,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PM_total,PM_per_game,PM_per100,PACE,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,USG_pct,ORB_pct,DRB_pct,TRB_pct,STL_per100poss,BLK_per100poss,Foul_per_poss,FT_allowed_rate_per100,FT_rate,rapm_per100,orapm_per100,drapm_per100,on_court_poss,games_played,poss_per_game
54,高錦瑋,桃園台啤永豐雲豹,2,282,332.0,4400.0,73.33,73:20,2200.0,36.67,36:40,32.0,16.0,9.64,15.71,26.0,13.0,7.83,12.76,11.0,5.5,3.31,5.4,16.0,8.0,4.82,7.85,7.0,3.5,2.11,3.44,10.0,5.0,3.01,4.91,4.0,2.0,1.2,1.96,6.0,3.0,1.81,2.95,6.0,3.0,1.81,2.95,1.0,0.5,0.3,0.49,8.0,4.0,2.41,3.93,16.0,8.0,4.82,7.85,1.0,0.5,0.3,0.49,1.0,0.5,0.3,0.49,2.0,1.0,0.6,0.98,3.0,1.5,0.9,1.47,39.0,19.5,11.75,19.15,45.48,37.35,8.13,27.0,13.5,8.13,108.65,0.5,0.56,0.44,0.4,1.0,0.07,1.45,9.23,0.02,0.28,0.12,0.3,0.3,0.01,11.75,0.23,0.69,0.62,0.13,332.0,2,166.0
58,林信寬,桃園台啤永豐雲豹,2,264,313.0,3959.0,65.98,65:59,1979.5,32.99,33:00,21.0,10.5,6.71,11.46,17.0,8.5,5.43,9.28,8.0,4.0,2.56,4.36,10.0,5.0,3.19,5.46,5.0,2.5,1.6,2.73,7.0,3.5,2.24,3.82,3.0,1.5,0.96,1.64,2.0,1.0,0.64,1.09,2.0,1.0,0.64,1.09,1.0,0.5,0.32,0.55,6.0,3.0,1.92,3.27,3.0,1.5,0.96,1.64,2.0,1.0,0.64,1.09,0.0,0.0,0.0,0.0,4.0,2.0,1.28,2.18,5.0,2.5,1.6,2.73,34.0,17.0,10.86,18.55,44.09,36.42,7.67,24.0,12.0,7.67,113.85,0.56,0.59,0.5,0.43,1.0,0.18,0.38,6.99,0.02,0.22,0.1,0.64,0.0,0.02,10.86,0.12,0.38,0.36,-0.02,313.0,2,156.5
68,克羅馬,桃園台啤永豐雲豹,2,281,330.0,4226.0,70.43,70:26,2113.0,35.22,35:13,44.0,22.0,13.33,22.49,32.0,16.0,9.7,16.36,14.0,7.0,4.24,7.16,17.0,8.5,5.15,8.69,6.0,3.0,1.82,3.07,15.0,7.5,4.55,7.67,8.0,4.0,2.42,4.09,11.0,5.5,3.33,5.62,8.0,4.0,2.42,4.09,1.0,0.5,0.3,0.51,11.0,5.5,3.33,5.62,9.0,4.5,2.73,4.6,9.0,4.5,2.73,4.6,3.0,1.5,0.91,1.53,11.0,5.5,3.33,5.62,6.0,3.0,1.82,3.07,36.0,18.0,10.91,18.4,45.15,36.67,8.48,28.0,14.0,8.48,112.45,0.56,0.6,0.35,0.53,0.73,0.23,0.64,14.5,0.02,0.38,0.16,2.73,0.91,0.02,10.91,0.34,0.72,0.56,0.02,330.0,2,165.0
69,威廉斯,桃園台啤永豐雲豹,2,233,275.0,3683.0,61.38,61:23,1841.5,30.69,30:42,29.0,14.5,10.55,17.01,22.0,11.0,8.0,12.9,10.0,5.0,3.64,5.86,15.0,7.5,5.45,8.8,8.0,4.0,2.91,4.69,7.0,3.5,2.55,4.11,2.0,1.0,0.73,1.17,10.0,5.0,3.64,5.86,7.0,3.5,2.55,4.11,4.0,2.0,1.45,2.35,22.0,11.0,8.0,12.9,2.0,1.0,0.73,1.17,1.0,0.5,0.36,0.59,1.0,0.5,0.36,0.59,5.0,2.5,1.82,2.93,4.0,2.0,1.45,2.35,20.0,10.0,7.27,11.73,45.82,36.0,9.82,27.0,13.5,9.82,107.52,0.5,0.55,0.53,0.29,0.7,0.16,0.2,11.42,0.1,0.51,0.31,0.36,0.36,0.01,7.27,0.45,0.87,0.53,-0.1,275.0,2,137.5
3129,董永全,桃園台啤永豐雲豹,2,193,234.0,3144.0,52.4,52:24,1572.0,26.2,26:12,24.0,12.0,10.26,16.49,13.0,6.5,5.56,8.93,8.0,4.0,3.42,5.5,7.0,3.5,2.99,4.81,4.0,2.0,1.71,2.75,6.0,3.0,2.56,4.12,4.0,2.0,1.71,2.75,4.0,2.0,1.71,2.75,4.0,2.0,1.71,2.75,1.0,0.5,0.43,0.69,2.0,1.0,0.85,1.37,1.0,0.5,0.43,0.69,1.0,0.5,0.43,0.69,1.0,0.5,0.43,0.69,2.0,1.0,0.85,1.37,4.0,2.0,1.71,2.75,13.0,6.5,5.56,8.93,48.72,37.18,11.54,27.0,13.5,11.54,107.18,0.77,0.81,0.57,0.67,1.0,0.12,0.12,7.16,0.04,0.1,0.06,0.43,0.43,0.02,5.56,0.31,0.87,0.78,0.05,234.0,2,117.0
1,丁聖儒,臺北台新戰神,2,208,245.0,3174.0,52.9,52:54,1587.0,26.45,26:27,17.0,8.5,6.94,11.57,15.0,7.5,6.12,10.21,6.0,3.0,2.45,4.08,12.0,6.0,4.9,8.17,5.0,2.5,2.04,3.4,3.0,1.5,1.22,2.04,1.0,0.5,0.41,0.68,6.0,3.0,2.45,4.08,4.0,2.0,1.63,2.72,1.0,0.5,0.41,0.68,8.0,4.0,3.27,5.44,9.0,4.5,3.67,6.12,2.0,1.0,0.82,1.36,0.0,0.0,0.0,0.0,6.0,3.0,2.45,4.08,4.0,2.0,1.63,2.72,28.0,14.0,11.43,19.05,35.51,44.08,-8.57,-21.0,-10.5,-8.57,111.15,0.43,0.48,0.42,0.33,0.67,0.25,1.5,9.65,0.02,0.47,0.14,0.82,0.0,0.02,11.43,0.4,-0.56,-0.1,0.34,245.0,2,122.5
10,雷蒙恩,臺北台新戰神,2,280,336.0,4443.0,74.05,74:03,2221.5,37.02,37:02,26.0,13.0,7.74,12.64,25.0,12.5,7.44,12.15,8.0,4.0,2.38,3.89,17.0,8.5,5.06,8.26,6.0,3.0,1.79,2.92,8.0,4.0,2.38,3.89,2.0,1.0,0.6,0.97,12.0,6.0,3.57,5.83,8.0,4.0,2.38,3.89,5.0,2.5,1.49,2.43,2.0,1.0,0.6,0.97,1.0,0.5,0.3,0.49,0.0,0.0,0.0,0.0,2.0,1.0,0.6,0.97,4.0,2.0,1.19,1.94,6.0,3.0,1.79,2.92,32.0,16.0,9.52,15.56,31.85,42.26,-10.42,-35.0,-17.5,-10.42,108.9,0.36,0.43,0.35,0.25,0.67,0.12,0.12,10.2,0.07,0.11,0.08,0.0,0.6,0.02,9.52,0.48,-0.93,-0.73,0.13,336.0,2,168.0
14,錢肯尼,臺北台新戰神,2,194,226.0,3128.0,52.13,52:08,1564.0,26.07,26:04,25.0,12.5,11.06,17.26,23.0,11.5,10.18,15.88,10.0,5.0,4.42,6.91,17.0,8.5,7.52,11.74,7.0,3.5,3.1,4.83,6.0,3.0,2.65,4.14,3.0,1.5,1.33,2.07,4.0,2.0,1.77,2.76,2.0,1.0,0.88,1.38,2.0,1.0,0.88,1.38,3.0,1.5,1.33,2.07,4.0,2.0,1.77,2.76,2.0,1.0,0.88,1.38,0.0,0.0,0.0,0.0,2.0,1.0,0.88,1.38,6.0,3.0,2.65,4.14,15.0,7.5,6.64,10.36,38.5,45.13,-6.64,-15.0,-7.5,-6.64,104.04,0.5,0.5,0.41,0.5,0.5,0.07,0.4,11.84,0.04,0.27,0.08,0.88,0.0,0.03,6.64,0.17,-0.29,0.19,0.35,226.0,2,113.0
3000,麥卡倫,臺北台新戰神,2,243,284.0,3711.0,61.85,61:51,1855.5,30.92,30:56,17.0,8.5,5.99,9.89,27.0,13.5,9.51,15.72,7.0,3.5,2.46,4.07,19.0,9.5,6.69,11.06,6.0,3.0,2.11,3.49,8.0,4.0,2.82,4.66,1.0,0.5,0.35,0.58,3.0,1.5,1.06,1.75,2.0,1.0,0.7,1.16,2.0,1.0,0.7,1.16,9.0,4.5,3.17,5.24,12.0,6.0,4.23,6.98,0.0,0.0,0.0,0.0,1.0,0.5,0.35,0.58,3.0,1.5,1.06,1.75,0.0,0.0,0.0,0.0,24.0,12.0,8.45,13.97,35.56,47.54,-11.97,-34.0,-17.0,-11.97,110.2,0.28,0.3,0.32,0.12,0.67,0.1,1.71,11.03,0.03,0.41,0.14,0.0,0.35,0.0,8.45,0.11,-0.87,-0.14,0.8,284.0,2,142.0
3001,艾力克,臺北台新戰神,1,76,87.0,1182.0,19.7,19:42,1182.0,19.7,19:42,6.0,6.0,6.9,10.96,5.0,5.0,5.75,9.14,3.0,3.0,3.45,5.48,5.0,5.0,5.75,9.14,3.0,3.0,3.45,5.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.6,7.31,3.0,3.0,3.45,5.48,1.0,1.0,1.15,1.83,0.0,0.0,0.0,0.0,1.0,1.0,1.15,1.83,2.0,2.0,2.3,3.65,1.0,1.0,1.15,1.83,9.0,9.0,10.34,16.45,32.18,58.62,-26.44,-23.0,-23.0,-26.44,105.99,0.6,0.6,0.6,,,0.29,0.33,8.05,0.2,1.0,0.3,0.0,1.15,0.01,10.34,0.0,-0.41,-0.2,0.69,87.0,1,87.0
