lineup_size,team_name,lineup_player_ids,lineup_player_names,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,PTS_allowed,PTS_allowed_per_game,PTS_allowed_per100,PTS_allowed_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,ORB_allowed,ORB_allowed_per_game,ORB_allowed_per100,ORB_allowed_per36,DRB_allowed,DRB_allowed_per_game,DRB_allowed_per100,DRB_allowed_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PACE,PM_total,PM_per_game,PM_per100,MIN_total,MIN_per_game,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,ORB_pct,DRB_pct,TRB_pct,STL_pct,BLK_pct,Foul_per_poss,FT_allowed_rate_per100,FT_rate
2,新北國王,21|29,李愷諺/林書緯,7,694,814.0,10801.37,180.02,180:01,1543.05,25.72,25:43,365.0,52.14,44.84,72.99,357.0,51.0,43.86,71.39,276.0,39.43,33.91,55.19,124.0,17.71,15.23,24.8,159.0,22.71,19.53,31.8,77.0,11.0,9.46,15.4,117.0,16.71,14.37,23.4,47.0,6.71,5.77,9.4,91.0,13.0,11.18,18.2,70.0,10.0,8.6,14.0,43.0,6.14,5.28,8.6,115.0,16.43,14.13,23.0,44.0,6.29,5.41,8.8,131.0,18.71,16.09,26.2,74.0,10.57,9.09,14.8,75.0,10.71,9.21,15.0,39.0,5.57,4.79,7.8,10.0,1.43,1.23,2.0,83.0,11.86,10.2,16.6,73.0,10.43,8.97,14.6,44.84,43.86,0.98,108.52,8.0,1.14,0.98,180.02,25.72,0.53,0.58,0.48,0.4,0.77,0.19,0.6,0.25,0.72,0.47,4.79,1.23,0.1,8.97,0.33
2,新北國王,21|30,李愷諺/林書豪,7,650,756.0,10918.67,181.98,181:59,1559.81,26.0,26:00,345.0,49.29,45.63,68.25,336.0,48.0,44.44,66.47,267.0,38.14,35.32,52.82,116.0,16.57,15.34,22.95,149.0,21.29,19.71,29.48,72.0,10.29,9.52,14.24,118.0,16.86,15.61,23.34,44.0,6.29,5.82,8.7,85.0,12.14,11.24,16.82,69.0,9.86,9.13,13.65,45.0,6.43,5.95,8.9,110.0,15.71,14.55,21.76,34.0,4.86,4.5,6.73,125.0,17.86,16.53,24.73,61.0,8.71,8.07,12.07,71.0,10.14,9.39,14.05,34.0,4.86,4.5,6.73,12.0,1.71,1.59,2.37,82.0,11.71,10.85,16.22,66.0,9.43,8.73,13.06,45.63,44.44,1.19,99.7,9.0,1.29,1.19,181.98,26.0,0.52,0.57,0.48,0.37,0.81,0.17,0.61,0.26,0.76,0.49,4.5,1.59,0.11,8.73,0.32
2,新北國王,21|33,李愷諺/曼尼高,7,496,572.0,8186.54,136.44,136:27,1169.51,19.49,19:30,262.0,37.43,45.8,69.13,256.0,36.57,44.76,67.55,187.0,26.71,32.69,49.34,89.0,12.71,15.56,23.48,109.0,15.57,19.06,28.76,58.0,8.29,10.14,15.3,78.0,11.14,13.64,20.58,31.0,4.43,5.42,8.18,67.0,9.57,11.71,17.68,53.0,7.57,9.27,13.98,26.0,3.71,4.55,6.86,75.0,10.71,13.11,19.79,26.0,3.71,4.55,6.86,90.0,12.86,15.73,23.75,59.0,8.43,10.31,15.57,51.0,7.29,8.92,13.46,32.0,4.57,5.59,8.44,7.0,1.0,1.22,1.85,54.0,7.71,9.44,14.25,50.0,7.14,8.74,13.19,45.8,44.76,1.05,100.61,6.0,0.86,1.05,136.44,19.49,0.56,0.61,0.53,0.4,0.79,0.21,0.57,0.22,0.74,0.47,5.59,1.22,0.09,8.74,0.36
2,新北國王,21|34,李愷諺/沃許本,5,445,501.0,6883.6,114.73,114:44,1376.72,22.95,22:57,227.0,45.4,45.31,71.23,222.0,44.4,44.31,69.66,175.0,35.0,34.93,54.91,84.0,16.8,16.77,26.36,104.0,20.8,20.76,32.63,59.0,11.8,11.78,18.51,71.0,14.2,14.17,22.28,25.0,5.0,4.99,7.84,45.0,9.0,8.98,14.12,34.0,6.8,6.79,10.67,20.0,4.0,3.99,6.28,72.0,14.4,14.37,22.59,26.0,5.2,5.19,8.16,94.0,18.8,18.76,29.5,42.0,8.4,8.38,13.18,51.0,10.2,10.18,16.0,24.0,4.8,4.79,7.53,2.0,0.4,0.4,0.63,51.0,10.2,10.18,16.0,52.0,10.4,10.38,16.32,45.31,44.31,1.0,104.81,5.0,1.0,1.0,114.73,22.95,0.55,0.58,0.57,0.35,0.76,0.18,0.61,0.18,0.73,0.43,4.79,0.4,0.1,10.38,0.26
2,新北國王,29|30,林書緯/林書豪,7,694,822.0,10900.11,181.67,181:40,1557.16,25.95,25:57,367.0,52.43,44.65,72.73,363.0,51.86,44.16,71.93,284.0,40.57,34.55,56.28,122.0,17.43,14.84,24.18,165.0,23.57,20.07,32.7,80.0,11.43,9.73,15.85,119.0,17.0,14.48,23.58,42.0,6.0,5.11,8.32,109.0,15.57,13.26,21.6,81.0,11.57,9.85,16.05,50.0,7.14,6.08,9.91,120.0,17.14,14.6,23.78,40.0,5.71,4.87,7.93,123.0,17.57,14.96,24.37,66.0,9.43,8.03,13.08,77.0,11.0,9.37,15.26,33.0,4.71,4.01,6.54,12.0,1.71,1.46,2.38,97.0,13.86,11.8,19.22,64.0,9.14,7.79,12.68,44.65,44.16,0.49,108.59,4.0,0.57,0.49,181.67,25.95,0.5,0.55,0.48,0.35,0.74,0.17,0.63,0.29,0.75,0.51,4.01,1.46,0.12,7.79,0.38
2,新北國王,29|33,林書緯/曼尼高,7,707,827.0,10795.69,179.93,179:56,1542.24,25.7,25:42,373.0,53.29,45.1,74.63,363.0,51.86,43.89,72.63,276.0,39.43,33.37,55.22,130.0,18.57,15.72,26.01,165.0,23.57,19.95,33.01,92.0,13.14,11.12,18.41,111.0,15.86,13.42,22.21,38.0,5.43,4.59,7.6,107.0,15.29,12.94,21.41,75.0,10.71,9.07,15.01,41.0,5.86,4.96,8.2,116.0,16.57,14.03,23.21,39.0,5.57,4.72,7.8,124.0,17.71,14.99,24.81,78.0,11.14,9.43,15.61,81.0,11.57,9.79,16.21,42.0,6.0,5.08,8.4,9.0,1.29,1.09,1.8,85.0,12.14,10.28,17.01,72.0,10.29,8.71,14.41,45.1,43.89,1.21,110.31,10.0,1.43,1.21,179.93,25.7,0.54,0.58,0.56,0.34,0.7,0.19,0.62,0.25,0.75,0.49,5.08,1.09,0.1,8.71,0.39
2,新北國王,29|34,林書緯/沃許本,5,480,542.0,7246.37,120.77,120:46,1449.27,24.15,24:09,239.0,47.8,44.1,71.24,235.0,47.0,43.36,70.05,188.0,37.6,34.69,56.04,87.0,17.4,16.05,25.93,115.0,23.0,21.22,34.28,62.0,12.4,11.44,18.48,73.0,14.6,13.47,21.76,25.0,5.0,4.61,7.45,63.0,12.6,11.62,18.78,40.0,8.0,7.38,11.92,23.0,4.6,4.24,6.86,85.0,17.0,15.68,25.34,25.0,5.0,4.61,7.45,101.0,20.2,18.63,30.11,44.0,8.8,8.12,13.12,51.0,10.2,9.41,15.2,24.0,4.8,4.43,7.15,4.0,0.8,0.74,1.19,54.0,10.8,9.96,16.1,55.0,11.0,10.15,16.39,44.1,43.36,0.74,107.71,4.0,0.8,0.74,120.77,24.15,0.53,0.55,0.54,0.34,0.63,0.17,0.59,0.19,0.77,0.46,4.43,0.74,0.1,10.15,0.34
2,新北國王,30|33,林書豪/曼尼高,7,659,777.0,10874.96,181.25,181:15,1553.57,25.89,25:54,337.0,48.14,43.37,66.94,342.0,48.86,44.02,67.93,257.0,36.71,33.08,51.05,111.0,15.86,14.29,22.05,146.0,20.86,18.79,29.0,75.0,10.71,9.65,14.9,111.0,15.86,14.29,22.05,36.0,5.14,4.63,7.15,104.0,14.86,13.38,20.66,79.0,11.29,10.17,15.69,45.0,6.43,5.79,8.94,109.0,15.57,14.03,21.65,34.0,4.86,4.38,6.75,116.0,16.57,14.93,23.04,72.0,10.29,9.27,14.3,75.0,10.71,9.65,14.9,36.0,5.14,4.63,7.15,12.0,1.71,1.54,2.38,85.0,12.14,10.94,16.88,81.0,11.57,10.42,16.09,43.37,44.02,-0.64,102.89,-5.0,-0.71,-0.64,181.25,25.89,0.5,0.56,0.51,0.32,0.76,0.19,0.68,0.28,0.76,0.51,4.63,1.54,0.11,10.42,0.4
2,新北國王,30|34,林書豪/沃許本,5,502,567.0,7645.18,127.42,127:25,1529.04,25.48,25:29,244.0,48.8,43.03,68.94,264.0,52.8,46.56,74.59,196.0,39.2,34.57,55.38,88.0,17.6,15.52,24.86,117.0,23.4,20.63,33.06,65.0,13.0,11.46,18.36,79.0,15.8,13.93,22.32,23.0,4.6,4.06,6.5,63.0,12.6,11.11,17.8,45.0,9.0,7.94,12.71,26.0,5.2,4.59,7.35,85.0,17.0,14.99,24.02,21.0,4.2,3.7,5.93,94.0,18.8,16.58,26.56,49.0,9.8,8.64,13.84,56.0,11.2,9.88,15.82,25.0,5.0,4.41,7.06,6.0,1.2,1.06,1.7,63.0,12.6,11.11,17.8,60.0,12.0,10.58,16.95,43.03,46.56,-3.53,106.8,-20.0,-4.0,-3.53,127.42,25.48,0.51,0.55,0.56,0.29,0.71,0.18,0.64,0.22,0.8,0.49,4.41,1.06,0.11,10.58,0.32
2,新北國王,33|34,曼尼高/沃許本,5,370,418.0,5504.49,91.74,91:44,1100.9,18.35,18:21,183.0,36.6,43.78,71.81,186.0,37.2,44.5,72.99,139.0,27.8,33.25,54.54,66.0,13.2,15.79,25.9,90.0,18.0,21.53,35.32,50.0,10.0,11.96,19.62,49.0,9.8,11.72,19.23,16.0,3.2,3.83,6.28,51.0,10.2,12.2,20.01,35.0,7.0,8.37,13.73,19.0,3.8,4.55,7.46,58.0,11.6,13.88,22.76,14.0,2.8,3.35,5.49,71.0,14.2,16.99,27.86,40.0,8.0,9.57,15.7,46.0,9.2,11.0,18.05,21.0,4.2,5.02,8.24,5.0,1.0,1.2,1.96,40.0,8.0,9.57,15.7,38.0,7.6,9.09,14.91,43.78,44.5,-0.72,109.35,-3.0,-0.6,-0.72,91.74,18.35,0.53,0.57,0.56,0.33,0.69,0.2,0.7,0.21,0.81,0.48,5.02,1.2,0.1,9.09,0.37
