lineup_size,team_name,lineup_player_ids,lineup_player_names,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,PTS_allowed,PTS_allowed_per_game,PTS_allowed_per100,PTS_allowed_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,ORB_allowed,ORB_allowed_per_game,ORB_allowed_per100,ORB_allowed_per36,DRB_allowed,DRB_allowed_per_game,DRB_allowed_per100,DRB_allowed_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PACE,PM_total,PM_per_game,PM_per100,MIN_total,MIN_per_game,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,ORB_pct,DRB_pct,TRB_pct,STL_pct,BLK_pct,Foul_per_poss,FT_allowed_rate_per100,FT_rate
5,新北國王,21|29|30|33|34,李愷諺/林書緯/林書豪/曼尼高/沃許本,4,137,146.0,1912.07,31.87,31:52,478.02,7.97,07:58,67.0,16.75,45.89,75.69,65.0,16.25,44.52,73.43,48.0,12.0,32.88,54.22,23.0,5.75,15.75,25.98,29.0,7.25,19.86,32.76,17.0,4.25,11.64,19.2,19.0,4.75,13.01,21.46,6.0,1.5,4.11,6.78,18.0,4.5,12.33,20.33,15.0,3.75,10.27,16.95,3.0,0.75,2.05,3.39,21.0,5.25,14.38,23.72,3.0,0.75,2.05,3.39,24.0,6.0,16.44,27.11,16.0,4.0,10.96,18.07,19.0,4.75,13.01,21.46,8.0,2.0,5.48,9.04,1.0,0.25,0.68,1.13,15.0,3.75,10.27,16.95,10.0,2.5,6.85,11.3,45.89,44.52,1.37,109.95,2.0,0.5,1.37,31.87,7.97,0.54,0.6,0.59,0.32,0.83,0.22,0.83,0.11,0.88,0.47,5.48,0.68,0.1,6.85,0.38
5,高雄全家海神,110|118|120|124|5948,胡瓏貿/蘇文儒/威勝/邱子軒/克雷格,5,143,164.0,2156.27,35.94,35:56,431.25,7.19,07:11,58.0,11.6,35.37,58.1,73.0,14.6,44.51,73.13,59.0,11.8,35.98,59.1,21.0,4.2,12.8,21.04,27.0,5.4,16.46,27.05,10.0,2.0,6.1,10.02,32.0,6.4,19.51,32.06,11.0,2.2,6.71,11.02,10.0,2.0,6.1,10.02,5.0,1.0,3.05,5.01,8.0,1.6,4.88,8.01,32.0,6.4,19.51,32.06,8.0,1.6,4.88,8.01,25.0,5.0,15.24,25.04,17.0,3.4,10.37,17.03,13.0,2.6,7.93,13.02,10.0,2.0,6.1,10.02,4.0,0.8,2.44,4.01,11.0,2.2,6.71,11.02,18.0,3.6,10.98,18.03,35.37,44.51,-9.15,109.52,-15.0,-3.0,-9.15,35.94,7.19,0.45,0.46,0.37,0.34,0.5,0.21,0.62,0.24,0.8,0.55,6.1,2.44,0.07,10.98,0.17
5,新北國王,21|24|29|33|34,李愷諺/蘇士軒/林書緯/曼尼高/沃許本,4,63,72.0,975.95,16.27,16:16,243.99,4.07,04:04,40.0,10.0,55.56,88.53,30.0,7.5,41.67,66.4,26.0,6.5,36.11,57.54,16.0,4.0,22.22,35.41,20.0,5.0,27.78,44.26,12.0,3.0,16.67,26.56,6.0,1.5,8.33,13.28,4.0,1.0,5.56,8.85,5.0,1.25,6.94,11.07,4.0,1.0,5.56,8.85,3.0,0.75,4.17,6.64,7.0,1.75,9.72,15.49,4.0,1.0,5.56,8.85,14.0,3.5,19.44,30.99,5.0,1.25,6.94,11.07,7.0,1.75,9.72,15.49,4.0,1.0,5.56,8.85,0.0,0.0,0.0,0.0,5.0,1.25,6.94,11.07,5.0,1.25,6.94,11.07,55.56,41.67,13.89,106.23,10.0,2.5,13.89,16.27,4.07,0.69,0.71,0.6,0.67,0.8,0.15,0.44,0.18,0.64,0.36,5.56,0.0,0.07,6.94,0.19
5,新北國王,24|29|30|32|33,蘇士軒/林書緯/林書豪/奧帝/曼尼高,4,52,63.0,828.16,13.8,13:48,207.04,3.45,03:27,33.0,8.25,52.38,86.07,22.0,5.5,34.92,57.38,21.0,5.25,33.33,54.77,12.0,3.0,19.05,31.3,11.0,2.75,17.46,28.69,7.0,1.75,11.11,18.26,10.0,2.5,15.87,26.08,5.0,1.25,7.94,13.04,5.0,1.25,7.94,13.04,4.0,1.0,6.35,10.43,4.0,1.0,6.35,10.43,5.0,1.25,7.94,13.04,5.0,1.25,7.94,13.04,10.0,2.5,15.87,26.08,6.0,1.5,9.52,15.65,9.0,2.25,14.29,23.47,3.0,0.75,4.76,7.82,0.0,0.0,0.0,0.0,6.0,1.5,9.52,15.65,4.0,1.0,6.35,10.43,52.38,34.92,17.46,109.54,11.0,2.75,17.46,13.8,3.45,0.69,0.71,0.64,0.5,0.8,0.21,0.75,0.29,0.5,0.38,4.76,0.0,0.1,6.35,0.24
5,高雄全家海神,109|110|117|118|5948,于煥亞/胡瓏貿/摩爾斯/蘇文儒/克雷格,3,24,31.0,359.74,6.0,06:00,119.91,2.0,02:00,14.0,4.67,45.16,84.06,14.0,4.67,45.16,84.06,10.0,3.33,32.26,60.04,4.0,1.33,12.9,24.02,6.0,2.0,19.35,36.03,3.0,1.0,9.68,18.01,4.0,1.33,12.9,24.02,1.0,0.33,3.23,6.0,8.0,2.67,25.81,48.03,5.0,1.67,16.13,30.02,2.0,0.67,6.45,12.01,5.0,1.67,16.13,30.02,2.0,0.67,6.45,12.01,4.0,1.33,12.9,24.02,2.0,0.67,6.45,12.01,6.0,2.0,19.35,36.03,2.0,0.67,6.45,12.01,0.0,0.0,0.0,0.0,7.0,2.33,22.58,42.03,8.0,2.67,25.81,48.03,45.16,45.16,0.0,124.09,0.0,0.0,0.0,6.0,2.0,0.45,0.52,0.5,0.25,0.62,0.13,1.5,0.33,0.71,0.54,6.45,0.0,0.23,25.81,0.8
5,新北國王,22|24|30|32|33,簡祐哲/蘇士軒/林書豪/奧帝/曼尼高,1,5,7.0,112.0,1.87,01:52,112.0,1.87,01:52,7.0,7.0,100.0,135.0,0.0,0.0,0.0,0.0,4.0,4.0,57.14,77.14,3.0,3.0,42.86,57.86,2.0,2.0,28.57,38.57,2.0,2.0,28.57,38.57,2.0,2.0,28.57,38.57,1.0,1.0,14.29,19.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.29,19.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,28.57,38.57,0.0,0.0,0.0,0.0,2.0,2.0,28.57,38.57,0.0,0.0,0.0,0.0,1.0,1.0,14.29,19.29,0.0,0.0,0.0,0.0,2.0,2.0,28.57,38.57,100.0,0.0,100.0,90.0,7.0,7.0,100.0,1.87,1.87,0.88,0.88,1.0,0.5,,0.0,0.67,0.33,,0.33,0.0,14.29,0.0,28.57,0.0
5,新北國王,21|22|30|32|34,李愷諺/簡祐哲/林書豪/奧帝/沃許本,2,21,22.0,294.4,4.91,04:54,147.2,2.45,02:27,2.0,1.0,9.09,14.67,15.0,7.5,68.18,110.06,8.0,4.0,36.36,58.7,1.0,0.5,4.55,7.34,5.0,2.5,22.73,36.69,1.0,0.5,4.55,7.34,3.0,1.5,13.64,22.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,4.55,7.34,6.0,3.0,27.27,44.02,0.0,0.0,0.0,0.0,3.0,1.5,13.64,22.01,3.0,1.5,13.64,22.01,1.0,0.5,4.55,7.34,1.0,0.5,4.55,7.34,0.0,0.0,0.0,0.0,3.0,1.5,13.64,22.01,8.0,4.0,36.36,58.7,9.09,68.18,-59.09,107.61,-13.0,-6.5,-59.09,4.91,2.45,0.12,0.12,0.2,0.0,,0.27,1.0,0.25,1.0,0.7,4.55,0.0,0.14,36.36,0.0
5,高雄全家海神,109|110|117|118|120,于煥亞/胡瓏貿/摩爾斯/蘇文儒/威勝,1,1,1.0,0.15,0.0,00:00,0.15,0.0,00:00,2.0,2.0,200.0,28421.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,200.0,28421.05,2.0,2.0,200.0,28421.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,200.0,9473.68,2.0,2.0,200.0,0.0,0.0,,1.14,,,1.0,0.0,,,,,0.0,0.0,0.0,0.0,
5,高雄全家海神,109|117|119|120|122,于煥亞/摩爾斯/余純安/威勝/陳懷安,1,17,18.0,268.13,4.47,04:28,268.13,4.47,04:28,9.0,9.0,50.0,72.5,2.0,2.0,11.11,16.11,7.0,7.0,38.89,56.39,4.0,4.0,22.22,32.22,4.0,4.0,22.22,32.22,3.0,3.0,16.67,24.17,3.0,3.0,16.67,24.17,1.0,1.0,5.56,8.06,3.0,3.0,16.67,24.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,27.78,40.28,1.0,1.0,5.56,8.06,6.0,6.0,33.33,48.33,0.0,0.0,0.0,0.0,2.0,2.0,11.11,16.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,11.11,16.11,0.0,0.0,0.0,0.0,50.0,11.11,38.89,96.67,7.0,7.0,38.89,4.47,4.47,0.64,0.54,0.75,0.33,0.0,0.0,0.5,0.0,0.83,0.42,0.0,0.0,0.11,0.0,0.43
5,新北國王,21|22|30|32|33,李愷諺/簡祐哲/林書豪/奧帝/曼尼高,1,3,3.0,29.93,0.5,00:30,29.93,0.5,00:30,0.0,0.0,0.0,0.0,2.0,2.0,66.67,144.32,1.0,1.0,33.33,72.16,0.0,0.0,0.0,0.0,1.0,1.0,33.33,72.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,33.33,72.16,0.0,0.0,0.0,0.0,1.0,1.0,33.33,72.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,33.33,72.16,0.0,66.67,-66.67,144.32,-2.0,-2.0,-66.67,0.5,0.5,0.0,0.0,0.0,,,0.0,,0.0,1.0,0.5,0.0,0.0,0.0,33.33,0.0
5,新北國王,21|24|30|33|34,李愷諺/蘇士軒/林書豪/曼尼高/沃許本,2,6,7.0,125.0,2.08,02:05,62.5,1.04,01:03,2.0,1.0,28.57,34.56,2.0,1.0,28.57,34.56,1.0,0.5,14.29,17.28,1.0,0.5,14.29,17.28,1.0,0.5,14.29,17.28,1.0,0.5,14.29,17.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,14.29,17.28,2.0,1.0,28.57,34.56,1.0,0.5,14.29,17.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,14.29,17.28,0.0,0.0,0.0,0.0,28.57,28.57,0.0,80.64,0.0,0.0,0.0,2.08,1.04,1.0,1.0,1.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0
