player_id,player_name,team_name,opp_player_id,opp_player_name,opp_team_name,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,PTS_allowed,PTS_allowed_per_game,PTS_allowed_per100,PTS_allowed_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,ORB_allowed,ORB_allowed_per_game,ORB_allowed_per100,ORB_allowed_per36,DRB_allowed,DRB_allowed_per_game,DRB_allowed_per100,DRB_allowed_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PACE,PM_total,PM_per_game,PM_per100,MIN_total,MIN_per_game,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,ORB_pct,DRB_pct,TRB_pct,STL_pct,BLK_pct,Foul_per_poss,FT_allowed_rate_per100,FT_rate
40,謝亞軒,新北中信特攻,21,李愷諺,新北國王,1,93,106.0,1454.26,24.24,24:14,1454.26,24.24,24:14,50.0,50.0,47.17,74.26,47.0,47.0,44.34,69.81,36.0,36.0,33.96,53.47,16.0,16.0,15.09,23.76,21.0,21.0,19.81,31.19,10.0,10.0,9.43,14.85,15.0,15.0,14.15,22.28,6.0,6.0,5.66,8.91,17.0,17.0,16.04,25.25,14.0,14.0,13.21,20.79,5.0,5.0,4.72,7.43,15.0,15.0,14.15,22.28,5.0,5.0,4.72,7.43,19.0,19.0,17.92,28.22,9.0,9.0,8.49,13.37,12.0,12.0,11.32,17.82,5.0,5.0,4.72,7.43,1.0,1.0,0.94,1.49,15.0,15.0,14.15,22.28,12.0,12.0,11.32,17.82,47.17,44.34,2.83,104.96,3.0,3.0,2.83,24.24,24.24,0.53,0.57,0.48,0.4,0.82,0.17,0.75,0.21,0.75,0.45,4.72,0.94,0.14,11.32,0.47
40,謝亞軒,新北中信特攻,24,蘇士軒,新北國王,1,67,76.0,1083.11,18.05,18:03,1083.11,18.05,18:03,36.0,36.0,47.37,71.79,33.0,33.0,43.42,65.81,28.0,28.0,36.84,55.84,13.0,13.0,17.11,25.93,12.0,12.0,15.79,23.93,6.0,6.0,7.89,11.97,16.0,16.0,21.05,31.91,7.0,7.0,9.21,13.96,11.0,11.0,14.47,21.94,7.0,7.0,9.21,13.96,5.0,5.0,6.58,9.97,13.0,13.0,17.11,25.93,0.0,0.0,0.0,0.0,15.0,15.0,19.74,29.91,7.0,7.0,9.21,13.96,11.0,11.0,14.47,21.94,4.0,4.0,5.26,7.98,1.0,1.0,1.32,1.99,9.0,9.0,11.84,17.95,8.0,8.0,10.53,15.95,47.37,43.42,3.95,101.04,3.0,3.0,3.95,18.05,18.05,0.59,0.55,0.5,0.44,0.64,0.18,0.85,0.25,1.0,0.55,5.26,1.32,0.12,10.53,0.39
40,謝亞軒,新北中信特攻,29,林書緯,新北國王,1,121,136.0,1833.2,30.55,30:33,1833.2,30.55,30:33,59.0,59.0,43.38,69.52,57.0,57.0,41.91,67.16,44.0,44.0,32.35,51.84,19.0,19.0,13.97,22.39,24.0,24.0,17.65,28.28,12.0,12.0,8.82,14.14,20.0,20.0,14.71,23.57,7.0,7.0,5.15,8.25,20.0,20.0,14.71,23.57,16.0,16.0,11.76,18.85,6.0,6.0,4.41,7.07,22.0,22.0,16.18,25.92,3.0,3.0,2.21,3.53,26.0,26.0,19.12,30.63,13.0,13.0,9.56,15.32,15.0,15.0,11.03,17.67,6.0,6.0,4.41,7.07,1.0,1.0,0.74,1.18,18.0,18.0,13.24,21.21,15.0,15.0,11.03,17.67,43.38,41.91,1.47,106.83,2.0,2.0,1.47,30.55,30.55,0.51,0.56,0.5,0.35,0.8,0.2,0.79,0.19,0.88,0.49,4.41,0.74,0.13,11.03,0.45
40,謝亞軒,新北中信特攻,32,奧帝,新北國王,1,89,101.0,1399.44,23.32,23:19,1399.44,23.32,23:19,43.0,43.0,42.57,66.37,54.0,54.0,53.47,83.35,35.0,35.0,34.65,54.02,16.0,16.0,15.84,24.7,23.0,23.0,22.77,35.5,12.0,12.0,11.88,18.52,12.0,12.0,11.88,18.52,4.0,4.0,3.96,6.17,14.0,14.0,13.86,21.61,11.0,11.0,10.89,16.98,4.0,4.0,3.96,6.17,16.0,16.0,15.84,24.7,4.0,4.0,3.96,6.17,15.0,15.0,14.85,23.15,8.0,8.0,7.92,12.35,13.0,13.0,12.87,20.07,3.0,3.0,2.97,4.63,1.0,1.0,0.99,1.54,11.0,11.0,10.89,16.98,13.0,13.0,12.87,20.07,42.57,53.47,-10.89,103.93,-11.0,-11.0,-10.89,23.32,23.32,0.51,0.52,0.52,0.33,0.79,0.16,0.81,0.21,0.8,0.51,2.97,0.99,0.11,12.87,0.4
40,謝亞軒,新北中信特攻,13029,杰倫,新北國王,1,103,118.0,1601.18,26.69,26:41,1601.18,26.69,26:41,55.0,55.0,46.61,74.2,43.0,43.0,36.44,58.01,42.0,42.0,35.59,56.66,19.0,19.0,16.1,25.63,21.0,21.0,17.8,28.33,11.0,11.0,9.32,14.84,21.0,21.0,17.8,28.33,8.0,8.0,6.78,10.79,17.0,17.0,14.41,22.93,13.0,13.0,11.02,17.54,6.0,6.0,5.08,8.09,19.0,19.0,16.1,25.63,4.0,4.0,3.39,5.4,24.0,24.0,20.34,32.38,10.0,10.0,8.47,13.49,14.0,14.0,11.86,18.89,6.0,6.0,5.08,8.09,1.0,1.0,0.85,1.35,17.0,17.0,14.41,22.93,11.0,11.0,9.32,14.84,46.61,36.44,10.17,106.12,12.0,12.0,10.17,26.69,26.69,0.55,0.56,0.52,0.38,0.76,0.17,0.74,0.2,0.83,0.47,5.08,0.85,0.14,9.32,0.4
113,林任鴻,新北中信特攻,21,李愷諺,新北國王,1,32,36.0,515.22,8.59,08:35,515.22,8.59,08:35,23.0,23.0,63.89,96.43,9.0,9.0,25.0,37.73,12.0,12.0,33.33,50.31,6.0,6.0,16.67,25.15,7.0,7.0,19.44,29.35,3.0,3.0,8.33,12.58,5.0,5.0,13.89,20.96,3.0,3.0,8.33,12.58,12.0,12.0,33.33,50.31,10.0,10.0,27.78,41.92,3.0,3.0,8.33,12.58,4.0,4.0,11.11,16.77,1.0,1.0,2.78,4.19,7.0,7.0,19.44,29.35,3.0,3.0,8.33,12.58,6.0,6.0,16.67,25.15,1.0,1.0,2.78,4.19,0.0,0.0,0.0,0.0,6.0,6.0,16.67,25.15,2.0,2.0,5.56,8.38,63.89,25.0,38.89,100.62,14.0,14.0,38.89,8.59,8.59,0.62,0.67,0.43,0.6,0.83,0.15,1.0,0.3,0.8,0.47,2.78,0.0,0.17,5.56,1.0
113,林任鴻,新北中信特攻,24,蘇士軒,新北國王,1,26,29.0,443.96,7.4,07:24,443.96,7.4,07:24,14.0,14.0,48.28,68.11,11.0,11.0,37.93,53.52,9.0,9.0,31.03,43.79,4.0,4.0,13.79,19.46,3.0,3.0,10.34,14.6,1.0,1.0,3.45,4.87,6.0,6.0,20.69,29.19,3.0,3.0,10.34,14.6,10.0,10.0,34.48,48.65,7.0,7.0,24.14,34.06,3.0,3.0,10.34,14.6,3.0,3.0,10.34,14.6,0.0,0.0,0.0,0.0,8.0,8.0,27.59,38.92,3.0,3.0,10.34,14.6,5.0,5.0,17.24,24.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,17.24,24.33,7.0,7.0,24.14,34.06,48.28,37.93,10.34,94.06,3.0,3.0,10.34,7.4,7.4,0.61,0.52,0.33,0.5,0.7,0.18,1.25,0.27,1.0,0.43,0.0,0.0,0.17,24.14,1.11
113,林任鴻,新北中信特攻,29,林書緯,新北國王,1,39,43.0,661.92,11.03,11:02,661.92,11.03,11:02,25.0,25.0,58.14,81.58,13.0,13.0,30.23,42.42,15.0,15.0,34.88,48.95,7.0,7.0,16.28,22.84,8.0,8.0,18.6,26.11,4.0,4.0,9.3,13.05,7.0,7.0,16.28,22.84,3.0,3.0,6.98,9.79,12.0,12.0,27.91,39.16,10.0,10.0,23.26,32.63,3.0,3.0,6.98,9.79,6.0,6.0,13.95,19.58,1.0,1.0,2.33,3.26,9.0,9.0,20.93,29.37,3.0,3.0,6.98,9.79,7.0,7.0,16.28,22.84,1.0,1.0,2.33,3.26,0.0,0.0,0.0,0.0,7.0,7.0,16.28,22.84,4.0,4.0,9.3,13.05,58.14,30.23,27.91,93.55,12.0,12.0,27.91,11.03,11.03,0.57,0.62,0.5,0.43,0.83,0.13,1.0,0.25,0.86,0.47,2.33,0.0,0.16,9.3,0.8
113,林任鴻,新北中信特攻,32,奧帝,新北國王,1,29,32.0,528.1,8.8,08:48,528.1,8.8,08:48,21.0,21.0,65.62,85.89,9.0,9.0,28.12,36.81,10.0,10.0,31.25,40.9,7.0,7.0,21.88,28.63,8.0,8.0,25.0,32.72,5.0,5.0,15.62,20.45,2.0,2.0,6.25,8.18,2.0,2.0,6.25,8.18,12.0,12.0,37.5,49.08,9.0,9.0,28.12,36.81,2.0,2.0,6.25,8.18,2.0,2.0,6.25,8.18,1.0,1.0,3.12,4.09,6.0,6.0,18.75,24.54,3.0,3.0,9.38,12.27,6.0,6.0,18.75,24.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,18.75,24.54,5.0,5.0,15.62,20.45,65.62,28.12,37.5,87.26,12.0,12.0,37.5,8.8,8.8,0.8,0.69,0.62,1.0,0.75,0.16,0.86,0.25,0.67,0.36,0.0,0.0,0.19,15.62,1.2
113,林任鴻,新北中信特攻,13029,杰倫,新北國王,1,39,43.0,667.03,11.12,11:07,667.03,11.12,11:07,22.0,22.0,51.16,71.24,14.0,14.0,32.56,45.34,15.0,15.0,34.88,48.57,7.0,7.0,16.28,22.67,8.0,8.0,18.6,25.91,4.0,4.0,9.3,12.95,7.0,7.0,16.28,22.67,3.0,3.0,6.98,9.71,12.0,12.0,27.91,38.86,9.0,9.0,20.93,29.14,3.0,3.0,6.98,9.71,6.0,6.0,13.95,19.43,1.0,1.0,2.33,3.24,11.0,11.0,25.58,35.62,4.0,4.0,9.3,12.95,7.0,7.0,16.28,22.67,1.0,1.0,2.33,3.24,0.0,0.0,0.0,0.0,8.0,8.0,18.6,25.91,7.0,7.0,16.28,22.67,51.16,32.56,18.6,92.83,8.0,8.0,18.6,11.12,11.12,0.57,0.54,0.5,0.43,0.75,0.16,1.0,0.21,0.86,0.43,2.33,0.0,0.19,16.28,0.8
8889,馬可,新北中信特攻,21,李愷諺,新北國王,1,46,54.0,689.65,11.49,11:30,689.65,11.49,11:30,25.0,25.0,46.3,78.3,25.0,25.0,46.3,78.3,19.0,19.0,35.19,59.51,8.0,8.0,14.81,25.06,11.0,11.0,20.37,34.45,5.0,5.0,9.26,15.66,8.0,8.0,14.81,25.06,3.0,3.0,5.56,9.4,8.0,8.0,14.81,25.06,6.0,6.0,11.11,18.79,3.0,3.0,5.56,9.4,8.0,8.0,14.81,25.06,4.0,4.0,7.41,12.53,8.0,8.0,14.81,25.06,3.0,3.0,5.56,9.4,7.0,7.0,12.96,21.92,2.0,2.0,3.7,6.26,0.0,0.0,0.0,0.0,8.0,8.0,14.81,25.06,7.0,7.0,12.96,21.92,46.3,46.3,0.0,112.75,0.0,0.0,0.0,11.49,11.49,0.5,0.56,0.45,0.38,0.75,0.12,0.88,0.27,0.67,0.48,3.7,0.0,0.15,12.96,0.42
8889,馬可,新北中信特攻,24,蘇士軒,新北國王,1,16,18.0,277.88,4.63,04:38,277.88,4.63,04:38,11.0,11.0,61.11,85.5,7.0,7.0,38.89,54.41,5.0,5.0,27.78,38.87,3.0,3.0,16.67,23.32,3.0,3.0,16.67,23.32,1.0,1.0,5.56,7.77,2.0,2.0,11.11,15.55,2.0,2.0,11.11,15.55,8.0,8.0,44.44,62.18,5.0,5.0,27.78,38.87,2.0,2.0,11.11,15.55,1.0,1.0,5.56,7.77,0.0,0.0,0.0,0.0,4.0,4.0,22.22,31.09,2.0,2.0,11.11,15.55,4.0,4.0,22.22,31.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,22.22,31.09,5.0,5.0,27.78,38.87,61.11,38.89,22.22,93.28,4.0,4.0,22.22,4.63,4.63,0.8,0.65,0.33,1.0,0.62,0.19,1.33,0.33,1.0,0.43,0.0,0.0,0.22,27.78,1.6
