lineup_size,team_name,lineup_player_ids,lineup_player_names,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,PTS_allowed,PTS_allowed_per_game,PTS_allowed_per100,PTS_allowed_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,ORB_allowed,ORB_allowed_per_game,ORB_allowed_per100,ORB_allowed_per36,DRB_allowed,DRB_allowed_per_game,DRB_allowed_per100,DRB_allowed_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PACE,PM_total,PM_per_game,PM_per100,MIN_total,MIN_per_game,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,ORB_pct,DRB_pct,TRB_pct,STL_pct,BLK_pct,Foul_per_poss,FT_allowed_rate_per100,FT_rate
2,新北中信特攻,40|113,謝亞軒/林任鴻,1,39,43.0,665.91,11.1,11:06,665.91,11.1,11:06,25.0,25.0,58.14,81.09,13.0,13.0,30.23,42.17,16.0,16.0,37.21,51.9,8.0,8.0,18.6,25.95,9.0,9.0,20.93,29.19,5.0,5.0,11.63,16.22,7.0,7.0,16.28,22.71,3.0,3.0,6.98,9.73,12.0,12.0,27.91,38.92,10.0,10.0,23.26,32.44,3.0,3.0,6.98,9.73,6.0,6.0,13.95,19.46,1.0,1.0,2.33,3.24,9.0,9.0,20.93,29.19,3.0,3.0,6.98,9.73,7.0,7.0,16.28,22.71,1.0,1.0,2.33,3.24,0.0,0.0,0.0,0.0,7.0,7.0,16.28,22.71,4.0,4.0,9.3,12.97,58.14,30.23,27.91,92.99,12.0,12.0,27.91,11.1,11.1,0.59,0.59,0.56,0.43,0.83,0.12,0.88,0.25,0.86,0.47,2.33,0.0,0.16,9.3,0.75
2,新北中信特攻,40|8889,謝亞軒/馬可,1,50,59.0,767.48,12.79,12:47,767.48,12.79,12:47,27.0,27.0,45.76,75.99,27.0,27.0,45.76,75.99,20.0,20.0,33.9,56.29,9.0,9.0,15.25,25.33,12.0,12.0,20.34,33.77,6.0,6.0,10.17,16.89,8.0,8.0,13.56,22.52,3.0,3.0,5.08,8.44,10.0,10.0,16.95,28.14,8.0,8.0,13.56,22.52,3.0,3.0,5.08,8.44,8.0,8.0,13.56,22.52,4.0,4.0,6.78,11.26,9.0,9.0,15.25,25.33,4.0,4.0,6.78,11.26,8.0,8.0,13.56,22.52,2.0,2.0,3.39,5.63,0.0,0.0,0.0,0.0,10.0,10.0,16.95,28.14,7.0,7.0,11.86,19.7,45.76,45.76,0.0,110.7,0.0,0.0,0.0,12.79,12.79,0.52,0.55,0.5,0.38,0.8,0.14,0.89,0.25,0.67,0.46,3.39,0.0,0.17,11.86,0.5
2,新北中信特攻,40|10877,謝亞軒/阿巴西,1,116,132.0,1766.98,29.45,29:27,1766.98,29.45,29:27,55.0,55.0,41.67,67.23,68.0,68.0,51.52,83.12,45.0,45.0,34.09,55.01,19.0,19.0,14.39,23.23,23.0,23.0,17.42,28.12,12.0,12.0,9.09,14.67,22.0,22.0,16.67,26.89,7.0,7.0,5.3,8.56,14.0,14.0,10.61,17.11,11.0,11.0,8.33,13.45,5.0,5.0,3.79,6.11,21.0,21.0,15.91,25.67,6.0,6.0,4.55,7.33,20.0,20.0,15.15,24.45,11.0,11.0,8.33,13.45,15.0,15.0,11.36,18.34,6.0,6.0,4.55,7.33,1.0,1.0,0.76,1.22,17.0,17.0,12.88,20.78,17.0,17.0,12.88,20.78,41.67,51.52,-9.85,107.57,-13.0,-13.0,-9.85,29.45,29.45,0.5,0.54,0.52,0.32,0.79,0.18,0.79,0.2,0.78,0.5,4.55,0.76,0.13,12.88,0.31
2,新北中信特攻,40|10881,謝亞軒/飛克,1,116,131.0,1831.56,30.53,30:32,1831.56,30.53,30:32,59.0,59.0,45.04,69.58,56.0,56.0,42.75,66.04,45.0,45.0,34.35,53.07,20.0,20.0,15.27,23.59,24.0,24.0,18.32,28.3,13.0,13.0,9.92,15.33,21.0,21.0,16.03,24.77,7.0,7.0,5.34,8.26,18.0,18.0,13.74,21.23,14.0,14.0,10.69,16.51,6.0,6.0,4.58,7.08,22.0,22.0,16.79,25.95,4.0,4.0,3.05,4.72,24.0,24.0,18.32,28.3,11.0,11.0,8.4,12.97,16.0,16.0,12.21,18.87,6.0,6.0,4.58,7.08,1.0,1.0,0.76,1.18,15.0,15.0,11.45,17.69,12.0,12.0,9.16,14.15,45.04,42.75,2.29,102.99,3.0,3.0,2.29,30.53,30.53,0.52,0.56,0.54,0.33,0.78,0.17,0.8,0.2,0.85,0.5,4.58,0.76,0.11,9.16,0.4
2,新北中信特攻,113|8889,林任鴻/馬可,1,25,28.0,436.18,7.27,07:16,436.18,7.27,07:16,13.0,13.0,46.43,64.38,10.0,10.0,35.71,49.52,9.0,9.0,32.14,44.57,4.0,4.0,14.29,19.81,6.0,6.0,21.43,29.71,2.0,2.0,7.14,9.9,3.0,3.0,10.71,14.86,2.0,2.0,7.14,9.9,8.0,8.0,28.57,39.62,5.0,5.0,17.86,24.76,2.0,2.0,7.14,9.9,4.0,4.0,14.29,19.81,1.0,1.0,3.57,4.95,6.0,6.0,21.43,29.71,3.0,3.0,10.71,14.86,5.0,5.0,17.86,24.76,1.0,1.0,3.57,4.95,0.0,0.0,0.0,0.0,5.0,5.0,17.86,24.76,5.0,5.0,17.86,24.76,46.43,35.71,10.71,92.44,3.0,3.0,10.71,7.27,7.27,0.56,0.52,0.33,0.67,0.62,0.19,1.25,0.25,0.8,0.46,3.57,0.0,0.18,17.86,0.89
2,新北中信特攻,113|10877,林任鴻/阿巴西,1,27,30.0,435.15,7.25,07:15,435.15,7.25,07:15,14.0,14.0,46.67,69.49,11.0,11.0,36.67,54.6,11.0,11.0,36.67,54.6,4.0,4.0,13.33,19.86,6.0,6.0,20.0,29.78,2.0,2.0,6.67,9.93,5.0,5.0,16.67,24.82,2.0,2.0,6.67,9.93,8.0,8.0,26.67,39.71,6.0,6.0,20.0,29.78,2.0,2.0,6.67,9.93,6.0,6.0,20.0,29.78,1.0,1.0,3.33,4.96,5.0,5.0,16.67,24.82,2.0,2.0,6.67,9.93,5.0,5.0,16.67,24.82,1.0,1.0,3.33,4.96,0.0,0.0,0.0,0.0,5.0,5.0,16.67,24.82,4.0,4.0,13.33,19.86,46.67,36.67,10.0,99.28,3.0,3.0,10.0,7.25,7.25,0.45,0.48,0.33,0.4,0.75,0.12,1.25,0.29,0.86,0.57,3.33,0.0,0.17,13.33,0.73
2,新北中信特攻,113|10881,林任鴻/飛克,1,39,43.0,644.92,10.75,10:45,644.92,10.75,10:45,25.0,25.0,58.14,83.73,13.0,13.0,30.23,43.54,15.0,15.0,34.88,50.24,7.0,7.0,16.28,23.44,8.0,8.0,18.6,26.79,4.0,4.0,9.3,13.4,7.0,7.0,16.28,23.44,3.0,3.0,6.98,10.05,12.0,12.0,27.91,40.19,10.0,10.0,23.26,33.49,3.0,3.0,6.98,10.05,6.0,6.0,13.95,20.1,1.0,1.0,2.33,3.35,9.0,9.0,20.93,30.14,3.0,3.0,6.98,10.05,7.0,7.0,16.28,23.44,1.0,1.0,2.33,3.35,0.0,0.0,0.0,0.0,7.0,7.0,16.28,23.44,4.0,4.0,9.3,13.4,58.14,30.23,27.91,96.01,12.0,12.0,27.91,10.75,10.75,0.57,0.62,0.5,0.43,0.83,0.13,1.0,0.25,0.86,0.47,2.33,0.0,0.16,9.3,0.8
2,新北中信特攻,8889|10877,馬可/阿巴西,1,50,59.0,755.15,12.59,12:35,755.15,12.59,12:35,27.0,27.0,45.76,77.23,27.0,27.0,45.76,77.23,19.0,19.0,32.2,54.35,8.0,8.0,13.56,22.88,11.0,11.0,18.64,31.46,5.0,5.0,8.47,14.3,8.0,8.0,13.56,22.88,3.0,3.0,5.08,8.58,10.0,10.0,16.95,28.6,8.0,8.0,13.56,22.88,3.0,3.0,5.08,8.58,8.0,8.0,13.56,22.88,4.0,4.0,6.78,11.44,9.0,9.0,15.25,25.74,4.0,4.0,6.78,11.44,8.0,8.0,13.56,22.88,2.0,2.0,3.39,5.72,0.0,0.0,0.0,0.0,11.0,11.0,18.64,31.46,7.0,7.0,11.86,20.02,45.76,45.76,0.0,112.51,0.0,0.0,0.0,12.59,12.59,0.5,0.58,0.45,0.38,0.8,0.15,1.0,0.25,0.67,0.46,3.39,0.0,0.19,11.86,0.53
2,新北中信特攻,8889|10881,馬可/飛克,1,35,41.0,546.29,9.1,09:06,546.29,9.1,09:06,20.0,20.0,48.78,79.08,15.0,15.0,36.59,59.31,15.0,15.0,36.59,59.31,6.0,6.0,14.63,23.72,9.0,9.0,21.95,35.59,4.0,4.0,9.76,15.82,6.0,6.0,14.63,23.72,2.0,2.0,4.88,7.91,8.0,8.0,19.51,31.63,6.0,6.0,14.63,23.72,3.0,3.0,7.32,11.86,7.0,7.0,17.07,27.68,2.0,2.0,4.88,7.91,7.0,7.0,17.07,27.68,2.0,2.0,4.88,7.91,7.0,7.0,17.07,27.68,2.0,2.0,4.88,7.91,0.0,0.0,0.0,0.0,6.0,6.0,14.63,23.72,4.0,4.0,9.76,15.82,48.78,36.59,12.2,108.07,5.0,5.0,12.2,9.1,9.1,0.47,0.54,0.44,0.33,0.75,0.1,1.17,0.3,0.78,0.53,4.88,0.0,0.15,9.76,0.53
2,新北中信特攻,10877|10881,阿巴西/飛克,1,136,158.0,2104.11,35.07,35:04,2104.11,35.07,35:04,67.0,67.0,42.41,68.78,75.0,75.0,47.47,76.99,63.0,63.0,39.87,64.67,22.0,22.0,13.92,22.58,29.0,29.0,18.35,29.77,13.0,13.0,8.23,13.35,34.0,34.0,21.52,34.9,9.0,9.0,5.7,9.24,15.0,15.0,9.49,15.4,11.0,11.0,6.96,11.29,12.0,12.0,7.59,12.32,32.0,32.0,20.25,32.85,6.0,6.0,3.8,6.16,25.0,25.0,15.82,25.66,9.0,9.0,5.7,9.24,17.0,17.0,10.76,17.45,6.0,6.0,3.8,6.16,3.0,3.0,1.9,3.08,15.0,15.0,9.49,15.4,20.0,20.0,12.66,20.53,42.41,47.47,-5.06,108.13,-8.0,-8.0,-5.06,35.07,35.07,0.42,0.48,0.45,0.26,0.73,0.11,0.77,0.32,0.84,0.59,3.8,1.9,0.09,12.66,0.24
