lineup_size,team_name,lineup_player_ids,lineup_player_names,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,PTS_allowed,PTS_allowed_per_game,PTS_allowed_per100,PTS_allowed_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,ORB_allowed,ORB_allowed_per_game,ORB_allowed_per100,ORB_allowed_per36,DRB_allowed,DRB_allowed_per_game,DRB_allowed_per100,DRB_allowed_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PACE,PM_total,PM_per_game,PM_per100,MIN_total,MIN_per_game,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,ORB_pct,DRB_pct,TRB_pct,STL_pct,BLK_pct,Foul_per_poss,FT_allowed_rate_per100,FT_rate
3,新北中信特攻,40|113|8889,謝亞軒/林任鴻/馬可,1,19,22.0,327.28,5.45,05:27,327.28,5.45,05:27,12.0,12.0,54.55,79.2,7.0,7.0,31.82,46.2,9.0,9.0,40.91,59.4,4.0,4.0,18.18,26.4,6.0,6.0,27.27,39.6,2.0,2.0,9.09,13.2,3.0,3.0,13.64,19.8,2.0,2.0,9.09,13.2,6.0,6.0,27.27,39.6,4.0,4.0,18.18,26.4,2.0,2.0,9.09,13.2,4.0,4.0,18.18,26.4,1.0,1.0,4.55,6.6,4.0,4.0,18.18,26.4,1.0,1.0,4.55,6.6,5.0,5.0,22.73,33.0,1.0,1.0,4.55,6.6,0.0,0.0,0.0,0.0,4.0,4.0,18.18,26.4,2.0,2.0,9.09,13.2,54.55,31.82,22.73,96.8,5.0,5.0,22.73,5.45,5.45,0.56,0.52,0.33,0.67,0.67,0.08,1.25,0.33,0.8,0.55,4.55,0.0,0.18,9.09,0.67
3,新北中信特攻,40|113|10877,謝亞軒/林任鴻/阿巴西,1,27,30.0,435.15,7.25,07:15,435.15,7.25,07:15,14.0,14.0,46.67,69.49,11.0,11.0,36.67,54.6,11.0,11.0,36.67,54.6,4.0,4.0,13.33,19.86,6.0,6.0,20.0,29.78,2.0,2.0,6.67,9.93,5.0,5.0,16.67,24.82,2.0,2.0,6.67,9.93,8.0,8.0,26.67,39.71,6.0,6.0,20.0,29.78,2.0,2.0,6.67,9.93,6.0,6.0,20.0,29.78,1.0,1.0,3.33,4.96,5.0,5.0,16.67,24.82,2.0,2.0,6.67,9.93,5.0,5.0,16.67,24.82,1.0,1.0,3.33,4.96,0.0,0.0,0.0,0.0,5.0,5.0,16.67,24.82,4.0,4.0,13.33,19.86,46.67,36.67,10.0,99.28,3.0,3.0,10.0,7.25,7.25,0.45,0.48,0.33,0.4,0.75,0.12,1.25,0.29,0.86,0.57,3.33,0.0,0.17,13.33,0.73
3,新北中信特攻,40|113|10881,謝亞軒/林任鴻/飛克,1,39,43.0,644.92,10.75,10:45,644.92,10.75,10:45,25.0,25.0,58.14,83.73,13.0,13.0,30.23,43.54,15.0,15.0,34.88,50.24,7.0,7.0,16.28,23.44,8.0,8.0,18.6,26.79,4.0,4.0,9.3,13.4,7.0,7.0,16.28,23.44,3.0,3.0,6.98,10.05,12.0,12.0,27.91,40.19,10.0,10.0,23.26,33.49,3.0,3.0,6.98,10.05,6.0,6.0,13.95,20.1,1.0,1.0,2.33,3.35,9.0,9.0,20.93,30.14,3.0,3.0,6.98,10.05,7.0,7.0,16.28,23.44,1.0,1.0,2.33,3.35,0.0,0.0,0.0,0.0,7.0,7.0,16.28,23.44,4.0,4.0,9.3,13.4,58.14,30.23,27.91,96.01,12.0,12.0,27.91,10.75,10.75,0.57,0.62,0.5,0.43,0.83,0.13,1.0,0.25,0.86,0.47,2.33,0.0,0.16,9.3,0.8
3,新北中信特攻,40|8889|10877,謝亞軒/馬可/阿巴西,1,50,59.0,746.5,12.44,12:26,746.5,12.44,12:26,27.0,27.0,45.76,78.12,27.0,27.0,45.76,78.12,19.0,19.0,32.2,54.98,8.0,8.0,13.56,23.15,11.0,11.0,18.64,31.83,5.0,5.0,8.47,14.47,8.0,8.0,13.56,23.15,3.0,3.0,5.08,8.68,10.0,10.0,16.95,28.94,8.0,8.0,13.56,23.15,3.0,3.0,5.08,8.68,8.0,8.0,13.56,23.15,4.0,4.0,6.78,11.57,9.0,9.0,15.25,26.04,4.0,4.0,6.78,11.57,8.0,8.0,13.56,23.15,2.0,2.0,3.39,5.79,0.0,0.0,0.0,0.0,10.0,10.0,16.95,28.94,7.0,7.0,11.86,20.25,45.76,45.76,0.0,113.81,0.0,0.0,0.0,12.44,12.44,0.5,0.58,0.45,0.38,0.8,0.15,1.0,0.25,0.67,0.46,3.39,0.0,0.17,11.86,0.53
3,新北中信特攻,40|8889|10881,謝亞軒/馬可/飛克,1,35,41.0,546.29,9.1,09:06,546.29,9.1,09:06,20.0,20.0,48.78,79.08,15.0,15.0,36.59,59.31,15.0,15.0,36.59,59.31,6.0,6.0,14.63,23.72,9.0,9.0,21.95,35.59,4.0,4.0,9.76,15.82,6.0,6.0,14.63,23.72,2.0,2.0,4.88,7.91,8.0,8.0,19.51,31.63,6.0,6.0,14.63,23.72,3.0,3.0,7.32,11.86,7.0,7.0,17.07,27.68,2.0,2.0,4.88,7.91,7.0,7.0,17.07,27.68,2.0,2.0,4.88,7.91,7.0,7.0,17.07,27.68,2.0,2.0,4.88,7.91,0.0,0.0,0.0,0.0,6.0,6.0,14.63,23.72,4.0,4.0,9.76,15.82,48.78,36.59,12.2,108.07,5.0,5.0,12.2,9.1,9.1,0.47,0.54,0.44,0.33,0.75,0.1,1.17,0.3,0.78,0.53,4.88,0.0,0.15,9.76,0.53
3,新北中信特攻,40|10877|10881,謝亞軒/阿巴西/飛克,1,98,111.0,1546.47,25.77,25:46,1546.47,25.77,25:46,48.0,48.0,43.24,67.04,54.0,54.0,48.65,75.42,39.0,39.0,35.14,54.47,17.0,17.0,15.32,23.74,20.0,20.0,18.02,27.93,11.0,11.0,9.91,15.36,19.0,19.0,17.12,26.54,6.0,6.0,5.41,8.38,12.0,12.0,10.81,16.76,9.0,9.0,8.11,12.57,5.0,5.0,4.5,6.98,19.0,19.0,17.12,26.54,4.0,4.0,3.6,5.59,18.0,18.0,16.22,25.14,9.0,9.0,8.11,12.57,14.0,14.0,12.61,19.55,6.0,6.0,5.41,8.38,1.0,1.0,0.9,1.4,13.0,13.0,11.71,18.16,12.0,12.0,10.81,16.76,43.24,48.65,-5.41,103.36,-6.0,-6.0,-5.41,25.77,25.77,0.51,0.54,0.55,0.32,0.75,0.17,0.82,0.22,0.83,0.52,5.41,0.9,0.12,10.81,0.31
3,新北中信特攻,113|8889|10877,林任鴻/馬可/阿巴西,1,19,22.0,306.29,5.1,05:06,306.29,5.1,05:06,12.0,12.0,54.55,84.62,7.0,7.0,31.82,49.36,8.0,8.0,36.36,56.42,3.0,3.0,13.64,21.16,5.0,5.0,22.73,35.26,1.0,1.0,4.55,7.05,3.0,3.0,13.64,21.16,2.0,2.0,9.09,14.1,6.0,6.0,27.27,42.31,4.0,4.0,18.18,28.21,2.0,2.0,9.09,14.1,4.0,4.0,18.18,28.21,1.0,1.0,4.55,7.05,4.0,4.0,18.18,28.21,1.0,1.0,4.55,7.05,5.0,5.0,22.73,35.26,1.0,1.0,4.55,7.05,0.0,0.0,0.0,0.0,4.0,4.0,18.18,28.21,2.0,2.0,9.09,14.1,54.55,31.82,22.73,103.43,5.0,5.0,22.73,5.1,5.1,0.5,0.56,0.2,0.67,0.67,0.09,1.67,0.33,0.8,0.55,4.55,0.0,0.18,9.09,0.75
3,新北中信特攻,113|8889|10881,林任鴻/馬可/飛克,1,19,22.0,306.29,5.1,05:06,306.29,5.1,05:06,12.0,12.0,54.55,84.62,7.0,7.0,31.82,49.36,8.0,8.0,36.36,56.42,3.0,3.0,13.64,21.16,5.0,5.0,22.73,35.26,1.0,1.0,4.55,7.05,3.0,3.0,13.64,21.16,2.0,2.0,9.09,14.1,6.0,6.0,27.27,42.31,4.0,4.0,18.18,28.21,2.0,2.0,9.09,14.1,4.0,4.0,18.18,28.21,1.0,1.0,4.55,7.05,4.0,4.0,18.18,28.21,1.0,1.0,4.55,7.05,5.0,5.0,22.73,35.26,1.0,1.0,4.55,7.05,0.0,0.0,0.0,0.0,4.0,4.0,18.18,28.21,2.0,2.0,9.09,14.1,54.55,31.82,22.73,103.43,5.0,5.0,22.73,5.1,5.1,0.5,0.56,0.2,0.67,0.67,0.09,1.67,0.33,0.8,0.55,4.55,0.0,0.18,9.09,0.75
3,新北中信特攻,113|10877|10881,林任鴻/阿巴西/飛克,1,27,30.0,435.15,7.25,07:15,435.15,7.25,07:15,14.0,14.0,46.67,69.49,11.0,11.0,36.67,54.6,11.0,11.0,36.67,54.6,4.0,4.0,13.33,19.86,6.0,6.0,20.0,29.78,2.0,2.0,6.67,9.93,5.0,5.0,16.67,24.82,2.0,2.0,6.67,9.93,8.0,8.0,26.67,39.71,6.0,6.0,20.0,29.78,2.0,2.0,6.67,9.93,6.0,6.0,20.0,29.78,1.0,1.0,3.33,4.96,5.0,5.0,16.67,24.82,2.0,2.0,6.67,9.93,5.0,5.0,16.67,24.82,1.0,1.0,3.33,4.96,0.0,0.0,0.0,0.0,5.0,5.0,16.67,24.82,4.0,4.0,13.33,19.86,46.67,36.67,10.0,99.28,3.0,3.0,10.0,7.25,7.25,0.45,0.48,0.33,0.4,0.75,0.12,1.25,0.29,0.86,0.57,3.33,0.0,0.17,13.33,0.73
3,新北中信特攻,8889|10877|10881,馬可/阿巴西/飛克,1,35,41.0,546.29,9.1,09:06,546.29,9.1,09:06,20.0,20.0,48.78,79.08,15.0,15.0,36.59,59.31,15.0,15.0,36.59,59.31,6.0,6.0,14.63,23.72,9.0,9.0,21.95,35.59,4.0,4.0,9.76,15.82,6.0,6.0,14.63,23.72,2.0,2.0,4.88,7.91,8.0,8.0,19.51,31.63,6.0,6.0,14.63,23.72,3.0,3.0,7.32,11.86,7.0,7.0,17.07,27.68,2.0,2.0,4.88,7.91,7.0,7.0,17.07,27.68,2.0,2.0,4.88,7.91,7.0,7.0,17.07,27.68,2.0,2.0,4.88,7.91,0.0,0.0,0.0,0.0,6.0,6.0,14.63,23.72,4.0,4.0,9.76,15.82,48.78,36.59,12.2,108.07,5.0,5.0,12.2,9.1,9.1,0.47,0.54,0.44,0.33,0.75,0.1,1.17,0.3,0.78,0.53,4.88,0.0,0.15,9.76,0.53
