lineup_size,team_name,lineup_player_ids,lineup_player_names,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,PTS_allowed,PTS_allowed_per_game,PTS_allowed_per100,PTS_allowed_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,ORB_allowed,ORB_allowed_per_game,ORB_allowed_per100,ORB_allowed_per36,DRB_allowed,DRB_allowed_per_game,DRB_allowed_per100,DRB_allowed_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PACE,PM_total,PM_per_game,PM_per100,MIN_total,MIN_per_game,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,ORB_pct,DRB_pct,TRB_pct,STL_pct,BLK_pct,Foul_per_poss,FT_allowed_rate_per100,FT_rate
4,新北中信特攻,40|113|8889|10877,謝亞軒/林任鴻/馬可/阿巴西,1,19,22.0,306.29,5.1,05:06,306.29,5.1,05:06,12.0,12.0,54.55,84.62,7.0,7.0,31.82,49.36,8.0,8.0,36.36,56.42,3.0,3.0,13.64,21.16,5.0,5.0,22.73,35.26,1.0,1.0,4.55,7.05,3.0,3.0,13.64,21.16,2.0,2.0,9.09,14.1,6.0,6.0,27.27,42.31,4.0,4.0,18.18,28.21,2.0,2.0,9.09,14.1,4.0,4.0,18.18,28.21,1.0,1.0,4.55,7.05,4.0,4.0,18.18,28.21,1.0,1.0,4.55,7.05,5.0,5.0,22.73,35.26,1.0,1.0,4.55,7.05,0.0,0.0,0.0,0.0,4.0,4.0,18.18,28.21,2.0,2.0,9.09,14.1,54.55,31.82,22.73,103.43,5.0,5.0,22.73,5.1,5.1,0.5,0.56,0.2,0.67,0.67,0.09,1.67,0.33,0.8,0.55,4.55,0.0,0.18,9.09,0.75
4,新北中信特攻,40|113|8889|10881,謝亞軒/林任鴻/馬可/飛克,1,19,22.0,306.29,5.1,05:06,306.29,5.1,05:06,12.0,12.0,54.55,84.62,7.0,7.0,31.82,49.36,8.0,8.0,36.36,56.42,3.0,3.0,13.64,21.16,5.0,5.0,22.73,35.26,1.0,1.0,4.55,7.05,3.0,3.0,13.64,21.16,2.0,2.0,9.09,14.1,6.0,6.0,27.27,42.31,4.0,4.0,18.18,28.21,2.0,2.0,9.09,14.1,4.0,4.0,18.18,28.21,1.0,1.0,4.55,7.05,4.0,4.0,18.18,28.21,1.0,1.0,4.55,7.05,5.0,5.0,22.73,35.26,1.0,1.0,4.55,7.05,0.0,0.0,0.0,0.0,4.0,4.0,18.18,28.21,2.0,2.0,9.09,14.1,54.55,31.82,22.73,103.43,5.0,5.0,22.73,5.1,5.1,0.5,0.56,0.2,0.67,0.67,0.09,1.67,0.33,0.8,0.55,4.55,0.0,0.18,9.09,0.75
4,新北中信特攻,40|113|10877|10881,謝亞軒/林任鴻/阿巴西/飛克,1,27,30.0,435.15,7.25,07:15,435.15,7.25,07:15,14.0,14.0,46.67,69.49,11.0,11.0,36.67,54.6,11.0,11.0,36.67,54.6,4.0,4.0,13.33,19.86,6.0,6.0,20.0,29.78,2.0,2.0,6.67,9.93,5.0,5.0,16.67,24.82,2.0,2.0,6.67,9.93,8.0,8.0,26.67,39.71,6.0,6.0,20.0,29.78,2.0,2.0,6.67,9.93,6.0,6.0,20.0,29.78,1.0,1.0,3.33,4.96,5.0,5.0,16.67,24.82,2.0,2.0,6.67,9.93,5.0,5.0,16.67,24.82,1.0,1.0,3.33,4.96,0.0,0.0,0.0,0.0,5.0,5.0,16.67,24.82,4.0,4.0,13.33,19.86,46.67,36.67,10.0,99.28,3.0,3.0,10.0,7.25,7.25,0.45,0.48,0.33,0.4,0.75,0.12,1.25,0.29,0.86,0.57,3.33,0.0,0.17,13.33,0.73
4,新北中信特攻,40|8889|10877|10881,謝亞軒/馬可/阿巴西/飛克,1,35,41.0,546.29,9.1,09:06,546.29,9.1,09:06,20.0,20.0,48.78,79.08,15.0,15.0,36.59,59.31,15.0,15.0,36.59,59.31,6.0,6.0,14.63,23.72,9.0,9.0,21.95,35.59,4.0,4.0,9.76,15.82,6.0,6.0,14.63,23.72,2.0,2.0,4.88,7.91,8.0,8.0,19.51,31.63,6.0,6.0,14.63,23.72,3.0,3.0,7.32,11.86,7.0,7.0,17.07,27.68,2.0,2.0,4.88,7.91,7.0,7.0,17.07,27.68,2.0,2.0,4.88,7.91,7.0,7.0,17.07,27.68,2.0,2.0,4.88,7.91,0.0,0.0,0.0,0.0,6.0,6.0,14.63,23.72,4.0,4.0,9.76,15.82,48.78,36.59,12.2,108.07,5.0,5.0,12.2,9.1,9.1,0.47,0.54,0.44,0.33,0.75,0.1,1.17,0.3,0.78,0.53,4.88,0.0,0.15,9.76,0.53
4,新北中信特攻,113|8889|10877|10881,林任鴻/馬可/阿巴西/飛克,1,19,22.0,306.29,5.1,05:06,306.29,5.1,05:06,12.0,12.0,54.55,84.62,7.0,7.0,31.82,49.36,8.0,8.0,36.36,56.42,3.0,3.0,13.64,21.16,5.0,5.0,22.73,35.26,1.0,1.0,4.55,7.05,3.0,3.0,13.64,21.16,2.0,2.0,9.09,14.1,6.0,6.0,27.27,42.31,4.0,4.0,18.18,28.21,2.0,2.0,9.09,14.1,4.0,4.0,18.18,28.21,1.0,1.0,4.55,7.05,4.0,4.0,18.18,28.21,1.0,1.0,4.55,7.05,5.0,5.0,22.73,35.26,1.0,1.0,4.55,7.05,0.0,0.0,0.0,0.0,4.0,4.0,18.18,28.21,2.0,2.0,9.09,14.1,54.55,31.82,22.73,103.43,5.0,5.0,22.73,5.1,5.1,0.5,0.56,0.2,0.67,0.67,0.09,1.67,0.33,0.8,0.55,4.55,0.0,0.18,9.09,0.75
4,新北國王,21|24|29|32,李愷諺/蘇士軒/林書緯/奧帝,1,40,48.0,683.15,11.39,11:23,683.15,11.39,11:23,19.0,19.0,39.58,60.07,22.0,22.0,45.83,69.56,16.0,16.0,33.33,50.59,7.0,7.0,14.58,22.13,8.0,8.0,16.67,25.29,5.0,5.0,10.42,15.81,8.0,8.0,16.67,25.29,2.0,2.0,4.17,6.32,5.0,5.0,10.42,15.81,3.0,3.0,6.25,9.49,0.0,0.0,0.0,0.0,10.0,10.0,20.83,31.62,6.0,6.0,12.5,18.97,8.0,8.0,16.67,25.29,2.0,2.0,4.17,6.32,4.0,4.0,8.33,12.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,14.58,22.13,10.0,10.0,20.83,31.62,39.58,45.83,-6.25,101.18,-3.0,-3.0,-6.25,11.39,11.39,0.5,0.52,0.62,0.25,0.6,0.1,0.57,0.0,0.62,0.42,0.0,0.0,0.15,20.83,0.31
4,新北國王,21|24|29|13029,李愷諺/蘇士軒/林書緯/杰倫,1,48,57.0,823.17,13.72,13:43,823.17,13.72,13:43,19.0,19.0,33.33,49.86,28.0,28.0,49.12,73.47,20.0,20.0,35.09,52.48,7.0,7.0,12.28,18.37,8.0,8.0,14.04,20.99,5.0,5.0,8.77,13.12,12.0,12.0,21.05,31.49,2.0,2.0,3.51,5.25,5.0,5.0,8.77,13.12,3.0,3.0,5.26,7.87,0.0,0.0,0.0,0.0,14.0,14.0,24.56,36.74,7.0,7.0,12.28,18.37,8.0,8.0,14.04,20.99,2.0,2.0,3.51,5.25,4.0,4.0,7.02,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,14.04,20.99,10.0,10.0,17.54,26.24,33.33,49.12,-15.79,99.71,-9.0,-9.0,-15.79,13.72,13.72,0.4,0.43,0.62,0.17,0.6,0.08,0.57,0.0,0.67,0.48,0.0,0.0,0.14,17.54,0.25
4,新北國王,21|24|32|13029,李愷諺/蘇士軒/奧帝/杰倫,1,40,48.0,683.15,11.39,11:23,683.15,11.39,11:23,19.0,19.0,39.58,60.07,22.0,22.0,45.83,69.56,16.0,16.0,33.33,50.59,7.0,7.0,14.58,22.13,8.0,8.0,16.67,25.29,5.0,5.0,10.42,15.81,8.0,8.0,16.67,25.29,2.0,2.0,4.17,6.32,5.0,5.0,10.42,15.81,3.0,3.0,6.25,9.49,0.0,0.0,0.0,0.0,10.0,10.0,20.83,31.62,6.0,6.0,12.5,18.97,8.0,8.0,16.67,25.29,2.0,2.0,4.17,6.32,4.0,4.0,8.33,12.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,14.58,22.13,10.0,10.0,20.83,31.62,39.58,45.83,-6.25,101.18,-3.0,-3.0,-6.25,11.39,11.39,0.5,0.52,0.62,0.25,0.6,0.1,0.57,0.0,0.62,0.42,0.0,0.0,0.15,20.83,0.31
4,新北國王,21|29|32|13029,李愷諺/林書緯/奧帝/杰倫,1,49,59.0,816.9,13.61,13:37,816.9,13.61,13:37,21.0,21.0,35.59,55.53,27.0,27.0,45.76,71.39,20.0,20.0,33.9,52.88,7.0,7.0,11.86,18.51,9.0,9.0,15.25,23.8,5.0,5.0,8.47,13.22,11.0,11.0,18.64,29.09,2.0,2.0,3.39,5.29,7.0,7.0,11.86,18.51,5.0,5.0,8.47,13.22,2.0,2.0,3.39,5.29,12.0,12.0,20.34,31.73,6.0,6.0,10.17,15.86,10.0,10.0,16.95,26.44,3.0,3.0,5.08,7.93,4.0,4.0,6.78,10.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,13.56,21.15,11.0,11.0,18.64,29.09,35.59,45.76,-10.17,104.0,-6.0,-6.0,-10.17,13.61,13.61,0.4,0.45,0.56,0.18,0.71,0.12,0.57,0.17,0.67,0.47,0.0,0.0,0.14,18.64,0.35
4,新北國王,24|29|32|13029,蘇士軒/林書緯/奧帝/杰倫,1,56,66.0,863.54,14.39,14:24,863.54,14.39,14:24,27.0,27.0,40.91,67.54,27.0,27.0,40.91,67.54,22.0,22.0,33.33,55.03,10.0,10.0,15.15,25.01,13.0,13.0,19.7,32.52,8.0,8.0,12.12,20.01,9.0,9.0,13.64,22.51,2.0,2.0,3.03,5.0,7.0,7.0,10.61,17.51,5.0,5.0,7.58,12.51,0.0,0.0,0.0,0.0,13.0,13.0,19.7,32.52,7.0,7.0,10.61,17.51,13.0,13.0,19.7,32.52,3.0,3.0,4.55,7.5,6.0,6.0,9.09,15.01,0.0,0.0,0.0,0.0,1.0,1.0,1.52,2.5,10.0,10.0,15.15,25.01,10.0,10.0,15.15,25.01,40.91,40.91,0.0,110.06,0.0,0.0,0.0,14.39,14.39,0.5,0.54,0.62,0.22,0.71,0.11,0.6,0.0,0.65,0.39,0.0,1.52,0.15,15.15,0.32
