lineup_size,team_name,lineup_player_ids,lineup_player_names,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,PTS_allowed,PTS_allowed_per_game,PTS_allowed_per100,PTS_allowed_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,ORB_allowed,ORB_allowed_per_game,ORB_allowed_per100,ORB_allowed_per36,DRB_allowed,DRB_allowed_per_game,DRB_allowed_per100,DRB_allowed_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PACE,PM_total,PM_per_game,PM_per100,MIN_total,MIN_per_game,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,ORB_pct,DRB_pct,TRB_pct,STL_pct,BLK_pct,Foul_per_poss,FT_allowed_rate_per100,FT_rate
5,新北中信特攻,40|113|8889|10877|10881,謝亞軒/林任鴻/馬可/阿巴西/飛克,1,19,22.0,306.29,5.1,05:06,306.29,5.1,05:06,12.0,12.0,54.55,84.62,7.0,7.0,31.82,49.36,8.0,8.0,36.36,56.42,3.0,3.0,13.64,21.16,5.0,5.0,22.73,35.26,1.0,1.0,4.55,7.05,3.0,3.0,13.64,21.16,2.0,2.0,9.09,14.1,6.0,6.0,27.27,42.31,4.0,4.0,18.18,28.21,2.0,2.0,9.09,14.1,4.0,4.0,18.18,28.21,1.0,1.0,4.55,7.05,4.0,4.0,18.18,28.21,1.0,1.0,4.55,7.05,5.0,5.0,22.73,35.26,1.0,1.0,4.55,7.05,0.0,0.0,0.0,0.0,4.0,4.0,18.18,28.21,2.0,2.0,9.09,14.1,54.55,31.82,22.73,103.43,5.0,5.0,22.73,5.1,5.1,0.5,0.56,0.2,0.67,0.67,0.09,1.67,0.33,0.8,0.55,4.55,0.0,0.18,9.09,0.75
5,新北國王,21|24|29|32|13029,李愷諺/蘇士軒/林書緯/奧帝/杰倫,1,40,48.0,683.15,11.39,11:23,683.15,11.39,11:23,19.0,19.0,39.58,60.07,22.0,22.0,45.83,69.56,16.0,16.0,33.33,50.59,7.0,7.0,14.58,22.13,8.0,8.0,16.67,25.29,5.0,5.0,10.42,15.81,8.0,8.0,16.67,25.29,2.0,2.0,4.17,6.32,5.0,5.0,10.42,15.81,3.0,3.0,6.25,9.49,0.0,0.0,0.0,0.0,10.0,10.0,20.83,31.62,6.0,6.0,12.5,18.97,8.0,8.0,16.67,25.29,2.0,2.0,4.17,6.32,4.0,4.0,8.33,12.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,14.58,22.13,10.0,10.0,20.83,31.62,39.58,45.83,-6.25,101.18,-3.0,-3.0,-6.25,11.39,11.39,0.5,0.52,0.62,0.25,0.6,0.1,0.57,0.0,0.62,0.42,0.0,0.0,0.15,20.83,0.31
5,新北國王,21|29|32|10874|13029,李愷諺/林書緯/奧帝/熊祥泰/杰倫,1,4,5.0,61.3,1.02,01:01,61.3,1.02,01:01,0.0,0.0,0.0,0.0,2.0,2.0,40.0,70.48,2.0,2.0,40.0,70.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,40.0,70.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,20.0,35.24,1.0,1.0,20.0,35.24,0.0,0.0,0.0,0.0,1.0,1.0,20.0,35.24,1.0,1.0,20.0,35.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,-40.0,117.46,-2.0,-2.0,-40.0,1.02,1.02,0.0,0.0,,0.0,,0.33,,0.5,1.0,0.67,0.0,0.0,0.0,0.0,0.0
5,新北國王,21|23|29|13029|14038,李愷諺/王柏智/林書緯/杰倫/飛米,1,15,17.0,205.0,3.42,03:25,205.0,3.42,03:25,5.0,5.0,29.41,52.68,4.0,4.0,23.53,42.15,6.0,6.0,35.29,63.22,2.0,2.0,11.76,21.07,3.0,3.0,17.65,31.61,1.0,1.0,5.88,10.54,3.0,3.0,17.65,31.61,1.0,1.0,5.88,10.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,23.53,42.15,1.0,1.0,5.88,10.54,4.0,4.0,23.53,42.15,1.0,1.0,5.88,10.54,2.0,2.0,11.76,21.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,11.76,21.07,2.0,2.0,11.76,21.07,29.41,23.53,5.88,119.41,1.0,1.0,5.88,3.42,3.42,0.42,0.42,0.33,0.33,,0.14,1.0,0.0,0.8,0.44,0.0,0.0,0.12,11.76,0.0
5,新北中信特攻,40|43|8889|10877|10881,謝亞軒/林韋翰/馬可/阿巴西/飛克,1,16,19.0,240.0,4.0,04:00,240.0,4.0,04:00,8.0,8.0,42.11,72.0,8.0,8.0,42.11,72.0,7.0,7.0,36.84,63.0,3.0,3.0,15.79,27.0,4.0,4.0,21.05,36.0,3.0,3.0,15.79,27.0,3.0,3.0,15.79,27.0,0.0,0.0,0.0,0.0,2.0,2.0,10.53,18.0,2.0,2.0,10.53,18.0,1.0,1.0,5.26,9.0,3.0,3.0,15.79,27.0,1.0,1.0,5.26,9.0,3.0,3.0,15.79,27.0,1.0,1.0,5.26,9.0,2.0,2.0,10.53,18.0,1.0,1.0,5.26,9.0,0.0,0.0,0.0,0.0,2.0,2.0,10.53,18.0,2.0,2.0,10.53,18.0,42.11,42.11,0.0,114.0,0.0,0.0,0.0,4.0,4.0,0.43,0.51,0.75,0.0,1.0,0.11,0.67,0.25,0.75,0.5,5.26,0.0,0.11,10.53,0.29
5,新北中信特攻,43|10877|10879|10880|10881,林韋翰/阿巴西/簡廷兆/內馬/飛克,1,28,33.0,417.54,6.96,06:58,417.54,6.96,06:58,13.0,13.0,39.39,67.25,13.0,13.0,39.39,67.25,16.0,16.0,48.48,82.77,3.0,3.0,9.09,15.52,7.0,7.0,21.21,36.21,2.0,2.0,6.06,10.35,9.0,9.0,27.27,46.56,1.0,1.0,3.03,5.17,3.0,3.0,9.09,15.52,2.0,2.0,6.06,10.35,4.0,4.0,12.12,20.69,10.0,10.0,30.3,51.73,1.0,1.0,3.03,5.17,5.0,5.0,15.15,25.87,0.0,0.0,0.0,0.0,1.0,1.0,3.03,5.17,0.0,0.0,0.0,0.0,2.0,2.0,6.06,10.35,2.0,2.0,6.06,10.35,6.0,6.0,18.18,31.04,39.39,39.39,0.0,113.81,0.0,0.0,0.0,6.96,6.96,0.22,0.38,0.29,0.11,0.67,0.0,0.33,0.44,0.91,0.7,0.0,6.06,0.06,18.18,0.19
5,新北國王,29|32|10872|10874|14038,林書緯/奧帝/林彥廷/熊祥泰/飛米,1,37,44.0,540.61,9.01,09:01,540.61,9.01,09:01,26.0,26.0,59.09,103.88,17.0,17.0,38.64,67.92,15.0,15.0,34.09,59.93,7.0,7.0,15.91,27.97,4.0,4.0,9.09,15.98,1.0,1.0,2.27,4.0,11.0,11.0,25.0,43.95,6.0,6.0,13.64,23.97,6.0,6.0,13.64,23.97,4.0,4.0,9.09,15.98,3.0,3.0,6.82,11.99,5.0,5.0,11.36,19.98,3.0,3.0,6.82,11.99,10.0,10.0,22.73,39.95,3.0,3.0,6.82,11.99,7.0,7.0,15.91,27.97,3.0,3.0,6.82,11.99,0.0,0.0,0.0,0.0,3.0,3.0,6.82,11.99,4.0,4.0,9.09,15.98,59.09,38.64,20.45,117.2,9.0,9.0,20.45,9.01,9.01,0.67,0.74,0.25,0.55,0.67,0.15,1.0,0.23,0.62,0.38,6.82,0.0,0.07,9.09,0.4
5,新北中信特攻,43|113|8889|10879|10880,林韋翰/林任鴻/馬可/簡廷兆/內馬,1,5,5.0,91.0,1.52,01:31,91.0,1.52,01:31,0.0,0.0,0.0,0.0,3.0,3.0,60.0,71.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,40.0,47.47,2.0,2.0,40.0,47.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,20.0,23.74,3.0,3.0,60.0,71.21,0.0,60.0,-60.0,79.12,-3.0,-3.0,-60.0,1.52,1.52,,,,,,1.0,,0.0,,0.0,0.0,0.0,0.2,60.0,
5,新北國王,24|32|10872|10874|13029,蘇士軒/奧帝/林彥廷/熊祥泰/杰倫,1,6,6.0,112.88,1.88,01:53,112.88,1.88,01:53,3.0,3.0,50.0,57.41,1.0,1.0,16.67,19.14,2.0,2.0,33.33,38.27,1.0,1.0,16.67,19.14,2.0,2.0,33.33,38.27,1.0,1.0,16.67,19.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,50.0,57.41,1.0,1.0,16.67,19.14,0.0,0.0,0.0,0.0,2.0,2.0,33.33,38.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16.67,19.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,50.0,57.41,2.0,2.0,33.33,38.27,50.0,16.67,33.33,76.54,2.0,2.0,33.33,1.88,1.88,0.5,0.45,0.5,,0.33,0.0,1.0,,1.0,1.0,0.0,0.0,0.5,33.33,1.5
5,新北中信特攻,39|44|113|8889|10880,魏嘉豪/黃泓瀚/林任鴻/馬可/內馬,1,1,1.0,17.9,0.3,00:18,17.9,0.3,00:18,1.0,1.0,100.0,120.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,200.0,241.39,1.0,1.0,100.0,120.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,80.46,1.0,1.0,100.0,0.3,0.3,,0.57,,,0.5,0.0,,,,,0.0,0.0,0.0,0.0,
