lineup_size,lineup_player_ids,lineup_player_names,team_name,opp_lineup_size,opp_lineup_player_ids,opp_lineup_player_names,opp_team_name,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,PTS_allowed,PTS_allowed_per_game,PTS_allowed_per100,PTS_allowed_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,ORB_allowed,ORB_allowed_per_game,ORB_allowed_per100,ORB_allowed_per36,DRB_allowed,DRB_allowed_per_game,DRB_allowed_per100,DRB_allowed_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PACE,PM_total,PM_per_game,PM_per100,MIN_total,MIN_per_game,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,ORB_pct,DRB_pct,TRB_pct,STL_pct,BLK_pct,Foul_per_poss,FT_allowed_rate_per100,FT_rate
2,16|54,米勒/高錦瑋,桃園台啤永豐雲豹,2,21|24,李愷諺/蘇士軒,新北國王,1,71,81.0,1098.89,18.31,18:19,1098.89,18.31,18:19,38.0,38.0,46.91,74.69,37.0,37.0,45.68,72.73,27.0,27.0,33.33,53.07,14.0,14.0,17.28,27.52,20.0,20.0,24.69,39.31,12.0,12.0,14.81,23.59,7.0,7.0,8.64,13.76,2.0,2.0,2.47,3.93,12.0,12.0,14.81,23.59,8.0,8.0,9.88,15.72,4.0,4.0,4.94,7.86,12.0,12.0,14.81,23.59,2.0,2.0,2.47,3.93,12.0,12.0,14.81,23.59,9.0,9.0,11.11,17.69,8.0,8.0,9.88,15.72,7.0,7.0,8.64,13.76,0.0,0.0,0.0,0.0,10.0,10.0,12.35,19.66,2.0,2.0,2.47,3.93,46.91,45.68,1.23,106.14,1.0,1.0,1.23,18.31,18.31,0.56,0.59,0.6,0.29,0.67,0.22,0.57,0.25,0.86,0.53,8.64,0.0,0.12,2.47,0.44
2,21|24,李愷諺/蘇士軒,新北國王,2,16|54,米勒/高錦瑋,桃園台啤永豐雲豹,1,71,81.0,1098.89,18.31,18:19,1098.89,18.31,18:19,37.0,37.0,45.68,72.73,38.0,38.0,46.91,74.69,28.0,28.0,34.57,55.04,14.0,14.0,17.28,27.52,16.0,16.0,19.75,31.45,7.0,7.0,8.64,13.76,12.0,12.0,14.81,23.59,7.0,7.0,8.64,13.76,2.0,2.0,2.47,3.93,2.0,2.0,2.47,3.93,2.0,2.0,2.47,3.93,12.0,12.0,14.81,23.59,4.0,4.0,4.94,7.86,12.0,12.0,14.81,23.59,8.0,8.0,9.88,15.72,9.0,9.0,11.11,17.69,6.0,6.0,7.41,11.79,1.0,1.0,1.23,1.97,6.0,6.0,7.41,11.79,12.0,12.0,14.81,23.59,45.68,46.91,-1.23,106.14,-1.0,-1.0,-1.23,18.31,18.31,0.62,0.64,0.44,0.58,1.0,0.22,0.64,0.14,0.75,0.47,7.41,1.23,0.07,14.81,0.07
2,16|54,米勒/高錦瑋,桃園台啤永豐雲豹,2,21|29,李愷諺/林書緯,新北國王,1,73,85.0,1167.33,19.46,19:27,1167.33,19.46,19:27,38.0,38.0,44.71,70.31,42.0,42.0,49.41,77.72,27.0,27.0,31.76,49.96,14.0,14.0,16.47,25.91,20.0,20.0,23.53,37.01,12.0,12.0,14.12,22.2,7.0,7.0,8.24,12.95,2.0,2.0,2.35,3.7,12.0,12.0,14.12,22.2,8.0,8.0,9.41,14.8,4.0,4.0,4.71,7.4,12.0,12.0,14.12,22.2,4.0,4.0,4.71,7.4,12.0,12.0,14.12,22.2,9.0,9.0,10.59,16.65,8.0,8.0,9.41,14.8,7.0,7.0,8.24,12.95,0.0,0.0,0.0,0.0,9.0,9.0,10.59,16.65,4.0,4.0,4.71,7.4,44.71,49.41,-4.71,104.85,-4.0,-4.0,-4.71,19.46,19.46,0.56,0.59,0.6,0.29,0.67,0.22,0.57,0.25,0.75,0.5,8.24,0.0,0.11,4.71,0.44
2,21|29,李愷諺/林書緯,新北國王,2,16|54,米勒/高錦瑋,桃園台啤永豐雲豹,1,73,85.0,1167.33,19.46,19:27,1167.33,19.46,19:27,42.0,42.0,49.41,77.72,38.0,38.0,44.71,70.31,32.0,32.0,37.65,59.21,16.0,16.0,18.82,29.61,17.0,17.0,20.0,31.46,8.0,8.0,9.41,14.8,15.0,15.0,17.65,27.76,8.0,8.0,9.41,14.8,4.0,4.0,4.71,7.4,2.0,2.0,2.35,3.7,4.0,4.0,4.71,7.4,12.0,12.0,14.12,22.2,4.0,4.0,4.71,7.4,12.0,12.0,14.12,22.2,7.0,7.0,8.24,12.95,11.0,11.0,12.94,20.35,5.0,5.0,5.88,9.25,1.0,1.0,1.18,1.85,7.0,7.0,8.24,12.95,12.0,12.0,14.12,22.2,49.41,44.71,4.71,104.85,4.0,4.0,4.71,19.46,19.46,0.62,0.62,0.47,0.53,0.5,0.17,0.69,0.25,0.75,0.5,5.88,1.18,0.08,14.12,0.12
2,16|54,米勒/高錦瑋,桃園台啤永豐雲豹,2,21|32,李愷諺/奧帝,新北國王,1,51,60.0,799.48,13.32,13:19,799.48,13.32,13:19,24.0,24.0,40.0,64.84,29.0,29.0,48.33,78.35,19.0,19.0,31.67,51.33,9.0,9.0,15.0,24.32,16.0,16.0,26.67,43.23,9.0,9.0,15.0,24.32,3.0,3.0,5.0,8.11,0.0,0.0,0.0,0.0,8.0,8.0,13.33,21.61,4.0,4.0,6.67,10.81,2.0,2.0,3.33,5.4,11.0,11.0,18.33,29.72,3.0,3.0,5.0,8.11,8.0,8.0,13.33,21.61,6.0,6.0,10.0,16.21,6.0,6.0,10.0,16.21,4.0,4.0,6.67,10.81,0.0,0.0,0.0,0.0,8.0,8.0,13.33,21.61,2.0,2.0,3.33,5.4,40.0,48.33,-8.33,108.07,-5.0,-5.0,-8.33,13.32,13.32,0.47,0.53,0.56,0.0,0.5,0.21,0.67,0.2,0.79,0.54,6.67,0.0,0.13,3.33,0.42
2,21|32,李愷諺/奧帝,新北國王,2,16|54,米勒/高錦瑋,桃園台啤永豐雲豹,1,51,60.0,799.48,13.32,13:19,799.48,13.32,13:19,29.0,29.0,48.33,78.35,24.0,24.0,40.0,64.84,22.0,22.0,36.67,59.44,11.0,11.0,18.33,29.72,12.0,12.0,20.0,32.42,6.0,6.0,10.0,16.21,10.0,10.0,16.67,27.02,5.0,5.0,8.33,13.51,2.0,2.0,3.33,5.4,2.0,2.0,3.33,5.4,3.0,3.0,5.0,8.11,8.0,8.0,13.33,21.61,2.0,2.0,3.33,5.4,11.0,11.0,18.33,29.72,5.0,5.0,8.33,13.51,8.0,8.0,13.33,21.61,4.0,4.0,6.67,10.81,0.0,0.0,0.0,0.0,4.0,4.0,6.67,10.81,8.0,8.0,13.33,21.61,48.33,40.0,8.33,108.07,5.0,5.0,8.33,13.32,13.32,0.61,0.63,0.5,0.5,1.0,0.18,0.73,0.21,0.8,0.46,6.67,0.0,0.07,13.33,0.09
2,16|54,米勒/高錦瑋,桃園台啤永豐雲豹,2,21|13029,李愷諺/杰倫,新北國王,1,85,101.0,1326.54,22.11,22:07,1326.54,22.11,22:07,48.0,48.0,47.52,78.16,49.0,49.0,48.51,79.79,36.0,36.0,35.64,58.62,19.0,19.0,18.81,30.94,28.0,28.0,27.72,45.59,17.0,17.0,16.83,27.68,8.0,8.0,7.92,13.03,2.0,2.0,1.98,3.26,13.0,13.0,12.87,21.17,8.0,8.0,7.92,13.03,7.0,7.0,6.93,11.4,14.0,14.0,13.86,22.8,4.0,4.0,3.96,6.51,13.0,13.0,12.87,21.17,9.0,9.0,8.91,14.65,10.0,10.0,9.9,16.28,7.0,7.0,6.93,11.4,0.0,0.0,0.0,0.0,11.0,11.0,10.89,17.91,9.0,9.0,8.91,14.65,47.52,48.51,-0.99,109.64,-1.0,-1.0,-0.99,22.11,22.11,0.56,0.58,0.61,0.25,0.62,0.18,0.53,0.35,0.78,0.55,6.93,0.0,0.11,8.91,0.36
2,21|13029,李愷諺/杰倫,新北國王,2,16|54,米勒/高錦瑋,桃園台啤永豐雲豹,1,85,101.0,1326.54,22.11,22:07,1326.54,22.11,22:07,49.0,49.0,48.51,79.79,48.0,48.0,47.52,78.16,34.0,34.0,33.66,55.36,17.0,17.0,16.83,27.68,18.0,18.0,17.82,29.31,9.0,9.0,8.91,14.65,16.0,16.0,15.84,26.05,8.0,8.0,7.92,13.03,9.0,9.0,8.91,14.65,7.0,7.0,6.93,11.4,4.0,4.0,3.96,6.51,13.0,13.0,12.87,21.17,7.0,7.0,6.93,11.4,14.0,14.0,13.86,22.8,9.0,9.0,8.91,14.65,11.0,11.0,10.89,17.91,6.0,6.0,5.94,9.77,1.0,1.0,0.99,1.63,7.0,7.0,6.93,11.4,13.0,13.0,12.87,21.17,48.51,47.52,0.99,109.64,1.0,1.0,0.99,22.11,22.11,0.62,0.65,0.5,0.5,0.78,0.19,0.65,0.22,0.65,0.45,5.94,0.99,0.07,12.87,0.26
2,16|54,米勒/高錦瑋,桃園台啤永豐雲豹,2,24|29,蘇士軒/林書緯,新北國王,1,68,78.0,1080.22,18.0,18:00,1080.22,18.0,18:00,36.0,36.0,46.15,71.99,35.0,35.0,44.87,69.99,25.0,25.0,32.05,49.99,13.0,13.0,16.67,25.99,18.0,18.0,23.08,35.99,11.0,11.0,14.1,22.0,7.0,7.0,8.97,14.0,2.0,2.0,2.56,4.0,12.0,12.0,15.38,24.0,8.0,8.0,10.26,16.0,4.0,4.0,5.13,8.0,11.0,11.0,14.1,22.0,2.0,2.0,2.56,4.0,12.0,12.0,15.38,24.0,10.0,10.0,12.82,20.0,8.0,8.0,10.26,16.0,7.0,7.0,8.97,14.0,0.0,0.0,0.0,0.0,9.0,9.0,11.54,18.0,0.0,0.0,0.0,0.0,46.15,44.87,1.28,103.98,1.0,1.0,1.28,18.0,18.0,0.56,0.59,0.61,0.29,0.67,0.25,0.62,0.25,0.85,0.52,8.97,0.0,0.12,0.0,0.48
2,24|29,蘇士軒/林書緯,新北國王,2,16|54,米勒/高錦瑋,桃園台啤永豐雲豹,1,68,78.0,1080.22,18.0,18:00,1080.22,18.0,18:00,35.0,35.0,44.87,69.99,36.0,36.0,46.15,71.99,28.0,28.0,35.9,55.99,14.0,14.0,17.95,27.99,16.0,16.0,20.51,31.99,7.0,7.0,8.97,14.0,12.0,12.0,15.38,24.0,7.0,7.0,8.97,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.56,4.0,12.0,12.0,15.38,24.0,4.0,4.0,5.13,8.0,11.0,11.0,14.1,22.0,7.0,7.0,8.97,14.0,9.0,9.0,11.54,18.0,5.0,5.0,6.41,10.0,1.0,1.0,1.28,2.0,6.0,6.0,7.69,12.0,12.0,12.0,15.38,24.0,44.87,46.15,-1.28,103.98,-1.0,-1.0,-1.28,18.0,18.0,0.62,0.62,0.44,0.58,,0.2,0.64,0.15,0.75,0.48,6.41,1.28,0.08,15.38,0.0
