player_id,player_name,team_name,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PM_total,PM_per_game,PM_per100,PACE,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,USG_pct,ORB_pct,DRB_pct,TRB_pct,STL_per100poss,BLK_per100poss,Foul_per_poss,FT_allowed_rate_per100,FT_rate,rapm_per100,orapm_per100,drapm_per100,on_court_poss,games_played,poss_per_game
79,張宗憲,福爾摩沙夢想家,1,115,132.0,1812.0,30.2,30:12,1812.0,30.2,30:12,15.0,15.0,11.36,17.88,11.0,11.0,8.33,13.11,6.0,6.0,4.55,7.15,8.0,8.0,6.06,9.54,4.0,4.0,3.03,4.77,3.0,3.0,2.27,3.58,2.0,2.0,1.52,2.38,2.0,2.0,1.52,2.38,1.0,1.0,0.76,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.52,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.52,2.38,18.0,18.0,13.64,21.46,45.45,44.7,0.76,1.0,1.0,0.76,104.9,0.64,0.63,0.5,0.67,0.5,0.0,0.12,9.0,0.0,0.0,0.0,0.0,0.0,0.02,13.64,0.18,0.08,-0.09,-0.15,132.0,1,132.0
89,蔣淯安,福爾摩沙夢想家,1,110,125.0,1782.0,29.7,29:42,1782.0,29.7,29:42,4.0,4.0,3.2,4.85,5.0,5.0,4.0,6.06,1.0,1.0,0.8,1.21,2.0,2.0,1.6,2.42,1.0,1.0,0.8,1.21,3.0,3.0,2.4,3.64,0.0,0.0,0.0,0.0,2.0,2.0,1.6,2.42,2.0,2.0,1.6,2.42,0.0,0.0,0.0,0.0,2.0,2.0,1.6,2.42,5.0,5.0,4.0,6.06,2.0,2.0,1.6,2.42,0.0,0.0,0.0,0.0,2.0,2.0,1.6,2.42,1.0,1.0,0.8,1.21,10.0,10.0,8.0,12.12,44.0,40.8,3.2,4.0,4.0,3.2,101.01,0.2,0.34,0.5,0.0,1.0,0.25,0.23,6.3,0.0,0.25,0.06,1.6,0.0,0.01,8.0,0.4,0.23,-0.17,-0.38,125.0,1,125.0
103,忻沃克,福爾摩沙夢想家,1,114,130.0,1873.0,31.22,31:13,1873.0,31.22,31:13,5.0,5.0,3.85,5.77,9.0,9.0,6.92,10.38,2.0,2.0,1.54,2.31,3.0,3.0,2.31,3.46,1.0,1.0,0.77,1.15,6.0,6.0,4.62,6.92,1.0,1.0,0.77,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.77,1.15,1.0,1.0,0.77,1.15,0.0,0.0,0.0,0.0,1.0,1.0,0.77,1.15,1.0,1.0,0.77,1.15,0.0,0.0,0.0,0.0,2.0,2.0,1.54,2.31,18.0,18.0,13.85,20.76,44.62,47.69,-3.08,-4.0,-4.0,-3.08,99.95,0.28,0.28,0.33,0.17,,0.0,0.0,6.92,0.04,0.12,0.06,0.77,0.77,0.02,13.85,0.0,-0.16,-0.14,0.04,130.0,1,130.0
106,高柏鎧,福爾摩沙夢想家,1,93,104.0,1550.0,25.83,25:50,1550.0,25.83,25:50,13.0,13.0,12.5,18.12,5.0,5.0,4.81,6.97,5.0,5.0,4.81,6.97,5.0,5.0,4.81,6.97,5.0,5.0,4.81,6.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.88,4.18,3.0,3.0,2.88,4.18,1.0,1.0,0.96,1.39,4.0,4.0,3.85,5.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.96,1.39,1.0,1.0,0.96,1.39,6.0,6.0,5.77,8.36,8.0,8.0,7.69,11.15,48.08,43.27,4.81,5.0,5.0,4.81,96.62,1.0,1.03,1.0,,1.0,0.14,0.0,7.04,0.05,0.5,0.18,0.0,0.96,0.06,7.69,0.6,0.27,0.06,-0.19,104.0,1,104.0
13906,班提爾,福爾摩沙夢想家,1,131,148.0,2065.0,34.42,34:25,2065.0,34.42,34:25,27.0,27.0,18.24,28.24,19.0,19.0,12.84,19.87,10.0,10.0,6.76,10.46,12.0,12.0,8.11,12.55,6.0,6.0,4.05,6.28,7.0,7.0,4.73,7.32,4.0,4.0,2.7,4.18,5.0,5.0,3.38,5.23,3.0,3.0,2.03,3.14,1.0,1.0,0.68,1.05,8.0,8.0,5.41,8.37,3.0,3.0,2.03,3.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.03,3.14,2.0,2.0,1.35,2.09,18.0,18.0,12.16,18.83,46.62,43.92,2.7,4.0,4.0,2.7,103.21,0.63,0.64,0.5,0.57,0.6,0.12,0.19,16.35,0.03,0.67,0.21,0.0,0.0,0.01,12.16,0.26,0.23,-0.02,-0.22,148.0,1,148.0
75,高國豪,新竹御嵿攻城獅,1,114,130.0,1991.0,33.18,33:11,1991.0,33.18,33:11,6.0,6.0,4.62,6.51,6.0,6.0,4.62,6.51,2.0,2.0,1.54,2.17,3.0,3.0,2.31,3.25,1.0,1.0,0.77,1.08,3.0,3.0,2.31,3.25,1.0,1.0,0.77,1.08,4.0,4.0,3.08,4.34,1.0,1.0,0.77,1.08,0.0,0.0,0.0,0.0,1.0,1.0,0.77,1.08,2.0,2.0,1.54,2.17,1.0,1.0,0.77,1.08,0.0,0.0,0.0,0.0,3.0,3.0,2.31,3.25,1.0,1.0,0.77,1.08,7.0,7.0,5.38,7.59,49.23,48.46,0.77,1.0,1.0,0.77,94.02,0.42,0.39,0.33,0.33,0.25,0.28,0.1,8.28,0.0,0.2,0.04,0.77,0.0,0.01,5.38,0.67,0.02,0.14,0.1,130.0,1,130.0
76,曾柏喻,新竹御嵿攻城獅,1,123,137.0,1934.0,32.23,32:14,1934.0,32.23,32:14,5.0,5.0,3.65,5.58,8.0,8.0,5.84,8.93,1.0,1.0,0.73,1.12,7.0,7.0,5.11,7.82,1.0,1.0,0.73,1.12,1.0,1.0,0.73,1.12,0.0,0.0,0.0,0.0,4.0,4.0,2.92,4.47,3.0,3.0,2.19,3.35,0.0,0.0,0.0,0.0,4.0,4.0,2.92,4.47,7.0,7.0,5.11,7.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.46,2.23,0.0,0.0,0.0,0.0,11.0,11.0,8.03,12.29,45.26,47.45,-2.19,-3.0,-3.0,-2.19,102.01,0.12,0.26,0.14,0.0,0.75,0.17,0.33,8.58,0.0,0.5,0.12,0.0,0.0,0.0,8.03,0.5,-0.17,-0.12,0.03,137.0,1,137.0
10885,劉丞勳,新竹御嵿攻城獅,1,88,96.0,1425.0,23.75,23:45,1425.0,23.75,23:45,14.0,14.0,14.58,21.22,6.0,6.0,6.25,9.09,5.0,5.0,5.21,7.58,3.0,3.0,3.12,4.55,3.0,3.0,3.12,4.55,3.0,3.0,3.12,4.55,2.0,2.0,2.08,3.03,3.0,3.0,3.12,4.55,2.0,2.0,2.08,3.03,1.0,1.0,1.04,1.52,5.0,5.0,5.21,7.58,1.0,1.0,1.04,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.12,4.55,3.0,3.0,3.12,4.55,5.0,5.0,5.21,7.58,45.83,48.96,-3.12,-3.0,-3.0,-3.12,97.01,1.0,0.96,1.0,0.67,0.67,0.29,0.1,10.75,0.05,0.62,0.22,0.0,0.0,0.03,5.21,0.5,-0.15,-0.05,0.08,96.0,1,96.0
10887,德魯,新竹御嵿攻城獅,1,108,123.0,1764.0,29.4,29:24,1764.0,29.4,29:24,8.0,8.0,6.5,9.8,9.0,9.0,7.32,11.02,3.0,3.0,2.44,3.67,2.0,2.0,1.63,2.45,1.0,1.0,0.81,1.22,7.0,7.0,5.69,8.57,2.0,2.0,1.63,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.88,7.35,1.0,1.0,0.81,1.22,1.0,1.0,0.81,1.22,1.0,1.0,0.81,1.22,0.0,0.0,0.0,0.0,2.0,2.0,1.63,2.45,11.0,11.0,8.94,13.47,43.09,51.22,-8.13,-10.0,-10.0,-8.13,100.41,0.44,0.44,0.5,0.29,,0.0,0.07,7.32,0.0,0.55,0.18,0.81,0.81,0.02,8.94,0.0,-0.5,-0.23,0.24,123.0,1,123.0
10888,帕塞獅,新竹御嵿攻城獅,1,107,120.0,1734.0,28.9,28:54,1734.0,28.9,28:54,12.0,12.0,10.0,14.95,10.0,10.0,8.33,12.46,6.0,6.0,5.0,7.47,10.0,10.0,8.33,12.46,6.0,6.0,5.0,7.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.83,1.25,4.0,4.0,3.33,4.98,3.0,3.0,2.5,3.74,0.0,0.0,0.0,0.0,2.0,2.0,1.67,2.49,0.0,0.0,0.0,0.0,3.0,3.0,2.5,3.74,7.0,7.0,5.83,8.72,52.5,43.33,9.17,11.0,11.0,9.17,99.65,0.6,0.6,0.6,,,0.0,0.16,8.33,0.06,0.67,0.23,0.0,1.67,0.02,5.83,0.0,0.51,0.32,-0.2,120.0,1,120.0
