lineup_size,lineup_player_ids,lineup_player_names,team_name,opp_lineup_size,opp_lineup_player_ids,opp_lineup_player_names,opp_team_name,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,PTS_allowed,PTS_allowed_per_game,PTS_allowed_per100,PTS_allowed_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,ORB_allowed,ORB_allowed_per_game,ORB_allowed_per100,ORB_allowed_per36,DRB_allowed,DRB_allowed_per_game,DRB_allowed_per100,DRB_allowed_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PACE,PM_total,PM_per_game,PM_per100,MIN_total,MIN_per_game,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,ORB_pct,DRB_pct,TRB_pct,STL_pct,BLK_pct,Foul_per_poss,FT_allowed_rate_per100,FT_rate
2,43|44,林韋翰/黃泓瀚,新北中信特攻,2,1|5,丁聖儒/黃聰翰,臺北台新戰神,1,39,45.0,641.94,10.7,10:42,641.94,10.7,10:42,27.0,27.0,60.0,90.85,15.0,15.0,33.33,50.47,18.0,18.0,40.0,60.57,12.0,12.0,26.67,40.38,11.0,11.0,24.44,37.01,10.0,10.0,22.22,33.65,7.0,7.0,15.56,23.55,2.0,2.0,4.44,6.73,1.0,1.0,2.22,3.36,1.0,1.0,2.22,3.36,1.0,1.0,2.22,3.36,5.0,5.0,11.11,16.82,5.0,5.0,11.11,16.82,10.0,10.0,22.22,33.65,2.0,2.0,4.44,6.73,4.0,4.0,8.89,13.46,2.0,2.0,4.44,6.73,1.0,1.0,2.22,3.36,4.0,4.0,8.89,13.46,2.0,2.0,4.44,6.73,60.0,33.33,26.67,100.94,12.0,12.0,26.67,10.7,10.7,0.72,0.73,0.91,0.29,1.0,0.1,0.33,0.09,0.5,0.29,4.44,2.22,0.09,4.44,0.06
2,1|5,丁聖儒/黃聰翰,臺北台新戰神,2,43|44,林韋翰/黃泓瀚,新北中信特攻,1,39,45.0,641.94,10.7,10:42,641.94,10.7,10:42,15.0,15.0,33.33,50.47,27.0,27.0,60.0,90.85,20.0,20.0,44.44,67.3,6.0,6.0,13.33,20.19,10.0,10.0,22.22,33.65,4.0,4.0,8.89,13.46,10.0,10.0,22.22,33.65,2.0,2.0,4.44,6.73,2.0,2.0,4.44,6.73,1.0,1.0,2.22,3.36,5.0,5.0,11.11,16.82,10.0,10.0,22.22,33.65,1.0,1.0,2.22,3.36,5.0,5.0,11.11,16.82,3.0,3.0,6.67,10.09,2.0,2.0,4.44,6.73,1.0,1.0,2.22,3.36,1.0,1.0,2.22,3.36,3.0,3.0,6.67,10.09,1.0,1.0,2.22,3.36,33.33,60.0,-26.67,100.94,-12.0,-12.0,-26.67,10.7,10.7,0.35,0.36,0.4,0.2,0.5,0.13,0.33,0.5,0.91,0.71,2.22,2.22,0.07,2.22,0.1
2,43|44,林韋翰/黃泓瀚,新北中信特攻,2,1|14,丁聖儒/錢肯尼,臺北台新戰神,1,39,45.0,641.94,10.7,10:42,641.94,10.7,10:42,27.0,27.0,60.0,90.85,15.0,15.0,33.33,50.47,18.0,18.0,40.0,60.57,12.0,12.0,26.67,40.38,11.0,11.0,24.44,37.01,10.0,10.0,22.22,33.65,7.0,7.0,15.56,23.55,2.0,2.0,4.44,6.73,1.0,1.0,2.22,3.36,1.0,1.0,2.22,3.36,1.0,1.0,2.22,3.36,5.0,5.0,11.11,16.82,5.0,5.0,11.11,16.82,10.0,10.0,22.22,33.65,2.0,2.0,4.44,6.73,4.0,4.0,8.89,13.46,2.0,2.0,4.44,6.73,1.0,1.0,2.22,3.36,4.0,4.0,8.89,13.46,2.0,2.0,4.44,6.73,60.0,33.33,26.67,100.94,12.0,12.0,26.67,10.7,10.7,0.72,0.73,0.91,0.29,1.0,0.1,0.33,0.09,0.5,0.29,4.44,2.22,0.09,4.44,0.06
2,1|14,丁聖儒/錢肯尼,臺北台新戰神,2,43|44,林韋翰/黃泓瀚,新北中信特攻,1,39,45.0,641.94,10.7,10:42,641.94,10.7,10:42,15.0,15.0,33.33,50.47,27.0,27.0,60.0,90.85,20.0,20.0,44.44,67.3,6.0,6.0,13.33,20.19,10.0,10.0,22.22,33.65,4.0,4.0,8.89,13.46,10.0,10.0,22.22,33.65,2.0,2.0,4.44,6.73,2.0,2.0,4.44,6.73,1.0,1.0,2.22,3.36,5.0,5.0,11.11,16.82,10.0,10.0,22.22,33.65,1.0,1.0,2.22,3.36,5.0,5.0,11.11,16.82,3.0,3.0,6.67,10.09,2.0,2.0,4.44,6.73,1.0,1.0,2.22,3.36,1.0,1.0,2.22,3.36,3.0,3.0,6.67,10.09,1.0,1.0,2.22,3.36,33.33,60.0,-26.67,100.94,-12.0,-12.0,-26.67,10.7,10.7,0.35,0.36,0.4,0.2,0.5,0.13,0.33,0.5,0.91,0.71,2.22,2.22,0.07,2.22,0.1
2,43|44,林韋翰/黃泓瀚,新北中信特攻,2,1|13907,丁聖儒/梅克,臺北台新戰神,1,31,36.0,528.95,8.82,08:49,528.95,8.82,08:49,22.0,22.0,61.11,89.84,8.0,8.0,22.22,32.67,14.0,14.0,38.89,57.17,10.0,10.0,27.78,40.84,9.0,9.0,25.0,36.75,9.0,9.0,25.0,36.75,5.0,5.0,13.89,20.42,1.0,1.0,2.78,4.08,1.0,1.0,2.78,4.08,1.0,1.0,2.78,4.08,1.0,1.0,2.78,4.08,3.0,3.0,8.33,12.25,4.0,4.0,11.11,16.33,9.0,9.0,25.0,36.75,2.0,2.0,5.56,8.17,4.0,4.0,11.11,16.33,2.0,2.0,5.56,8.17,0.0,0.0,0.0,0.0,3.0,3.0,8.33,12.25,0.0,0.0,0.0,0.0,61.11,22.22,38.89,98.01,14.0,14.0,38.89,8.82,8.82,0.75,0.76,1.0,0.2,1.0,0.12,0.4,0.1,0.43,0.24,5.56,0.0,0.08,0.0,0.07
2,1|13907,丁聖儒/梅克,臺北台新戰神,2,43|44,林韋翰/黃泓瀚,新北中信特攻,1,31,36.0,528.95,8.82,08:49,528.95,8.82,08:49,8.0,8.0,22.22,32.67,22.0,22.0,61.11,89.84,16.0,16.0,44.44,65.34,3.0,3.0,8.33,12.25,6.0,6.0,16.67,24.5,1.0,1.0,2.78,4.08,10.0,10.0,27.78,40.84,2.0,2.0,5.56,8.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,11.11,16.33,9.0,9.0,25.0,36.75,1.0,1.0,2.78,4.08,3.0,3.0,8.33,12.25,3.0,3.0,8.33,12.25,1.0,1.0,2.78,4.08,1.0,1.0,2.78,4.08,1.0,1.0,2.78,4.08,2.0,2.0,5.56,8.17,1.0,1.0,2.78,4.08,22.22,61.11,-38.89,98.01,-14.0,-14.0,-38.89,8.82,8.82,0.25,0.25,0.17,0.2,,0.16,0.33,0.57,0.9,0.76,2.78,2.78,0.06,2.78,0.0
2,43|44,林韋翰/黃泓瀚,新北中信特攻,2,1|14845,丁聖儒/恩多,臺北台新戰神,1,38,44.0,622.94,10.38,10:23,622.94,10.38,10:23,25.0,25.0,56.82,86.69,15.0,15.0,34.09,52.01,17.0,17.0,38.64,58.95,11.0,11.0,25.0,38.14,10.0,10.0,22.73,34.67,9.0,9.0,20.45,31.21,7.0,7.0,15.91,24.27,2.0,2.0,4.55,6.93,1.0,1.0,2.27,3.47,1.0,1.0,2.27,3.47,1.0,1.0,2.27,3.47,5.0,5.0,11.36,17.34,5.0,5.0,11.36,17.34,9.0,9.0,20.45,31.21,2.0,2.0,4.55,6.93,4.0,4.0,9.09,13.87,2.0,2.0,4.55,6.93,1.0,1.0,2.27,3.47,3.0,3.0,6.82,10.4,2.0,2.0,4.55,6.93,56.82,34.09,22.73,101.71,10.0,10.0,22.73,10.38,10.38,0.71,0.72,0.9,0.29,1.0,0.1,0.36,0.1,0.5,0.3,4.55,2.27,0.07,4.55,0.06
2,1|14845,丁聖儒/恩多,臺北台新戰神,2,43|44,林韋翰/黃泓瀚,新北中信特攻,1,38,44.0,622.94,10.38,10:23,622.94,10.38,10:23,15.0,15.0,34.09,52.01,25.0,25.0,56.82,86.69,19.0,19.0,43.18,65.88,6.0,6.0,13.64,20.8,10.0,10.0,22.73,34.67,4.0,4.0,9.09,13.87,9.0,9.0,20.45,31.21,2.0,2.0,4.55,6.93,2.0,2.0,4.55,6.93,1.0,1.0,2.27,3.47,5.0,5.0,11.36,17.34,9.0,9.0,20.45,31.21,1.0,1.0,2.27,3.47,5.0,5.0,11.36,17.34,3.0,3.0,6.82,10.4,2.0,2.0,4.55,6.93,1.0,1.0,2.27,3.47,1.0,1.0,2.27,3.47,3.0,3.0,6.82,10.4,1.0,1.0,2.27,3.47,34.09,56.82,-22.73,101.71,-10.0,-10.0,-22.73,10.38,10.38,0.37,0.38,0.4,0.22,0.5,0.13,0.33,0.5,0.9,0.7,2.27,2.27,0.07,2.27,0.11
2,43|44,林韋翰/黃泓瀚,新北中信特攻,2,5|14,黃聰翰/錢肯尼,臺北台新戰神,1,42,48.0,682.84,11.38,11:23,682.84,11.38,11:23,30.0,30.0,62.5,94.9,15.0,15.0,31.25,47.45,19.0,19.0,39.58,60.1,13.0,13.0,27.08,41.12,12.0,12.0,25.0,37.96,11.0,11.0,22.92,34.8,7.0,7.0,14.58,22.14,2.0,2.0,4.17,6.33,2.0,2.0,4.17,6.33,2.0,2.0,4.17,6.33,1.0,1.0,2.08,3.16,5.0,5.0,10.42,15.82,5.0,5.0,10.42,15.82,11.0,11.0,22.92,34.8,2.0,2.0,4.17,6.33,5.0,5.0,10.42,15.82,2.0,2.0,4.17,6.33,1.0,1.0,2.08,3.16,5.0,5.0,10.42,15.82,2.0,2.0,4.17,6.33,62.5,31.25,31.25,101.22,15.0,15.0,31.25,11.38,11.38,0.74,0.75,0.92,0.29,1.0,0.09,0.38,0.08,0.5,0.27,4.17,2.08,0.1,4.17,0.11
2,5|14,黃聰翰/錢肯尼,臺北台新戰神,2,43|44,林韋翰/黃泓瀚,新北中信特攻,1,42,48.0,682.84,11.38,11:23,682.84,11.38,11:23,15.0,15.0,31.25,47.45,30.0,30.0,62.5,94.9,21.0,21.0,43.75,66.43,6.0,6.0,12.5,18.98,11.0,11.0,22.92,34.8,4.0,4.0,8.33,12.65,10.0,10.0,20.83,31.63,2.0,2.0,4.17,6.33,2.0,2.0,4.17,6.33,1.0,1.0,2.08,3.16,5.0,5.0,10.42,15.82,11.0,11.0,22.92,34.8,1.0,1.0,2.08,3.16,5.0,5.0,10.42,15.82,3.0,3.0,6.25,9.49,2.0,2.0,4.17,6.33,1.0,1.0,2.08,3.16,1.0,1.0,2.08,3.16,3.0,3.0,6.25,9.49,2.0,2.0,4.17,6.33,31.25,62.5,-31.25,101.22,-15.0,-15.0,-31.25,11.38,11.38,0.33,0.34,0.36,0.2,0.5,0.12,0.33,0.5,0.92,0.73,2.08,2.08,0.06,4.17,0.1
