lineup_size,team_name,lineup_player_ids,lineup_player_names,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,PTS_allowed,PTS_allowed_per_game,PTS_allowed_per100,PTS_allowed_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,ORB_allowed,ORB_allowed_per_game,ORB_allowed_per100,ORB_allowed_per36,DRB_allowed,DRB_allowed_per_game,DRB_allowed_per100,DRB_allowed_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PACE,PM_total,PM_per_game,PM_per100,MIN_total,MIN_per_game,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,ORB_pct,DRB_pct,TRB_pct,STL_pct,BLK_pct,Foul_per_poss,FT_allowed_rate_per100,FT_rate
2,福爾摩沙夢想家,79|89,張宗憲/蔣淯安,1,114,123.0,1672.16,27.87,27:52,1672.16,27.87,27:52,68.0,68.0,55.28,87.84,48.0,48.0,39.02,62.0,48.0,48.0,39.02,62.0,28.0,28.0,22.76,36.17,35.0,35.0,28.46,45.21,24.0,24.0,19.51,31.0,13.0,13.0,10.57,16.79,4.0,4.0,3.25,5.17,13.0,13.0,10.57,16.79,8.0,8.0,6.5,10.33,6.0,6.0,4.88,7.75,15.0,15.0,12.2,19.38,5.0,5.0,4.07,6.46,28.0,28.0,22.76,36.17,6.0,6.0,4.88,7.75,12.0,12.0,9.76,15.5,3.0,3.0,2.44,3.88,1.0,1.0,0.81,1.29,9.0,9.0,7.32,11.63,4.0,4.0,3.25,5.17,55.28,39.02,16.26,105.92,20.0,20.0,16.26,27.87,27.87,0.62,0.63,0.69,0.31,0.62,0.1,0.43,0.18,0.75,0.39,2.44,0.81,0.07,3.25,0.27
2,福爾摩沙夢想家,79|103,張宗憲/忻沃克,1,52,56.0,769.55,12.83,12:50,769.55,12.83,12:50,32.0,32.0,57.14,89.82,17.0,17.0,30.36,47.72,22.0,22.0,39.29,61.75,13.0,13.0,23.21,36.49,16.0,16.0,28.57,44.91,10.0,10.0,17.86,28.07,6.0,6.0,10.71,16.84,3.0,3.0,5.36,8.42,5.0,5.0,8.93,14.03,3.0,3.0,5.36,8.42,3.0,3.0,5.36,8.42,8.0,8.0,14.29,22.45,2.0,2.0,3.57,5.61,16.0,16.0,28.57,44.91,4.0,4.0,7.14,11.23,4.0,4.0,7.14,11.23,3.0,3.0,5.36,8.42,0.0,0.0,0.0,0.0,6.0,6.0,10.71,16.84,1.0,1.0,1.79,2.81,57.14,30.36,26.79,104.79,15.0,15.0,26.79,12.83,12.83,0.66,0.66,0.62,0.5,0.6,0.14,0.31,0.16,0.8,0.38,5.36,0.0,0.11,1.79,0.23
2,福爾摩沙夢想家,79|106,張宗憲/高柏鎧,1,98,110.0,1481.9,24.7,24:42,1481.9,24.7,24:42,60.0,60.0,54.55,87.46,51.0,51.0,46.36,74.34,45.0,45.0,40.91,65.59,22.0,22.0,20.0,32.07,30.0,30.0,27.27,43.73,16.0,16.0,14.55,23.32,15.0,15.0,13.64,21.86,6.0,6.0,5.45,8.75,16.0,16.0,14.55,23.32,10.0,10.0,9.09,14.58,11.0,11.0,10.0,16.03,14.0,14.0,12.73,20.41,3.0,3.0,2.73,4.37,23.0,23.0,20.91,33.52,5.0,5.0,4.55,7.29,11.0,11.0,10.0,16.03,4.0,4.0,3.64,5.83,3.0,3.0,2.73,4.37,11.0,11.0,10.0,16.03,6.0,6.0,5.45,8.75,54.55,46.36,8.18,106.89,9.0,9.0,8.18,24.7,24.7,0.56,0.58,0.53,0.4,0.62,0.09,0.5,0.32,0.82,0.49,3.64,2.73,0.1,5.45,0.36
2,福爾摩沙夢想家,79|13906,張宗憲/班提爾,1,133,145.0,1916.84,31.95,31:57,1916.84,31.95,31:57,80.0,80.0,55.17,90.15,57.0,57.0,39.31,64.23,54.0,54.0,37.24,60.85,32.0,32.0,22.07,36.06,40.0,40.0,27.59,45.07,27.0,27.0,18.62,30.43,14.0,14.0,9.66,15.78,5.0,5.0,3.45,5.63,18.0,18.0,12.41,20.28,11.0,11.0,7.59,12.4,7.0,7.0,4.83,7.89,19.0,19.0,13.1,21.41,7.0,7.0,4.83,7.89,31.0,31.0,21.38,34.93,8.0,8.0,5.52,9.01,13.0,13.0,8.97,14.65,4.0,4.0,2.76,4.51,2.0,2.0,1.38,2.25,12.0,12.0,8.28,13.52,5.0,5.0,3.45,5.63,55.17,39.31,15.86,108.93,23.0,23.0,15.86,31.95,31.95,0.64,0.65,0.68,0.36,0.61,0.11,0.41,0.18,0.73,0.41,2.76,1.38,0.08,3.45,0.33
2,福爾摩沙夢想家,89|103,蔣淯安/忻沃克,1,66,72.0,1010.06,16.83,16:50,1010.06,16.83,16:50,44.0,44.0,61.11,94.09,22.0,22.0,30.56,47.05,30.0,30.0,41.67,64.15,18.0,18.0,25.0,38.49,21.0,21.0,29.17,44.91,13.0,13.0,18.06,27.8,9.0,9.0,12.5,19.25,5.0,5.0,6.94,10.69,5.0,5.0,6.94,10.69,3.0,3.0,4.17,6.42,4.0,4.0,5.56,8.55,10.0,10.0,13.89,21.38,2.0,2.0,2.78,4.28,18.0,18.0,25.0,38.49,5.0,5.0,6.94,10.69,5.0,5.0,6.94,10.69,3.0,3.0,4.17,6.42,0.0,0.0,0.0,0.0,8.0,8.0,11.11,17.11,1.0,1.0,1.39,2.14,61.11,30.56,30.56,102.65,22.0,22.0,30.56,16.83,16.83,0.68,0.68,0.62,0.56,0.6,0.13,0.28,0.18,0.83,0.41,4.17,0.0,0.11,1.39,0.17
2,福爾摩沙夢想家,89|106,蔣淯安/高柏鎧,1,83,92.0,1261.9,21.03,21:02,1261.9,21.03,21:02,57.0,57.0,61.96,97.57,38.0,38.0,41.3,65.04,35.0,35.0,38.04,59.91,21.0,21.0,22.83,35.95,24.0,24.0,26.09,41.08,16.0,16.0,17.39,27.39,11.0,11.0,11.96,18.83,5.0,5.0,5.43,8.56,16.0,16.0,17.39,27.39,10.0,10.0,10.87,17.12,6.0,6.0,6.52,10.27,10.0,10.0,10.87,17.12,3.0,3.0,3.26,5.14,19.0,19.0,20.65,32.52,4.0,4.0,4.35,6.85,10.0,10.0,10.87,17.12,3.0,3.0,3.26,5.14,1.0,1.0,1.09,1.71,11.0,11.0,11.96,18.83,4.0,4.0,4.35,6.85,61.96,41.3,20.65,104.98,19.0,19.0,20.65,21.03,21.03,0.67,0.68,0.67,0.45,0.62,0.09,0.48,0.24,0.77,0.42,3.26,1.09,0.12,4.35,0.46
2,福爾摩沙夢想家,89|13906,蔣淯安/班提爾,1,134,147.0,1989.26,33.15,33:09,1989.26,33.15,33:09,85.0,85.0,57.82,92.3,56.0,56.0,38.1,60.81,57.0,57.0,38.78,61.89,34.0,34.0,23.13,36.92,41.0,41.0,27.89,44.52,28.0,28.0,19.05,30.4,16.0,16.0,10.88,17.37,6.0,6.0,4.08,6.51,17.0,17.0,11.56,18.46,11.0,11.0,7.48,11.94,7.0,7.0,4.76,7.6,18.0,18.0,12.24,19.54,6.0,6.0,4.08,6.51,30.0,30.0,20.41,32.57,7.0,7.0,4.76,7.6,14.0,14.0,9.52,15.2,3.0,3.0,2.04,3.26,1.0,1.0,0.68,1.09,13.0,13.0,8.84,14.12,4.0,4.0,2.72,4.34,57.82,38.1,19.73,106.41,29.0,29.0,19.73,33.15,33.15,0.65,0.66,0.68,0.38,0.65,0.1,0.41,0.19,0.75,0.41,2.04,0.68,0.09,2.72,0.3
2,福爾摩沙夢想家,103|106,忻沃克/高柏鎧,1,64,72.0,973.41,16.22,16:13,973.41,16.22,16:13,40.0,40.0,55.56,88.76,33.0,33.0,45.83,73.23,28.0,28.0,38.89,62.13,15.0,15.0,20.83,33.28,19.0,19.0,26.39,42.16,11.0,11.0,15.28,24.41,9.0,9.0,12.5,19.97,4.0,4.0,5.56,8.88,8.0,8.0,11.11,17.75,6.0,6.0,8.33,13.31,4.0,4.0,5.56,8.88,11.0,11.0,15.28,24.41,4.0,4.0,5.56,8.88,17.0,17.0,23.61,37.72,4.0,4.0,5.56,8.88,4.0,4.0,5.56,8.88,3.0,3.0,4.17,6.66,0.0,0.0,0.0,0.0,10.0,10.0,13.89,22.19,7.0,7.0,9.72,15.53,55.56,45.83,9.72,106.51,7.0,7.0,9.72,16.22,16.22,0.61,0.63,0.58,0.44,0.75,0.11,0.27,0.19,0.73,0.42,4.17,0.0,0.14,9.72,0.29
2,福爾摩沙夢想家,103|13906,忻沃克/班提爾,1,74,81.0,1142.14,19.04,19:02,1142.14,19.04,19:02,50.0,50.0,61.73,94.56,30.0,30.0,37.04,56.74,34.0,34.0,41.98,64.3,20.0,20.0,24.69,37.82,23.0,23.0,28.4,43.5,15.0,15.0,18.52,28.37,11.0,11.0,13.58,20.8,5.0,5.0,6.17,9.46,7.0,7.0,8.64,13.24,5.0,5.0,6.17,9.46,5.0,5.0,6.17,9.46,11.0,11.0,13.58,20.8,2.0,2.0,2.47,3.78,19.0,19.0,23.46,35.93,5.0,5.0,6.17,9.46,6.0,6.0,7.41,11.35,3.0,3.0,3.7,5.67,0.0,0.0,0.0,0.0,11.0,11.0,13.58,20.8,1.0,1.0,1.23,1.89,61.73,37.04,24.69,102.12,20.0,20.0,24.69,19.04,19.04,0.66,0.67,0.65,0.45,0.71,0.12,0.3,0.21,0.85,0.43,3.7,0.0,0.14,1.23,0.21
2,福爾摩沙夢想家,106|13906,高柏鎧/班提爾,1,99,110.0,1458.66,24.31,24:19,1458.66,24.31,24:19,66.0,66.0,60.0,97.73,49.0,49.0,44.55,72.56,41.0,41.0,37.27,60.71,23.0,23.0,20.91,34.06,28.0,28.0,25.45,41.46,18.0,18.0,16.36,26.65,13.0,13.0,11.82,19.25,5.0,5.0,4.55,7.4,22.0,22.0,20.0,32.58,15.0,15.0,13.64,22.21,8.0,8.0,7.27,11.85,14.0,14.0,12.73,20.73,3.0,3.0,2.73,4.44,21.0,21.0,19.09,31.1,4.0,4.0,3.64,5.92,10.0,10.0,9.09,14.81,3.0,3.0,2.73,4.44,2.0,2.0,1.82,2.96,15.0,15.0,13.64,22.21,4.0,4.0,3.64,5.92,60.0,44.55,15.45,108.59,17.0,17.0,15.45,24.31,24.31,0.62,0.65,0.64,0.38,0.68,0.07,0.43,0.28,0.82,0.48,2.73,1.82,0.14,3.64,0.54
