lineup_size,team_name,lineup_player_ids,lineup_player_names,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,PTS_allowed,PTS_allowed_per_game,PTS_allowed_per100,PTS_allowed_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,ORB_allowed,ORB_allowed_per_game,ORB_allowed_per100,ORB_allowed_per36,DRB_allowed,DRB_allowed_per_game,DRB_allowed_per100,DRB_allowed_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PACE,PM_total,PM_per_game,PM_per100,MIN_total,MIN_per_game,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,ORB_pct,DRB_pct,TRB_pct,STL_pct,BLK_pct,Foul_per_poss,FT_allowed_rate_per100,FT_rate
5,福爾摩沙夢想家,79|89|103|106|13906,張宗憲/蔣淯安/忻沃克/高柏鎧/班提爾,1,40,55.0,612.46,10.21,10:12,612.46,10.21,10:12,9.0,9.0,16.36,31.74,20.0,20.0,36.36,70.54,19.0,19.0,34.55,67.01,4.0,4.0,7.27,14.11,13.0,13.0,23.64,45.85,4.0,4.0,7.27,14.11,6.0,6.0,10.91,21.16,0.0,0.0,0.0,0.0,2.0,2.0,3.64,7.05,1.0,1.0,1.82,3.53,7.0,7.0,12.73,24.69,8.0,8.0,14.55,28.21,6.0,6.0,10.91,21.16,11.0,11.0,20.0,38.79,7.0,7.0,12.73,24.69,1.0,1.0,1.82,3.53,3.0,3.0,5.45,10.58,0.0,0.0,0.0,0.0,3.0,3.0,5.45,10.58,3.0,3.0,5.45,10.58,16.36,36.36,-20.0,129.31,-11.0,-11.0,-20.0,10.21,10.21,0.21,0.23,0.31,0.0,0.5,0.26,0.25,0.39,0.57,0.47,5.45,0.0,0.05,5.45,0.11
5,桃園台啤永豐雲豹,16|54|57|62|68,米勒/高錦瑋/莊博元/王皓吉/克羅馬,1,22,27.0,350.0,5.83,05:50,350.0,5.83,05:50,12.0,12.0,44.44,74.06,15.0,15.0,55.56,92.57,13.0,13.0,48.15,80.23,5.0,5.0,18.52,30.86,6.0,6.0,22.22,37.03,3.0,3.0,11.11,18.51,7.0,7.0,25.93,43.2,2.0,2.0,7.41,12.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.41,12.34,6.0,6.0,22.22,37.03,3.0,3.0,11.11,18.51,3.0,3.0,11.11,18.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.41,12.34,3.0,3.0,11.11,18.51,44.44,55.56,-11.11,111.09,-3.0,-3.0,-11.11,5.83,5.83,0.46,0.46,0.5,0.29,,0.0,0.0,0.4,0.67,0.57,0.0,0.0,0.07,11.11,0.0
5,福爾摩沙夢想家,79|89|103|106|13777,張宗憲/蔣淯安/忻沃克/高柏鎧/布依德,1,29,33.0,413.0,6.88,06:53,413.0,6.88,06:53,21.0,21.0,63.64,109.83,12.0,12.0,36.36,62.76,13.0,13.0,39.39,67.99,8.0,8.0,24.24,41.84,6.0,6.0,18.18,31.38,4.0,4.0,12.12,20.92,7.0,7.0,21.21,36.61,4.0,4.0,12.12,20.92,3.0,3.0,9.09,15.69,1.0,1.0,3.03,5.23,3.0,3.0,9.09,15.69,3.0,3.0,9.09,15.69,2.0,2.0,6.06,10.46,8.0,8.0,24.24,41.84,3.0,3.0,9.09,15.69,3.0,3.0,9.09,15.69,2.0,2.0,6.06,10.46,0.0,0.0,0.0,0.0,2.0,2.0,6.06,10.46,2.0,2.0,6.06,10.46,63.64,36.36,27.27,115.06,9.0,9.0,27.27,6.88,6.88,0.77,0.73,0.67,0.57,0.33,0.17,0.38,0.27,0.6,0.38,6.06,0.0,0.06,6.06,0.23
5,福爾摩沙夢想家,77|86|103|106|13777,馬建豪/林俊吉/忻沃克/高柏鎧/布依德,1,15,18.0,154.95,2.58,02:35,154.95,2.58,02:35,4.0,4.0,22.22,55.76,7.0,7.0,38.89,97.58,4.0,4.0,22.22,55.76,2.0,2.0,11.11,27.88,3.0,3.0,16.67,41.82,2.0,2.0,11.11,27.88,1.0,1.0,5.56,13.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,11.11,27.88,2.0,2.0,11.11,27.88,4.0,4.0,22.22,55.76,3.0,3.0,16.67,41.82,1.0,1.0,5.56,13.94,2.0,2.0,11.11,27.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,27.78,69.7,22.22,38.89,-16.67,167.28,-3.0,-3.0,-16.67,2.58,2.58,0.5,0.5,0.67,0.0,,0.43,0.5,0.0,0.5,0.25,11.11,0.0,0.0,27.78,0.0
5,桃園台啤永豐雲豹,16|54|57|58|68,米勒/高錦瑋/莊博元/林信寬/克羅馬,1,94,115.0,1319.08,21.98,21:59,1319.08,21.98,21:59,51.0,51.0,44.35,83.51,38.0,38.0,33.04,62.23,48.0,48.0,41.74,78.6,17.0,17.0,14.78,27.84,34.0,34.0,29.57,55.68,10.0,10.0,8.7,16.38,14.0,14.0,12.17,22.93,7.0,7.0,6.09,11.46,12.0,12.0,10.43,19.65,10.0,10.0,8.7,16.38,11.0,11.0,9.57,18.01,19.0,19.0,16.52,31.11,5.0,5.0,4.35,8.19,14.0,14.0,12.17,22.93,4.0,4.0,3.48,6.55,11.0,11.0,9.57,18.01,3.0,3.0,2.61,4.91,5.0,5.0,4.35,8.19,8.0,8.0,6.96,13.1,6.0,6.0,5.22,9.83,44.35,33.04,11.3,125.54,13.0,13.0,11.3,21.98,21.98,0.43,0.48,0.29,0.5,0.83,0.07,0.65,0.44,0.79,0.61,2.61,4.35,0.07,5.22,0.25
5,福爾摩沙夢想家,77|86|99|13777|13906,馬建豪/林俊吉/盧冠良/布依德/班提爾,1,17,20.0,227.2,3.79,03:47,227.2,3.79,03:47,8.0,8.0,40.0,76.06,7.0,7.0,35.0,66.55,6.0,6.0,30.0,57.04,2.0,2.0,10.0,19.01,4.0,4.0,20.0,38.03,1.0,1.0,5.0,9.51,2.0,2.0,10.0,19.01,1.0,1.0,5.0,9.51,4.0,4.0,20.0,38.03,3.0,3.0,15.0,28.52,2.0,2.0,10.0,19.01,2.0,2.0,10.0,19.01,1.0,1.0,5.0,9.51,4.0,4.0,20.0,38.03,1.0,1.0,5.0,9.51,2.0,2.0,10.0,19.01,1.0,1.0,5.0,9.51,0.0,0.0,0.0,0.0,3.0,3.0,15.0,28.52,3.0,3.0,15.0,28.52,40.0,35.0,5.0,126.76,1.0,1.0,5.0,3.79,3.79,0.42,0.52,0.25,0.5,0.75,0.11,1.0,0.33,0.67,0.44,5.0,0.0,0.15,15.0,0.67
5,桃園台啤永豐雲豹,54|57|58|68|10860,高錦瑋/莊博元/林信寬/克羅馬/麥卡洛,1,3,4.0,28.91,0.48,00:29,28.91,0.48,00:29,2.0,2.0,50.0,149.41,2.0,2.0,50.0,149.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,50.0,149.41,2.0,2.0,50.0,149.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,74.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,74.71,2.0,2.0,50.0,149.41,50.0,50.0,0.0,199.22,0.0,0.0,0.0,0.48,0.48,,1.14,,,1.0,0.0,,,0.0,0.0,0.0,0.0,0.25,50.0,
5,桃園台啤永豐雲豹,12|54|58|68|10860,曹薰襄/高錦瑋/林信寬/克羅馬/麥卡洛,1,24,29.0,347.88,5.8,05:48,347.88,5.8,05:48,6.0,6.0,20.69,37.25,10.0,10.0,34.48,62.09,12.0,12.0,41.38,74.51,3.0,3.0,10.34,18.63,10.0,10.0,34.48,62.09,3.0,3.0,10.34,18.63,2.0,2.0,6.9,12.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.9,12.42,7.0,7.0,24.14,43.46,3.0,3.0,10.34,18.63,4.0,4.0,13.79,24.84,1.0,1.0,3.45,6.21,2.0,2.0,6.9,12.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.45,6.21,4.0,4.0,13.79,24.84,20.69,34.48,-13.79,120.04,-4.0,-4.0,-13.79,5.8,5.8,0.25,0.25,0.3,0.0,,0.08,0.67,0.33,0.7,0.56,0.0,0.0,0.03,13.79,0.0
5,福爾摩沙夢想家,77|86|99|106|13906,馬建豪/林俊吉/盧冠良/高柏鎧/班提爾,1,7,8.0,97.47,1.62,01:37,97.47,1.62,01:37,2.0,2.0,25.0,44.32,0.0,0.0,0.0,0.0,3.0,3.0,37.5,66.48,0.0,0.0,0.0,0.0,1.0,1.0,12.5,22.16,0.0,0.0,0.0,0.0,2.0,2.0,25.0,44.32,0.0,0.0,0.0,0.0,2.0,2.0,25.0,44.32,2.0,2.0,25.0,44.32,0.0,0.0,0.0,0.0,3.0,3.0,37.5,66.48,0.0,0.0,0.0,0.0,2.0,2.0,25.0,44.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,118.2,2.0,2.0,25.0,1.62,1.62,0.0,0.26,0.0,0.0,1.0,0.0,,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.67
5,桃園台啤永豐雲豹,12|16|58|10860|10884,曹薰襄/米勒/林信寬/麥卡洛/徐宏瑋,1,11,14.0,177.21,2.95,02:57,177.21,2.95,02:57,3.0,3.0,21.43,36.57,4.0,4.0,28.57,48.76,5.0,5.0,35.71,60.95,1.0,1.0,7.14,12.19,2.0,2.0,14.29,24.38,0.0,0.0,0.0,0.0,3.0,3.0,21.43,36.57,1.0,1.0,7.14,12.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,21.43,36.57,2.0,2.0,14.29,24.38,3.0,3.0,21.43,36.57,1.0,1.0,7.14,12.19,1.0,1.0,7.14,12.19,1.0,1.0,7.14,12.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,14.29,24.38,21.43,28.57,-7.14,113.77,-1.0,-1.0,-7.14,2.95,2.95,0.3,0.3,0.0,0.33,,0.17,1.0,0.0,0.6,0.38,7.14,0.0,0.0,14.29,0.0
