lineup_size,team_name,lineup_player_ids,lineup_player_names,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,PTS_allowed,PTS_allowed_per_game,PTS_allowed_per100,PTS_allowed_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,ORB_allowed,ORB_allowed_per_game,ORB_allowed_per100,ORB_allowed_per36,DRB_allowed,DRB_allowed_per_game,DRB_allowed_per100,DRB_allowed_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PACE,PM_total,PM_per_game,PM_per100,MIN_total,MIN_per_game,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,ORB_pct,DRB_pct,TRB_pct,STL_pct,BLK_pct,Foul_per_poss,FT_allowed_rate_per100,FT_rate
5,新北國王,21|25|29|10875|10876,李愷諺/林金榜/林書緯/傑登/尚迪,1,25,33.0,418.03,6.97,06:58,418.03,6.97,06:58,16.0,16.0,48.48,82.67,9.0,9.0,27.27,46.5,18.0,18.0,54.55,93.01,7.0,7.0,21.21,36.17,9.0,9.0,27.27,46.5,5.0,5.0,15.15,25.84,9.0,9.0,27.27,46.5,2.0,2.0,6.06,10.33,1.0,1.0,3.03,5.17,0.0,0.0,0.0,0.0,6.0,6.0,18.18,31.0,6.0,6.0,18.18,31.0,1.0,1.0,3.03,5.17,4.0,4.0,12.12,20.67,0.0,0.0,0.0,0.0,2.0,2.0,6.06,10.33,0.0,0.0,0.0,0.0,1.0,1.0,3.03,5.17,2.0,2.0,6.06,10.33,2.0,2.0,6.06,10.33,48.48,27.27,21.21,113.67,7.0,7.0,21.21,6.97,6.97,0.44,0.43,0.56,0.22,0.0,0.0,0.29,0.6,0.86,0.71,0.0,3.03,0.06,6.06,0.06
5,高雄全家海神,110|118|121|10892|10894,胡瓏貿/蘇文儒/吳曉謹/詹姆斯/凱帝,2,30,36.0,467.28,7.79,07:47,233.64,3.89,03:54,12.0,6.0,33.33,55.47,25.0,12.5,69.44,115.56,11.0,5.5,30.56,50.85,5.0,2.5,13.89,23.11,9.0,4.5,25.0,41.6,5.0,2.5,13.89,23.11,2.0,1.0,5.56,9.24,0.0,0.0,0.0,0.0,4.0,2.0,11.11,18.49,2.0,1.0,5.56,9.24,1.0,0.5,2.78,4.62,6.0,3.0,16.67,27.73,3.0,1.5,8.33,13.87,4.0,2.0,11.11,18.49,3.0,1.5,8.33,13.87,2.0,1.0,5.56,9.24,2.0,1.0,5.56,9.24,1.0,0.5,2.78,4.62,2.0,1.0,5.56,9.24,2.0,1.0,5.56,9.24,33.33,69.44,-36.11,110.94,-13.0,-6.5,-36.11,7.79,3.89,0.45,0.47,0.56,0.0,0.5,0.19,0.4,0.2,0.67,0.5,5.56,2.78,0.06,5.56,0.36
5,新北國王,21|24|29|867|10876,李愷諺/蘇士軒/林書緯/桑尼/尚迪,2,25,28.0,347.37,5.79,05:47,173.69,2.89,02:54,11.0,5.5,39.29,68.4,14.0,7.0,50.0,87.05,9.0,4.5,32.14,55.96,3.0,1.5,10.71,18.65,5.0,2.5,17.86,31.09,2.0,1.0,7.14,12.44,4.0,2.0,14.29,24.87,1.0,0.5,3.57,6.22,4.0,2.0,14.29,24.87,4.0,2.0,14.29,24.87,1.0,0.5,3.57,6.22,5.0,2.5,17.86,31.09,2.0,1.0,7.14,12.44,4.0,2.0,14.29,24.87,3.0,1.5,10.71,18.65,3.0,1.5,10.71,18.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.14,12.44,4.0,2.0,14.29,24.87,39.29,50.0,-10.71,116.07,-3.0,-1.5,-10.71,5.79,2.89,0.39,0.51,0.4,0.25,1.0,0.22,1.0,0.2,0.71,0.5,0.0,0.0,0.07,14.29,0.44
5,高雄全家海神,109|110|118|10892|10894,于煥亞/胡瓏貿/蘇文儒/詹姆斯/凱帝,4,87,110.0,1400.84,23.35,23:21,350.21,5.84,05:50,46.0,11.5,41.82,70.93,33.0,8.25,30.0,50.88,41.0,10.25,37.27,63.22,19.0,4.75,17.27,29.3,22.0,5.5,20.0,33.92,16.0,4.0,14.55,24.67,19.0,4.75,17.27,29.3,3.0,0.75,2.73,4.63,8.0,2.0,7.27,12.34,5.0,1.25,4.55,7.71,8.0,2.0,7.27,12.34,17.0,4.25,15.45,26.21,11.0,2.75,10.0,16.96,17.0,4.25,15.45,26.21,8.0,2.0,7.27,12.34,6.0,1.5,5.45,9.25,4.0,1.0,3.64,6.17,0.0,0.0,0.0,0.0,10.0,2.5,9.09,15.42,14.0,3.5,12.73,21.59,41.82,30.0,11.82,113.07,13.0,3.25,11.82,23.35,5.84,0.5,0.52,0.73,0.16,0.62,0.15,0.32,0.32,0.61,0.47,3.64,0.0,0.09,12.73,0.2
5,新北國王,21|24|867|10872|10876,李愷諺/蘇士軒/桑尼/林彥廷/尚迪,2,9,11.0,146.34,2.44,02:26,73.17,1.22,01:13,4.0,2.0,36.36,59.04,5.0,2.5,45.45,73.8,6.0,3.0,54.55,88.56,2.0,1.0,18.18,29.52,3.0,1.5,27.27,44.28,2.0,1.0,18.18,29.52,3.0,1.5,27.27,44.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,18.18,29.52,2.0,1.0,18.18,29.52,0.0,0.0,0.0,0.0,1.0,0.5,9.09,14.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,9.09,14.76,1.0,0.5,9.09,14.76,36.36,45.45,-9.09,108.24,-1.0,-0.5,-9.09,2.44,1.22,0.33,0.33,0.67,0.0,,0.0,0.0,0.67,1.0,0.8,0.0,0.0,0.09,9.09,0.0
5,新北國王,21|24|867|10872|10875,李愷諺/蘇士軒/桑尼/林彥廷/傑登,2,17,20.0,277.38,4.62,04:37,138.69,2.31,02:19,10.0,5.0,50.0,77.87,7.0,3.5,35.0,54.51,8.0,4.0,40.0,62.3,4.0,2.0,20.0,31.15,5.0,2.5,25.0,38.94,2.0,1.0,10.0,15.57,3.0,1.5,15.0,23.36,2.0,1.0,10.0,15.57,2.0,1.0,10.0,15.57,0.0,0.0,0.0,0.0,2.0,1.0,10.0,15.57,3.0,1.5,15.0,23.36,1.0,0.5,5.0,7.79,5.0,2.5,25.0,38.94,1.0,0.5,5.0,7.79,4.0,2.0,20.0,31.15,1.0,0.5,5.0,7.79,0.0,0.0,0.0,0.0,1.0,0.5,5.0,7.79,3.0,1.5,15.0,23.36,50.0,35.0,15.0,103.83,3.0,1.5,15.0,4.62,2.31,0.62,0.56,0.4,0.67,0.0,0.1,1.0,0.29,0.75,0.45,5.0,0.0,0.05,15.0,0.25
5,新北國王,21|22|867|10872|10875,李愷諺/簡祐哲/桑尼/林彥廷/傑登,3,42,57.0,657.4,10.96,10:57,219.13,3.65,03:39,21.0,7.0,36.84,69.0,21.0,7.0,36.84,69.0,18.0,6.0,31.58,59.14,8.0,2.67,14.04,26.29,12.0,4.0,21.05,39.43,6.0,2.0,10.53,19.71,6.0,2.0,10.53,19.71,2.0,0.67,3.51,6.57,7.0,2.33,12.28,23.0,3.0,1.0,5.26,9.86,5.0,1.67,8.77,16.43,8.0,2.67,14.04,26.29,5.0,1.67,8.77,16.43,6.0,2.0,10.53,19.71,7.0,2.33,12.28,23.0,5.0,1.67,8.77,16.43,2.0,0.67,3.51,6.57,1.0,0.33,1.75,3.29,4.0,1.33,7.02,13.14,1.0,0.33,1.75,3.29,36.84,36.84,0.0,124.86,0.0,0.0,0.0,10.96,3.65,0.5,0.5,0.5,0.33,0.43,0.25,0.62,0.45,0.62,0.54,3.51,1.75,0.07,1.75,0.39
5,高雄全家海神,109|110|121|10892|10894,于煥亞/胡瓏貿/吳曉謹/詹姆斯/凱帝,1,9,13.0,119.71,2.0,02:00,119.71,2.0,02:00,2.0,2.0,15.38,36.09,8.0,8.0,61.54,144.35,3.0,3.0,23.08,54.13,1.0,1.0,7.69,18.04,3.0,3.0,23.08,54.13,1.0,1.0,7.69,18.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.69,18.04,3.0,3.0,23.08,54.13,0.0,0.0,0.0,0.0,2.0,2.0,15.38,36.09,0.0,0.0,0.0,0.0,2.0,2.0,15.38,36.09,1.0,1.0,7.69,18.04,0.0,0.0,0.0,0.0,2.0,2.0,15.38,36.09,15.38,61.54,-46.15,156.38,-6.0,-6.0,-46.15,2.0,2.0,0.33,0.33,0.33,,,0.4,0.0,,0.25,0.25,15.38,7.69,0.0,15.38,0.0
5,高雄全家海神,109|116|121|122|10894,于煥亞/呂威霆/吳曉謹/陳懷安/凱帝,1,3,5.0,52.47,0.87,00:52,52.47,0.87,00:52,2.0,2.0,40.0,82.33,1.0,1.0,20.0,41.17,2.0,2.0,40.0,82.33,1.0,1.0,20.0,41.17,1.0,1.0,20.0,41.17,1.0,1.0,20.0,41.17,1.0,1.0,20.0,41.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,20.0,41.17,0.0,0.0,0.0,0.0,2.0,2.0,40.0,82.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,20.0,41.17,2.0,2.0,40.0,82.33,40.0,20.0,20.0,137.22,1.0,1.0,20.0,0.87,0.87,0.5,0.5,1.0,0.0,,0.0,0.0,0.0,1.0,0.33,0.0,0.0,0.2,40.0,0.0
5,新北國王,22|29|867|10872|10875,簡祐哲/林書緯/桑尼/林彥廷/傑登,1,2,2.0,20.75,0.35,00:21,20.75,0.35,00:21,3.0,3.0,150.0,312.35,0.0,0.0,0.0,0.0,1.0,1.0,50.0,104.12,1.0,1.0,50.0,104.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,104.12,1.0,1.0,50.0,104.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,104.12,0.0,0.0,0.0,0.0,1.0,1.0,50.0,104.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,208.23,150.0,0.0,150.0,138.82,3.0,3.0,150.0,0.35,0.35,1.5,1.5,,1.0,,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,100.0,0.0
