player_id,player_name,team_name,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PM_total,PM_per_game,PM_per100,PACE,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,USG_pct,ORB_pct,DRB_pct,TRB_pct,STL_per100poss,BLK_per100poss,Foul_per_poss,FT_allowed_rate_per100,FT_rate,rapm_per100,orapm_per100,drapm_per100,on_court_poss,games_played,poss_per_game
21,李愷諺,新北國王,16,2191,2617.0,33571.0,559.52,559:31,2098.19,34.97,34:58,199.0,12.44,7.6,12.8,186.0,11.62,7.11,11.97,70.0,4.38,2.67,4.5,120.0,7.5,4.59,7.72,53.0,3.31,2.03,3.41,66.0,4.12,2.52,4.25,17.0,1.06,0.65,1.09,57.0,3.56,2.18,3.67,42.0,2.62,1.6,2.7,18.0,1.12,0.69,1.16,49.0,3.06,1.87,3.15,81.0,5.06,3.1,5.21,26.0,1.62,0.99,1.67,9.0,0.56,0.34,0.58,44.0,2.75,1.68,2.83,36.0,2.25,1.38,2.32,257.0,16.06,9.82,16.54,44.36,42.53,1.83,48.0,3.0,1.83,112.25,0.42,0.47,0.44,0.26,0.74,0.17,0.23,9.75,0.04,0.24,0.11,0.99,0.34,0.01,9.82,0.31,1.84,0.59,-1.3,2617.0,16,163.6
25,林金榜,新北國王,15,529,633.0,8067.0,134.45,134:27,537.8,8.96,08:58,22.0,1.47,3.48,5.89,32.0,2.13,5.06,8.57,7.0,0.47,1.11,1.87,11.0,0.73,1.74,2.95,2.0,0.13,0.32,0.54,21.0,1.4,3.32,5.62,5.0,0.33,0.79,1.34,4.0,0.27,0.63,1.07,3.0,0.2,0.47,0.8,3.0,0.2,0.47,0.8,12.0,0.8,1.9,3.21,11.0,0.73,1.74,2.95,5.0,0.33,0.79,1.34,0.0,0.0,0.0,0.0,3.0,0.2,0.47,0.8,15.0,1.0,2.37,4.02,59.0,3.93,9.32,15.8,38.23,40.6,-2.37,-15.0,-1.0,-2.37,112.99,0.3,0.33,0.18,0.24,0.75,0.08,0.15,5.81,0.03,0.22,0.09,0.79,0.0,0.02,9.32,0.12,-0.53,-1.2,-0.67,633.0,15,42.2
29,林書緯,新北國王,20,2881,3384.0,44493.0,741.55,741:33,2224.65,37.08,37:05,254.0,12.7,7.51,12.33,254.0,12.7,7.51,12.33,96.0,4.8,2.84,4.66,139.0,6.95,4.11,6.75,55.0,2.75,1.63,2.67,115.0,5.75,3.4,5.58,41.0,2.05,1.21,1.99,26.0,1.3,0.77,1.26,21.0,1.05,0.62,1.02,15.0,0.75,0.44,0.73,50.0,2.5,1.48,2.43,133.0,6.65,3.93,6.46,19.0,0.95,0.56,0.92,6.0,0.3,0.18,0.29,55.0,2.75,1.63,2.67,37.0,1.85,1.09,1.8,343.0,17.15,10.14,16.65,44.95,44.33,0.62,21.0,1.05,0.62,109.52,0.46,0.48,0.4,0.36,0.81,0.17,0.28,9.47,0.03,0.19,0.08,0.56,0.18,0.01,10.14,0.1,0.35,0.49,0.13,3384.0,20,169.2
10875,傑登,新北國王,17,2085,2493.0,31596.0,526.6,526:36,1858.59,30.98,30:59,289.0,17.0,11.59,19.76,230.0,13.53,9.23,15.72,119.0,7.0,4.77,8.14,196.0,11.53,7.86,13.4,113.0,6.65,4.53,7.73,34.0,2.0,1.36,2.32,6.0,0.35,0.24,0.41,90.0,5.29,3.61,6.15,45.0,2.65,1.81,3.08,65.0,3.82,2.61,4.44,109.0,6.41,4.37,7.45,31.0,1.82,1.24,2.12,15.0,0.88,0.6,1.03,8.0,0.47,0.32,0.55,36.0,2.12,1.44,2.46,55.0,3.24,2.21,3.76,291.0,17.12,11.67,19.89,43.72,44.69,-0.96,-24.0,-1.41,-0.96,113.62,0.53,0.54,0.58,0.18,0.5,0.12,0.11,12.26,0.14,0.43,0.24,0.6,0.32,0.02,11.67,0.39,-0.78,0.02,0.79,2493.0,17,146.6
10876,尚迪,新北國王,7,779,952.0,11513.0,191.88,191:53,1644.71,27.41,27:25,78.0,11.14,8.19,14.63,80.0,11.43,8.4,15.01,31.0,4.43,3.26,5.82,48.0,6.86,5.04,9.01,26.0,3.71,2.73,4.88,32.0,4.57,3.36,6.0,5.0,0.71,0.53,0.94,17.0,2.43,1.79,3.19,11.0,1.57,1.16,2.06,17.0,2.43,1.79,3.19,32.0,4.57,3.36,6.0,9.0,1.29,0.95,1.69,6.0,0.86,0.63,1.13,2.0,0.29,0.21,0.38,16.0,2.29,1.68,3.0,17.0,2.43,1.79,3.19,105.0,15.0,11.03,19.7,39.81,41.91,-2.1,-20.0,-2.86,-2.1,119.07,0.42,0.45,0.54,0.16,0.65,0.15,0.08,10.87,0.11,0.31,0.19,0.63,0.21,0.02,11.03,0.21,-1.23,-1.52,-0.33,952.0,7,136.0
110,胡瓏貿,高雄全家海神,23,2434,2913.0,38644.0,644.07,644:04,1680.17,28.0,28:00,257.0,11.17,8.82,14.36,169.0,7.35,5.8,9.45,78.0,3.39,2.68,4.36,69.0,3.0,2.37,3.86,34.0,1.48,1.17,1.9,100.0,4.35,3.43,5.59,44.0,1.91,1.51,2.46,79.0,3.43,2.71,4.42,57.0,2.48,1.96,3.19,22.0,0.96,0.76,1.23,53.0,2.3,1.82,2.96,45.0,1.96,1.54,2.52,18.0,0.78,0.62,1.01,5.0,0.22,0.17,0.28,41.0,1.78,1.41,2.29,70.0,3.04,2.4,3.91,306.0,13.3,10.5,17.1,43.15,46.21,-3.06,-89.0,-3.87,-3.06,108.55,0.59,0.63,0.49,0.44,0.72,0.17,0.12,8.4,0.05,0.22,0.11,0.62,0.17,0.02,10.5,0.47,-0.6,0.21,0.78,2913.0,23,126.7
118,蘇文儒,高雄全家海神,14,1690,2030.0,27383.0,456.38,456:23,1955.93,32.6,32:36,180.0,12.86,8.87,14.2,128.0,9.14,6.31,10.1,59.0,4.21,2.91,4.65,46.0,3.29,2.27,3.63,24.0,1.71,1.18,1.89,82.0,5.86,4.04,6.47,35.0,2.5,1.72,2.76,29.0,2.07,1.43,2.29,27.0,1.93,1.33,2.13,13.0,0.93,0.64,1.03,35.0,2.5,1.72,2.76,34.0,2.43,1.67,2.68,13.0,0.93,0.64,1.03,4.0,0.29,0.2,0.32,18.0,1.29,0.89,1.42,56.0,4.0,2.76,4.42,215.0,15.36,10.59,16.96,43.94,42.91,1.03,21.0,1.5,1.03,106.75,0.6,0.64,0.52,0.43,0.93,0.11,0.13,7.82,0.04,0.21,0.1,0.64,0.2,0.03,10.59,0.23,2.3,0.86,-1.42,2030.0,14,145.0
121,吳曉謹,高雄全家海神,24,1674,2011.0,25986.0,433.1,433:06,1082.75,18.05,18:03,117.0,4.88,5.82,9.73,129.0,5.38,6.41,10.72,45.0,1.88,2.24,3.74,52.0,2.17,2.59,4.32,24.0,1.0,1.19,1.99,77.0,3.21,3.83,6.4,21.0,0.88,1.04,1.75,9.0,0.38,0.45,0.75,6.0,0.25,0.3,0.5,22.0,0.92,1.09,1.83,12.0,0.5,0.6,1.0,14.0,0.58,0.7,1.16,19.0,0.79,0.94,1.58,2.0,0.08,0.1,0.17,18.0,0.75,0.9,1.5,37.0,1.54,1.84,3.08,229.0,9.54,11.39,19.03,40.97,48.53,-7.56,-152.0,-6.33,-7.56,111.44,0.43,0.44,0.46,0.27,0.67,0.12,0.06,7.51,0.07,0.09,0.07,0.94,0.1,0.02,11.39,0.07,-2.37,-0.5,1.88,2011.0,24,83.8
10892,詹姆斯,高雄全家海神,4,527,657.0,8106.0,135.1,135:06,2026.5,33.78,33:46,92.0,23.0,14.0,24.52,79.0,19.75,12.02,21.05,35.0,8.75,5.33,9.33,59.0,14.75,8.98,15.72,33.0,8.25,5.02,8.79,20.0,5.0,3.04,5.33,2.0,0.5,0.3,0.53,28.0,7.0,4.26,7.46,20.0,5.0,3.04,5.33,7.0,1.75,1.07,1.87,31.0,7.75,4.72,8.26,19.0,4.75,2.89,5.06,8.0,2.0,1.22,2.13,2.0,0.5,0.3,0.53,23.0,5.75,3.5,6.13,10.0,2.5,1.52,2.66,88.0,22.0,13.39,23.45,40.33,44.75,-4.41,-29.0,-7.25,-4.41,116.71,0.46,0.5,0.56,0.1,0.71,0.2,0.33,17.4,0.06,0.34,0.19,1.22,0.3,0.02,13.39,0.35,-0.74,-0.64,0.08,657.0,4,164.2
10894,凱帝,高雄全家海神,12,1356,1630.0,21607.0,360.12,360:07,1800.58,30.01,30:01,189.0,15.75,11.6,18.89,149.0,12.42,9.14,14.9,61.0,5.08,3.74,6.1,96.0,8.0,5.89,9.6,49.0,4.08,3.01,4.9,53.0,4.42,3.25,5.3,12.0,1.0,0.74,1.2,72.0,6.0,4.42,7.2,55.0,4.58,3.37,5.5,33.0,2.75,2.02,3.3,81.0,6.75,4.97,8.1,16.0,1.33,0.98,1.6,9.0,0.75,0.55,0.9,9.0,0.75,0.55,0.9,22.0,1.83,1.35,2.2,34.0,2.83,2.09,3.4,164.0,13.67,10.06,16.39,42.94,45.71,-2.76,-45.0,-3.75,-2.76,108.63,0.45,0.52,0.51,0.23,0.76,0.11,0.09,12.43,0.12,0.41,0.24,0.55,0.55,0.02,10.06,0.48,-0.26,0.11,0.37,1630.0,12,135.8
