player_id,player_name,team_name,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PM_total,PM_per_game,PM_per100,PACE,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,USG_pct,ORB_pct,DRB_pct,TRB_pct,STL_per100poss,BLK_per100poss,Foul_per_poss,FT_allowed_rate_per100,FT_rate,rapm_per100,orapm_per100,drapm_per100,on_court_poss,games_played,poss_per_game
21,李愷諺,新北國王,20,2305,2762.0,35585.0,593.08,593:05,1779.25,29.65,29:39,223.0,11.15,8.07,13.54,201.0,10.05,7.28,12.2,77.0,3.85,2.79,4.67,133.0,6.65,4.82,8.07,63.0,3.15,2.28,3.82,68.0,3.4,2.46,4.13,14.0,0.7,0.51,0.85,80.0,4.0,2.9,4.86,55.0,2.75,1.99,3.34,22.0,1.1,0.8,1.34,38.0,1.9,1.38,2.31,72.0,3.6,2.61,4.37,32.0,1.6,1.16,1.94,4.0,0.2,0.14,0.24,52.0,2.6,1.88,3.16,48.0,2.4,1.74,2.91,285.0,14.25,10.32,17.3,42.83,45.55,-2.72,-75.0,-3.75,-2.72,111.77,0.42,0.47,0.47,0.21,0.69,0.18,0.21,10.43,0.05,0.19,0.09,1.16,0.14,0.02,10.32,0.4,-0.96,-0.33,0.46,2762.0,20,138.1
25,林金榜,新北國王,11,463,558.0,7132.0,118.87,118:52,648.36,10.81,10:48,22.0,2.0,3.94,6.66,27.0,2.45,4.84,8.18,7.0,0.64,1.25,2.12,10.0,0.91,1.79,3.03,2.0,0.18,0.36,0.61,17.0,1.55,3.05,5.15,5.0,0.45,0.9,1.51,4.0,0.36,0.72,1.21,3.0,0.27,0.54,0.91,3.0,0.27,0.54,0.91,10.0,0.91,1.79,3.03,11.0,1.0,1.97,3.33,5.0,0.45,0.9,1.51,0.0,0.0,0.0,0.0,3.0,0.27,0.54,0.91,15.0,1.36,2.69,4.54,48.0,4.36,8.6,14.54,40.5,40.68,-0.18,-1.0,-0.09,-0.18,112.66,0.35,0.38,0.2,0.29,0.75,0.09,0.15,5.69,0.03,0.22,0.1,0.9,0.0,0.03,8.6,0.15,0.29,-0.41,-0.7,558.0,11,50.7
29,林書緯,新北國王,17,2342,2783.0,36478.0,607.97,607:58,2145.76,35.76,35:46,195.0,11.47,7.01,11.55,191.0,11.24,6.86,11.31,73.0,4.29,2.62,4.32,108.0,6.35,3.88,6.4,45.0,2.65,1.62,2.66,83.0,4.88,2.98,4.91,28.0,1.65,1.01,1.66,28.0,1.65,1.01,1.66,21.0,1.24,0.75,1.24,13.0,0.76,0.47,0.77,50.0,2.94,1.8,2.96,110.0,6.47,3.95,6.51,21.0,1.24,0.75,1.24,5.0,0.29,0.18,0.3,49.0,2.88,1.76,2.9,38.0,2.24,1.37,2.25,292.0,17.18,10.49,17.29,43.62,45.85,-2.23,-62.0,-3.65,-2.23,109.86,0.46,0.48,0.42,0.34,0.75,0.19,0.29,9.07,0.03,0.22,0.09,0.75,0.18,0.01,10.49,0.15,-0.28,-0.08,0.09,2783.0,17,163.7
10875,傑登,新北國王,9,1223,1477.0,18327.0,305.45,305:27,2036.33,33.94,33:56,168.0,18.67,11.37,19.8,137.0,15.22,9.28,16.15,68.0,7.56,4.6,8.01,113.0,12.56,7.65,13.32,64.0,7.11,4.33,7.54,24.0,2.67,1.62,2.83,4.0,0.44,0.27,0.47,58.0,6.44,3.93,6.84,28.0,3.11,1.9,3.3,41.0,4.56,2.78,4.83,55.0,6.11,3.72,6.48,15.0,1.67,1.02,1.77,10.0,1.11,0.68,1.18,3.0,0.33,0.2,0.35,25.0,2.78,1.69,2.95,23.0,2.56,1.56,2.71,169.0,18.78,11.44,19.92,42.86,43.06,-0.2,-3.0,-0.33,-0.2,116.05,0.51,0.52,0.57,0.17,0.48,0.13,0.09,12.7,0.15,0.42,0.24,0.68,0.2,0.02,11.44,0.42,-0.17,-0.34,-0.43,1477.0,9,164.1
10876,尚迪,新北國王,7,779,952.0,11513.0,191.88,191:53,1644.71,27.41,27:25,78.0,11.14,8.19,14.63,80.0,11.43,8.4,15.01,31.0,4.43,3.26,5.82,48.0,6.86,5.04,9.01,26.0,3.71,2.73,4.88,32.0,4.57,3.36,6.0,5.0,0.71,0.53,0.94,17.0,2.43,1.79,3.19,11.0,1.57,1.16,2.06,17.0,2.43,1.79,3.19,32.0,4.57,3.36,6.0,9.0,1.29,0.95,1.69,6.0,0.86,0.63,1.13,2.0,0.29,0.21,0.38,16.0,2.29,1.68,3.0,17.0,2.43,1.79,3.19,105.0,15.0,11.03,19.7,39.81,41.91,-2.1,-20.0,-2.86,-2.1,119.07,0.42,0.45,0.54,0.16,0.65,0.15,0.08,10.87,0.11,0.31,0.19,0.63,0.21,0.02,11.03,0.21,-0.95,-1.33,-0.61,952.0,7,136.0
110,胡瓏貿,高雄全家海神,18,1970,2362.0,31372.0,522.87,522:52,1742.89,29.05,29:03,225.0,12.5,9.53,15.49,147.0,8.17,6.22,10.12,71.0,3.94,3.01,4.89,74.0,4.11,3.13,5.09,34.0,1.89,1.44,2.34,73.0,4.06,3.09,5.03,37.0,2.06,1.57,2.55,64.0,3.56,2.71,4.41,46.0,2.56,1.95,3.17,19.0,1.06,0.8,1.31,49.0,2.72,2.07,3.37,42.0,2.33,1.78,2.89,19.0,1.06,0.8,1.31,2.0,0.11,0.08,0.14,30.0,1.67,1.27,2.07,52.0,2.89,2.2,3.58,248.0,13.78,10.5,17.08,44.41,46.7,-2.29,-54.0,-3.0,-2.29,108.42,0.61,0.64,0.46,0.51,0.72,0.15,0.14,8.69,0.05,0.24,0.11,0.8,0.08,0.02,10.5,0.44,-0.13,0.56,0.6,2362.0,18,131.2
118,蘇文儒,高雄全家海神,19,2472,2955.0,39423.0,657.05,657:03,2074.89,34.58,34:35,227.0,11.95,7.68,12.44,186.0,9.79,6.29,10.19,76.0,4.0,2.57,4.16,73.0,3.84,2.47,4.0,36.0,1.89,1.22,1.97,113.0,5.95,3.82,6.19,40.0,2.11,1.35,2.19,43.0,2.26,1.46,2.36,35.0,1.84,1.18,1.92,25.0,1.32,0.85,1.37,67.0,3.53,2.27,3.67,53.0,2.79,1.79,2.9,23.0,1.21,0.78,1.26,3.0,0.16,0.1,0.16,33.0,1.74,1.12,1.81,73.0,3.84,2.47,4.0,319.0,16.79,10.8,17.48,44.37,46.09,-1.73,-51.0,-2.68,-1.73,107.94,0.52,0.55,0.49,0.35,0.81,0.14,0.13,8.05,0.05,0.26,0.12,0.78,0.1,0.02,10.8,0.23,1.13,0.91,-0.07,2955.0,19,155.5
121,吳曉謹,高雄全家海神,16,1189,1422.0,18308.0,305.13,305:08,1144.25,19.07,19:04,73.0,4.56,5.13,8.61,75.0,4.69,5.27,8.85,25.0,1.56,1.76,2.95,27.0,1.69,1.9,3.19,10.0,0.62,0.7,1.18,48.0,3.0,3.38,5.66,15.0,0.94,1.05,1.77,12.0,0.75,0.84,1.42,8.0,0.5,0.56,0.94,10.0,0.62,0.7,1.18,10.0,0.62,0.7,1.18,10.0,0.62,0.7,1.18,11.0,0.69,0.77,1.3,2.0,0.12,0.14,0.24,13.0,0.81,0.91,1.53,27.0,1.69,1.9,3.19,188.0,11.75,13.22,22.18,39.87,49.02,-9.14,-130.0,-8.12,-9.14,111.85,0.43,0.45,0.37,0.31,0.67,0.14,0.06,6.56,0.04,0.11,0.06,0.77,0.14,0.02,13.22,0.16,-2.91,-1.35,1.83,1422.0,16,88.9
10892,詹姆斯,高雄全家海神,4,527,657.0,8106.0,135.1,135:06,2026.5,33.78,33:46,92.0,23.0,14.0,24.52,79.0,19.75,12.02,21.05,35.0,8.75,5.33,9.33,59.0,14.75,8.98,15.72,33.0,8.25,5.02,8.79,20.0,5.0,3.04,5.33,2.0,0.5,0.3,0.53,28.0,7.0,4.26,7.46,20.0,5.0,3.04,5.33,7.0,1.75,1.07,1.87,31.0,7.75,4.72,8.26,19.0,4.75,2.89,5.06,8.0,2.0,1.22,2.13,2.0,0.5,0.3,0.53,23.0,5.75,3.5,6.13,10.0,2.5,1.52,2.66,88.0,22.0,13.39,23.45,40.33,44.75,-4.41,-29.0,-7.25,-4.41,116.71,0.46,0.5,0.56,0.1,0.71,0.2,0.33,17.4,0.06,0.34,0.19,1.22,0.3,0.02,13.39,0.35,-0.98,-0.7,0.11,657.0,4,164.2
10894,凱帝,高雄全家海神,9,1132,1370.0,18037.0,300.62,300:37,2004.11,33.4,33:24,160.0,17.78,11.68,19.16,121.0,13.44,8.83,14.49,50.0,5.56,3.65,5.99,78.0,8.67,5.69,9.34,40.0,4.44,2.92,4.79,43.0,4.78,3.14,5.15,10.0,1.11,0.73,1.2,66.0,7.33,4.82,7.9,50.0,5.56,3.65,5.99,26.0,2.89,1.9,3.11,69.0,7.67,5.04,8.26,11.0,1.22,0.8,1.32,6.0,0.67,0.44,0.72,8.0,0.89,0.58,0.96,18.0,2.0,1.31,2.16,27.0,3.0,1.97,3.23,143.0,15.89,10.44,17.12,43.5,44.74,-1.24,-17.0,-1.89,-1.24,109.38,0.45,0.53,0.51,0.23,0.76,0.11,0.07,12.27,0.11,0.41,0.24,0.44,0.58,0.02,10.44,0.55,0.49,0.44,-0.17,1370.0,9,152.2
