player_id,player_name,team_name,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PM_total,PM_per_game,PM_per100,PACE,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,USG_pct,ORB_pct,DRB_pct,TRB_pct,STL_per100poss,BLK_per100poss,Foul_per_poss,FT_allowed_rate_per100,FT_rate,rapm_per100,orapm_per100,drapm_per100,on_court_poss,games_played,poss_per_game
21,李愷諺,新北國王,3,322,375.0,5022.0,83.7,83:42,1674.0,27.9,27:54,17.0,5.67,4.53,7.31,19.0,6.33,5.07,8.17,7.0,2.33,1.87,3.01,13.0,4.33,3.47,5.59,6.0,2.0,1.6,2.58,6.0,2.0,1.6,2.58,1.0,0.33,0.27,0.43,4.0,1.33,1.07,1.72,2.0,0.67,0.53,0.86,4.0,1.33,1.07,1.72,4.0,1.33,1.07,1.72,5.0,1.67,1.33,2.15,5.0,1.67,1.33,2.15,0.0,0.0,0.0,0.0,5.0,1.67,1.33,2.15,5.0,1.67,1.33,2.15,39.0,13.0,10.4,16.77,43.73,45.87,-2.13,-8.0,-2.67,-2.13,107.53,0.39,0.41,0.46,0.17,0.5,0.19,0.1,6.87,0.06,0.13,0.08,1.33,0.0,0.01,10.4,0.21,-0.59,-0.32,0.39,375.0,3,125.0
24,蘇士軒,新北國王,3,297,348.0,4912.0,81.87,81:52,1637.33,27.29,27:17,25.0,8.33,7.18,10.99,23.0,7.67,6.61,10.11,10.0,3.33,2.87,4.4,13.0,4.33,3.74,5.72,5.0,1.67,1.44,2.2,10.0,3.33,2.87,4.4,5.0,1.67,1.44,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.86,1.32,14.0,4.67,4.02,6.16,2.0,0.67,0.57,0.88,3.0,1.0,0.86,1.32,1.0,0.33,0.29,0.44,2.0,0.67,0.57,0.88,12.0,4.0,3.45,5.28,41.0,13.67,11.78,18.03,47.13,42.82,4.31,15.0,5.0,4.31,102.02,0.54,0.54,0.38,0.5,,0.08,0.04,7.18,0.05,0.33,0.16,0.86,0.29,0.03,11.78,0.0,0.36,0.28,-0.1,348.0,3,116.0
29,林書緯,新北國王,3,456,540.0,7254.0,120.9,120:54,2418.0,40.3,40:18,66.0,22.0,12.22,19.65,52.0,17.33,9.63,15.48,24.0,8.0,4.44,7.15,28.0,9.33,5.19,8.34,11.0,3.67,2.04,3.28,24.0,8.0,4.44,7.15,13.0,4.33,2.41,3.87,5.0,1.67,0.93,1.49,5.0,1.67,0.93,1.49,6.0,2.0,1.11,1.79,15.0,5.0,2.78,4.47,23.0,7.67,4.26,6.85,3.0,1.0,0.56,0.89,0.0,0.0,0.0,0.0,8.0,2.67,1.48,2.38,9.0,3.0,1.67,2.68,69.0,23.0,12.78,20.55,46.48,43.52,2.96,16.0,5.33,2.96,107.2,0.59,0.61,0.39,0.54,1.0,0.13,0.34,11.52,0.06,0.28,0.14,0.56,0.0,0.02,12.78,0.1,0.26,0.16,0.02,540.0,3,180.0
34,沃許本,新北國王,1,118,132.0,1951.0,32.52,32:31,1951.0,32.52,32:31,16.0,16.0,12.12,17.71,13.0,13.0,9.85,14.39,8.0,8.0,6.06,8.86,13.0,13.0,9.85,14.39,8.0,8.0,6.06,8.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,6.06,8.86,1.0,1.0,0.76,1.11,1.0,1.0,0.76,1.11,1.0,1.0,0.76,1.11,1.0,1.0,0.76,1.11,3.0,3.0,2.27,3.32,14.0,14.0,10.61,15.5,48.48,50.76,-2.27,-3.0,-3.0,-2.27,97.43,0.62,0.62,0.62,,,0.07,0.05,10.61,0.0,0.53,0.21,0.76,0.76,0.02,10.61,0.0,-0.47,0.18,0.48,132.0,1,132.0
13029,杰倫,新北國王,3,432,509.0,6944.0,115.73,115:44,2314.67,38.58,38:35,64.0,21.33,12.57,19.91,51.0,17.0,10.02,15.86,23.0,7.67,4.52,7.15,31.0,10.33,6.09,9.64,16.0,5.33,3.14,4.98,20.0,6.67,3.93,6.22,7.0,2.33,1.38,2.18,16.0,5.33,3.14,4.98,11.0,3.67,2.16,3.42,6.0,2.0,1.18,1.87,20.0,6.67,3.93,6.22,16.0,5.33,3.14,4.98,4.0,1.33,0.79,1.24,2.0,0.67,0.39,0.62,10.0,3.33,1.96,3.11,12.0,4.0,2.36,3.73,64.0,21.33,12.57,19.91,45.38,44.2,1.18,6.0,2.0,1.18,105.55,0.52,0.55,0.52,0.35,0.69,0.15,0.26,13.37,0.07,0.34,0.17,0.79,0.39,0.02,12.57,0.31,-0.15,-0.07,0.15,509.0,3,169.7
40,謝亞軒,新北中信特攻,2,275,320.0,4471.0,74.52,74:31,2235.5,37.26,37:16,36.0,18.0,11.25,17.39,26.0,13.0,8.12,12.56,13.0,6.5,4.06,6.28,10.0,5.0,3.12,4.83,6.0,3.0,1.88,2.9,16.0,8.0,5.0,7.73,7.0,3.5,2.19,3.38,3.0,1.5,0.94,1.45,3.0,1.5,0.94,1.45,1.0,0.5,0.31,0.48,8.0,4.0,2.5,3.86,5.0,2.5,1.56,2.42,2.0,1.0,0.62,0.97,1.0,0.5,0.31,0.48,5.0,2.5,1.56,2.42,3.0,1.5,0.94,1.45,20.0,10.0,6.25,9.66,44.06,46.56,-2.5,-8.0,-4.0,-2.5,103.06,0.63,0.66,0.6,0.44,1.0,0.15,0.13,10.1,0.02,0.36,0.11,0.62,0.31,0.01,6.25,0.12,0.08,0.16,0.13,320.0,2,160.0
43,林韋翰,新北中信特攻,2,257,300.0,4194.0,69.9,69:54,2097.0,34.95,34:57,21.0,10.5,7.0,10.82,22.0,11.0,7.33,11.33,8.0,4.0,2.67,4.12,6.0,3.0,2.0,3.09,3.0,1.5,1.0,1.55,16.0,8.0,5.33,8.24,5.0,2.5,1.67,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.67,1.03,7.0,3.5,2.33,3.61,10.0,5.0,3.33,5.15,5.0,2.5,1.67,2.58,0.0,0.0,0.0,0.0,4.0,2.0,1.33,2.06,7.0,3.5,2.33,3.61,27.0,13.5,9.0,13.91,40.33,48.33,-8.0,-24.0,-12.0,-8.0,103.0,0.48,0.48,0.5,0.31,,0.15,0.26,8.67,0.03,0.39,0.11,1.67,0.0,0.02,9.0,0.0,-0.7,-0.37,0.34,300.0,2,150.0
10877,阿巴西,新北中信特攻,2,313,370.0,4984.0,83.07,83:04,2492.0,41.53,41:32,24.0,12.0,6.49,10.4,35.0,17.5,9.46,15.17,9.0,4.5,2.43,3.9,15.0,7.5,4.05,6.5,6.0,3.0,1.62,2.6,20.0,10.0,5.41,8.67,3.0,1.5,0.81,1.3,3.0,1.5,0.81,1.3,3.0,1.5,0.81,1.3,1.0,0.5,0.27,0.43,4.0,2.0,1.08,1.73,6.0,3.0,1.62,2.6,1.0,0.5,0.27,0.43,1.0,0.5,0.27,0.43,3.0,1.5,0.81,1.3,1.0,0.5,0.27,0.43,29.0,14.5,7.84,12.57,41.08,48.92,-7.84,-29.0,-14.5,-7.84,106.9,0.3,0.33,0.4,0.15,1.0,0.08,0.13,10.63,0.01,0.18,0.05,0.27,0.27,0.0,7.84,0.09,-0.83,-0.33,0.53,370.0,2,185.0
10880,內馬,新北中信特攻,2,250,286.0,4081.0,68.02,68:01,2040.5,34.01,34:00,28.0,14.0,9.79,14.82,29.0,14.5,10.14,15.35,10.0,5.0,3.5,5.29,18.0,9.0,6.29,9.53,8.0,4.0,2.8,4.23,11.0,5.5,3.85,5.82,2.0,1.0,0.7,1.06,10.0,5.0,3.5,5.29,6.0,3.0,2.1,3.18,5.0,2.5,1.75,2.65,18.0,9.0,6.29,9.53,3.0,1.5,1.05,1.59,2.0,1.0,0.7,1.06,1.0,0.5,0.35,0.53,2.0,1.0,0.7,1.06,8.0,4.0,2.8,4.23,19.0,9.5,6.64,10.06,43.01,46.15,-3.15,-9.0,-4.5,-3.15,100.92,0.38,0.42,0.44,0.18,0.6,0.06,0.08,12.38,0.08,0.62,0.26,0.7,0.35,0.03,6.64,0.34,0.01,0.0,0.03,286.0,2,143.0
10881,飛克,新北中信特攻,2,254,296.0,4066.0,67.77,67:46,2033.0,33.88,33:53,26.0,13.0,8.78,13.81,14.0,7.0,4.73,7.44,7.0,3.5,2.36,3.72,13.0,6.5,4.39,6.91,7.0,3.5,2.36,3.72,1.0,0.5,0.34,0.53,0.0,0.0,0.0,0.0,16.0,8.0,5.41,8.5,12.0,6.0,4.05,6.37,5.0,2.5,1.69,2.66,10.0,5.0,3.38,5.31,9.0,4.5,3.04,4.78,2.0,1.0,0.68,1.06,0.0,0.0,0.0,0.0,6.0,3.0,2.03,3.19,7.0,3.5,2.36,3.72,25.0,12.5,8.45,13.28,43.58,47.64,-4.05,-12.0,-6.0,-4.05,104.83,0.5,0.62,0.54,0.0,0.75,0.22,0.24,9.14,0.08,0.45,0.17,0.68,0.0,0.02,8.45,1.14,-0.17,0.1,0.24,296.0,2,148.0
