lineup_size,team_name,lineup_player_ids,lineup_player_names,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,PTS_allowed,PTS_allowed_per_game,PTS_allowed_per100,PTS_allowed_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,ORB_allowed,ORB_allowed_per_game,ORB_allowed_per100,ORB_allowed_per36,DRB_allowed,DRB_allowed_per_game,DRB_allowed_per100,DRB_allowed_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PACE,PM_total,PM_per_game,PM_per100,MIN_total,MIN_per_game,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,ORB_pct,DRB_pct,TRB_pct,STL_pct,BLK_pct,Foul_per_poss,FT_allowed_rate_per100,FT_rate
4,桃園台啤永豐雲豹,54|58|68|69,高錦瑋/林信寬/克羅馬/威廉斯,2,157,183.0,2791.37,46.52,46:31,1395.69,23.26,23:16,88.0,44.0,48.09,68.1,77.0,38.5,42.08,59.58,65.0,32.5,35.52,50.3,32.0,16.0,17.49,24.76,38.0,19.0,20.77,29.4,19.0,9.5,10.38,14.7,27.0,13.5,14.75,20.89,13.0,6.5,7.1,10.06,13.0,6.5,7.1,10.06,11.0,5.5,6.01,8.51,7.0,3.5,3.83,5.42,22.0,11.0,12.02,17.02,12.0,6.0,6.56,9.29,34.0,17.0,18.58,26.31,18.0,9.0,9.84,13.93,19.0,9.5,10.38,14.7,4.0,2.0,2.19,3.1,5.0,2.5,2.73,3.87,19.0,9.5,10.38,14.7,13.0,6.5,7.1,10.06,48.09,42.08,6.01,94.41,11.0,5.5,6.01,46.52,23.26,0.59,0.62,0.5,0.48,0.85,0.2,0.59,0.17,0.65,0.39,2.19,2.73,0.1,7.1,0.2
4,桃園台啤永豐雲豹,54|58|68|3129,高錦瑋/林信寬/克羅馬/董永全,2,126,151.0,2337.76,38.96,38:58,1168.88,19.48,19:29,78.0,39.0,51.66,72.07,66.0,33.0,43.71,60.98,50.0,25.0,33.11,46.2,26.0,13.0,17.22,24.02,27.0,13.5,17.88,24.95,13.0,6.5,8.61,12.01,23.0,11.5,15.23,21.25,13.0,6.5,8.61,12.01,15.0,7.5,9.93,13.86,13.0,6.5,8.61,12.01,7.0,3.5,4.64,6.47,14.0,7.0,9.27,12.94,12.0,6.0,7.95,11.09,26.0,13.0,17.22,24.02,15.0,7.5,9.93,13.86,17.0,8.5,11.26,15.71,2.0,1.0,1.32,1.85,5.0,2.5,3.31,4.62,20.0,10.0,13.25,18.48,8.0,4.0,5.3,7.39,51.66,43.71,7.95,93.01,12.0,6.0,7.95,38.96,19.48,0.65,0.69,0.48,0.57,0.87,0.21,0.65,0.21,0.54,0.36,1.32,3.31,0.13,5.3,0.3
4,桃園台啤永豐雲豹,54|58|69|3129,高錦瑋/林信寬/威廉斯/董永全,2,123,147.0,2258.86,37.65,37:39,1129.43,18.82,18:49,77.0,38.5,52.38,73.63,62.0,31.0,42.18,59.29,50.0,25.0,34.01,47.81,26.0,13.0,17.69,24.86,27.0,13.5,18.37,25.82,14.0,7.0,9.52,13.39,23.0,11.5,15.65,21.99,12.0,6.0,8.16,11.47,15.0,7.5,10.2,14.34,13.0,6.5,8.84,12.43,7.0,3.5,4.76,6.69,13.0,6.5,8.84,12.43,13.0,6.5,8.84,12.43,28.0,14.0,19.05,26.77,14.0,7.0,9.52,13.39,16.0,8.0,10.88,15.3,2.0,1.0,1.36,1.91,5.0,2.5,3.4,4.78,18.0,9.0,12.24,17.21,10.0,5.0,6.8,9.56,52.38,42.18,10.2,93.71,15.0,7.5,10.2,37.65,18.82,0.64,0.68,0.52,0.52,0.87,0.2,0.62,0.2,0.5,0.33,1.36,3.4,0.12,6.8,0.3
4,桃園台啤永豐雲豹,54|68|69|3129,高錦瑋/克羅馬/威廉斯/董永全,2,133,159.0,2475.02,41.25,41:15,1237.51,20.63,20:38,76.0,38.0,47.8,66.33,68.0,34.0,42.77,59.34,53.0,26.5,33.33,46.25,26.0,13.0,16.35,22.69,27.0,13.5,16.98,23.56,13.0,6.5,8.18,11.35,26.0,13.0,16.35,22.69,13.0,6.5,8.18,11.35,13.0,6.5,8.18,11.35,11.0,5.5,6.92,9.6,8.0,4.0,5.03,6.98,16.0,8.0,10.06,13.96,13.0,6.5,8.18,11.35,30.0,15.0,18.87,26.18,17.0,8.5,10.69,14.84,17.0,8.5,10.69,14.84,3.0,1.5,1.89,2.62,5.0,2.5,3.14,4.36,18.0,9.0,11.32,15.71,10.0,5.0,6.29,8.73,47.8,42.77,5.03,92.51,8.0,4.0,5.03,41.25,20.63,0.61,0.65,0.48,0.5,0.85,0.22,0.65,0.21,0.55,0.36,1.89,3.14,0.11,6.29,0.25
4,桃園台啤永豐雲豹,58|68|69|3129,林信寬/克羅馬/威廉斯/董永全,2,133,160.0,2432.2,40.54,40:32,1216.1,20.27,20:16,81.0,40.5,50.62,71.93,65.0,32.5,40.62,57.73,55.0,27.5,34.38,48.84,27.0,13.5,16.88,23.98,31.0,15.5,19.38,27.53,15.0,7.5,9.38,13.32,24.0,12.0,15.0,21.31,12.0,6.0,7.5,10.66,20.0,10.0,12.5,17.76,15.0,7.5,9.38,13.32,9.0,4.5,5.62,7.99,15.0,7.5,9.38,13.32,13.0,6.5,8.12,11.55,29.0,14.5,18.12,25.75,15.0,7.5,9.38,13.32,18.0,9.0,11.25,15.99,2.0,1.0,1.25,1.78,5.0,2.5,3.12,4.44,19.0,9.5,11.88,16.87,8.0,4.0,5.0,7.1,50.62,40.62,10.0,94.73,16.0,8.0,10.0,40.54,20.27,0.6,0.63,0.48,0.5,0.75,0.19,0.67,0.24,0.54,0.36,1.25,3.12,0.12,5.0,0.36
4,臺北台新戰神,1|10|14|3000,丁聖儒/雷蒙恩/錢肯尼/麥卡倫,2,57,64.0,1023.91,17.07,17:04,511.96,8.53,08:32,21.0,10.5,32.81,44.3,39.0,19.5,60.94,82.27,31.0,15.5,48.44,65.4,10.0,5.0,15.62,21.1,27.0,13.5,42.19,56.96,10.0,5.0,15.62,21.1,4.0,2.0,6.25,8.44,0.0,0.0,0.0,0.0,4.0,2.0,6.25,8.44,1.0,0.5,1.56,2.11,7.0,3.5,10.94,14.77,16.0,8.0,25.0,33.75,0.0,0.0,0.0,0.0,6.0,3.0,9.38,12.66,2.0,1.0,3.12,4.22,2.0,1.0,3.12,4.22,2.0,1.0,3.12,4.22,1.0,0.5,1.56,2.11,3.0,1.5,4.69,6.33,3.0,1.5,4.69,6.33,32.81,60.94,-28.12,90.01,-18.0,-9.0,-28.12,17.07,8.53,0.32,0.32,0.37,0.0,0.25,0.06,0.2,0.54,1.0,0.79,3.12,1.56,0.05,4.69,0.13
4,臺北台新戰神,1|10|14|3001,丁聖儒/雷蒙恩/錢肯尼/艾力克,1,42,48.0,671.0,11.18,11:11,671.0,11.18,11:11,18.0,18.0,37.5,57.94,29.0,29.0,60.42,93.35,24.0,24.0,50.0,77.26,9.0,9.0,18.75,28.97,22.0,22.0,45.83,70.82,9.0,9.0,18.75,28.97,2.0,2.0,4.17,6.44,0.0,0.0,0.0,0.0,2.0,2.0,4.17,6.44,0.0,0.0,0.0,0.0,5.0,5.0,10.42,16.1,11.0,11.0,22.92,35.41,0.0,0.0,0.0,0.0,5.0,5.0,10.42,16.1,1.0,1.0,2.08,3.22,2.0,2.0,4.17,6.44,1.0,1.0,2.08,3.22,1.0,1.0,2.08,3.22,2.0,2.0,4.17,6.44,3.0,3.0,6.25,9.66,37.5,60.42,-22.92,103.01,-11.0,-11.0,-22.92,11.18,11.18,0.38,0.36,0.41,0.0,0.0,0.04,0.22,0.5,1.0,0.76,2.08,2.08,0.04,6.25,0.08
4,臺北台新戰神,1|10|3000|3001,丁聖儒/雷蒙恩/麥卡倫/艾力克,1,42,48.0,671.0,11.18,11:11,671.0,11.18,11:11,18.0,18.0,37.5,57.94,29.0,29.0,60.42,93.35,24.0,24.0,50.0,77.26,9.0,9.0,18.75,28.97,22.0,22.0,45.83,70.82,9.0,9.0,18.75,28.97,2.0,2.0,4.17,6.44,0.0,0.0,0.0,0.0,2.0,2.0,4.17,6.44,0.0,0.0,0.0,0.0,5.0,5.0,10.42,16.1,11.0,11.0,22.92,35.41,0.0,0.0,0.0,0.0,5.0,5.0,10.42,16.1,1.0,1.0,2.08,3.22,2.0,2.0,4.17,6.44,1.0,1.0,2.08,3.22,1.0,1.0,2.08,3.22,2.0,2.0,4.17,6.44,3.0,3.0,6.25,9.66,37.5,60.42,-22.92,103.01,-11.0,-11.0,-22.92,11.18,11.18,0.38,0.36,0.41,0.0,0.0,0.04,0.22,0.5,1.0,0.76,2.08,2.08,0.04,6.25,0.08
4,臺北台新戰神,1|14|3000|3001,丁聖儒/錢肯尼/麥卡倫/艾力克,1,42,48.0,671.0,11.18,11:11,671.0,11.18,11:11,18.0,18.0,37.5,57.94,29.0,29.0,60.42,93.35,24.0,24.0,50.0,77.26,9.0,9.0,18.75,28.97,22.0,22.0,45.83,70.82,9.0,9.0,18.75,28.97,2.0,2.0,4.17,6.44,0.0,0.0,0.0,0.0,2.0,2.0,4.17,6.44,0.0,0.0,0.0,0.0,5.0,5.0,10.42,16.1,11.0,11.0,22.92,35.41,0.0,0.0,0.0,0.0,5.0,5.0,10.42,16.1,1.0,1.0,2.08,3.22,2.0,2.0,4.17,6.44,1.0,1.0,2.08,3.22,1.0,1.0,2.08,3.22,2.0,2.0,4.17,6.44,3.0,3.0,6.25,9.66,37.5,60.42,-22.92,103.01,-11.0,-11.0,-22.92,11.18,11.18,0.38,0.36,0.41,0.0,0.0,0.04,0.22,0.5,1.0,0.76,2.08,2.08,0.04,6.25,0.08
4,臺北台新戰神,10|14|3000|3001,雷蒙恩/錢肯尼/麥卡倫/艾力克,1,47,55.0,768.53,12.81,12:49,768.53,12.81,12:49,20.0,20.0,36.36,56.21,31.0,31.0,56.36,87.13,27.0,27.0,49.09,75.88,10.0,10.0,18.18,28.11,23.0,23.0,41.82,64.64,10.0,10.0,18.18,28.11,4.0,4.0,7.27,11.24,0.0,0.0,0.0,0.0,2.0,2.0,3.64,5.62,0.0,0.0,0.0,0.0,6.0,6.0,10.91,16.86,12.0,12.0,21.82,33.73,0.0,0.0,0.0,0.0,5.0,5.0,9.09,14.05,2.0,2.0,3.64,5.62,2.0,2.0,3.64,5.62,2.0,2.0,3.64,5.62,1.0,1.0,1.82,2.81,2.0,2.0,3.64,5.62,5.0,5.0,9.09,14.05,36.36,56.36,-20.0,103.05,-11.0,-11.0,-20.0,12.81,12.81,0.37,0.36,0.43,0.0,0.0,0.07,0.2,0.55,1.0,0.78,3.64,1.82,0.04,9.09,0.07
