lineup_size,team_name,lineup_player_ids,lineup_player_names,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,PTS_allowed,PTS_allowed_per_game,PTS_allowed_per100,PTS_allowed_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,ORB_allowed,ORB_allowed_per_game,ORB_allowed_per100,ORB_allowed_per36,DRB_allowed,DRB_allowed_per_game,DRB_allowed_per100,DRB_allowed_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PACE,PM_total,PM_per_game,PM_per100,MIN_total,MIN_per_game,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,ORB_pct,DRB_pct,TRB_pct,STL_pct,BLK_pct,Foul_per_poss,FT_allowed_rate_per100,FT_rate
4,福爾摩沙夢想家,77|79|86|104,馬建豪/張宗憲/林俊吉/貝奇,2,97,115.0,1453.58,24.23,24:14,726.79,12.11,12:07,49.0,24.5,42.61,72.81,50.0,25.0,43.48,74.3,38.0,19.0,33.04,56.47,15.0,7.5,13.04,22.29,20.0,10.0,17.39,29.72,9.0,4.5,7.83,13.37,18.0,9.0,15.65,26.75,6.0,3.0,5.22,8.92,15.0,7.5,13.04,22.29,11.0,5.5,9.57,16.35,7.0,3.5,6.09,10.4,16.0,8.0,13.91,23.78,5.0,2.5,4.35,7.43,17.0,8.5,14.78,25.26,9.0,4.5,7.83,13.37,6.0,3.0,5.22,8.92,8.0,4.0,6.96,11.89,1.0,0.5,0.87,1.49,16.0,8.0,13.91,23.78,11.0,5.5,9.57,16.35,42.61,43.48,-0.87,113.93,-1.0,-0.5,-0.87,24.23,12.11,0.47,0.55,0.45,0.33,0.73,0.17,0.4,0.29,0.76,0.51,6.96,0.87,0.14,9.57,0.39
4,福爾摩沙夢想家,77|79|86|9480,馬建豪/張宗憲/林俊吉/龍查,3,54,63.0,789.56,13.16,13:10,263.19,4.39,04:23,25.0,8.33,39.68,68.39,23.0,7.67,36.51,62.92,18.0,6.0,28.57,49.24,10.0,3.33,15.87,27.36,9.0,3.0,14.29,24.62,7.0,2.33,11.11,19.15,9.0,3.0,14.29,24.62,3.0,1.0,4.76,8.21,6.0,2.0,9.52,16.41,2.0,0.67,3.17,5.47,1.0,0.33,1.59,2.74,9.0,3.0,14.29,24.62,5.0,1.67,7.94,13.68,12.0,4.0,19.05,32.83,6.0,2.0,9.52,16.41,3.0,1.0,4.76,8.21,6.0,2.0,9.52,16.41,1.0,0.33,1.59,2.74,7.0,2.33,11.11,19.15,3.0,1.0,4.76,8.21,39.68,36.51,3.17,114.9,2.0,0.67,3.17,13.16,4.39,0.64,0.61,0.78,0.33,0.33,0.23,0.3,0.08,0.64,0.37,9.52,1.59,0.11,4.76,0.33
4,福爾摩沙夢想家,77|79|104|9480,馬建豪/張宗憲/貝奇/龍查,2,59,70.0,912.08,15.2,15:12,456.04,7.6,07:36,26.0,13.0,37.14,61.57,29.0,14.5,41.43,68.68,19.0,9.5,27.14,45.0,10.0,5.0,14.29,23.68,8.0,4.0,11.43,18.95,6.0,3.0,8.57,14.21,11.0,5.5,15.71,26.05,4.0,2.0,5.71,9.47,5.0,2.5,7.14,11.84,2.0,1.0,2.86,4.74,1.0,0.5,1.43,2.37,9.0,4.5,12.86,21.31,7.0,3.5,10.0,16.58,12.0,6.0,17.14,28.42,8.0,4.0,11.43,18.95,4.0,2.0,5.71,9.47,7.0,3.5,10.0,16.58,1.0,0.5,1.43,2.37,7.0,3.5,10.0,16.58,3.0,1.5,4.29,7.1,37.14,41.43,-4.29,110.52,-3.0,-1.5,-4.29,15.2,7.6,0.63,0.61,0.75,0.36,0.4,0.27,0.4,0.08,0.56,0.34,10.0,1.43,0.1,4.29,0.26
4,福爾摩沙夢想家,77|86|104|9480,馬建豪/林俊吉/貝奇/龍查,2,60,70.0,876.66,14.61,14:37,438.33,7.31,07:18,25.0,12.5,35.71,61.6,26.0,13.0,37.14,64.06,20.0,10.0,28.57,49.28,10.0,5.0,14.29,24.64,9.0,4.5,12.86,22.18,7.0,3.5,10.0,17.25,11.0,5.5,15.71,27.1,3.0,1.5,4.29,7.39,5.0,2.5,7.14,12.32,2.0,1.0,2.86,4.93,1.0,0.5,1.43,2.46,10.0,5.0,14.29,24.64,5.0,2.5,7.14,12.32,11.0,5.5,15.71,27.1,8.0,4.0,11.43,19.71,4.0,2.0,5.71,9.86,6.0,3.0,8.57,14.78,1.0,0.5,1.43,2.46,8.0,4.0,11.43,19.71,4.0,2.0,5.71,9.86,35.71,37.14,-1.43,114.98,-1.0,-0.5,-1.43,14.61,7.31,0.57,0.56,0.78,0.27,0.4,0.26,0.4,0.08,0.67,0.41,8.57,1.43,0.11,5.71,0.25
4,福爾摩沙夢想家,79|86|104|9480,張宗憲/林俊吉/貝奇/龍查,2,65,74.0,932.0,15.53,15:32,466.0,7.77,07:46,30.0,15.0,40.54,69.53,28.0,14.0,37.84,64.89,21.0,10.5,28.38,48.67,11.0,5.5,14.86,25.49,9.0,4.5,12.16,20.86,6.0,3.0,8.11,13.91,12.0,6.0,16.22,27.81,5.0,2.5,6.76,11.59,7.0,3.5,9.46,16.22,3.0,1.5,4.05,6.95,1.0,0.5,1.35,2.32,10.0,5.0,13.51,23.18,5.0,2.5,6.76,11.59,14.0,7.0,18.92,32.45,7.0,3.5,9.46,16.22,5.0,2.5,6.76,11.59,6.0,3.0,8.11,13.91,1.0,0.5,1.35,2.32,8.0,4.0,10.81,18.54,3.0,1.5,4.05,6.95,40.54,37.84,2.7,114.33,2.0,1.0,2.7,15.53,7.77,0.64,0.62,0.67,0.42,0.43,0.23,0.45,0.07,0.67,0.37,8.11,1.35,0.11,4.05,0.33
4,高雄全家海神,110|118|120|124,胡瓏貿/蘇文儒/威勝/邱子軒,9,269,314.0,4359.17,72.65,72:39,484.35,8.07,08:04,124.0,13.78,39.49,61.44,133.0,14.78,42.36,65.9,119.0,13.22,37.9,58.97,46.0,5.11,14.65,22.79,51.0,5.67,16.24,25.27,25.0,2.78,7.96,12.39,68.0,7.56,21.66,33.69,21.0,2.33,6.69,10.41,20.0,2.22,6.37,9.91,12.0,1.33,3.82,5.95,16.0,1.78,5.1,7.93,59.0,6.56,18.79,29.23,16.0,1.78,5.1,7.93,47.0,5.22,14.97,23.29,26.0,2.89,8.28,12.88,34.0,3.78,10.83,16.85,14.0,1.56,4.46,6.94,4.0,0.44,1.27,1.98,32.0,3.56,10.19,15.86,27.0,3.0,8.6,13.38,39.49,42.36,-2.87,103.73,-9.0,-1.0,-2.87,72.65,8.07,0.47,0.49,0.49,0.31,0.6,0.17,0.74,0.25,0.79,0.54,4.46,1.27,0.1,8.6,0.17
4,高雄全家海神,110|118|120|5948,胡瓏貿/蘇文儒/威勝/克雷格,9,450,527.0,7301.71,121.7,121:42,811.3,13.52,13:31,231.0,25.67,43.83,68.33,245.0,27.22,46.49,72.48,200.0,22.22,37.95,59.16,84.0,9.33,15.94,24.85,89.0,9.89,16.89,26.33,48.0,5.33,9.11,14.2,111.0,12.33,21.06,32.84,36.0,4.0,6.83,10.65,41.0,4.56,7.78,12.13,27.0,3.0,5.12,7.99,30.0,3.33,5.69,8.87,89.0,9.89,16.89,26.33,29.0,3.22,5.5,8.58,71.0,7.89,13.47,21.0,39.0,4.33,7.4,11.54,60.0,6.67,11.39,17.75,23.0,2.56,4.36,6.8,8.0,0.89,1.52,2.37,56.0,6.22,10.63,16.57,47.0,5.22,8.92,13.9,43.83,46.49,-2.66,103.93,-14.0,-1.56,-2.66,121.7,13.52,0.51,0.53,0.54,0.32,0.66,0.15,0.71,0.3,0.75,0.54,4.36,1.52,0.11,8.92,0.2
4,高雄全家海神,110|118|124|5948,胡瓏貿/蘇文儒/邱子軒/克雷格,11,455,532.0,7894.67,131.58,131:35,717.7,11.96,11:58,215.0,19.55,40.41,58.82,222.0,20.18,41.73,60.74,197.0,17.91,37.03,53.9,78.0,7.09,14.66,21.34,95.0,8.64,17.86,25.99,47.0,4.27,8.83,12.86,102.0,9.27,19.17,27.91,31.0,2.82,5.83,8.48,40.0,3.64,7.52,10.94,29.0,2.64,5.45,7.93,27.0,2.45,5.08,7.39,94.0,8.55,17.67,25.72,28.0,2.55,5.26,7.66,79.0,7.18,14.85,21.61,44.0,4.0,8.27,12.04,54.0,4.91,10.15,14.77,23.0,2.09,4.32,6.29,8.0,0.73,1.5,2.19,53.0,4.82,9.96,14.5,51.0,4.64,9.59,13.95,40.41,41.73,-1.32,97.04,-7.0,-0.64,-1.32,131.58,11.96,0.47,0.5,0.49,0.3,0.72,0.17,0.69,0.25,0.77,0.53,4.32,1.5,0.1,9.59,0.2
4,高雄全家海神,110|120|124|5948,胡瓏貿/威勝/邱子軒/克雷格,10,450,520.0,7031.23,117.19,117:11,703.12,11.72,11:43,208.0,20.8,40.0,63.9,224.0,22.4,43.08,68.81,185.0,18.5,35.58,56.83,76.0,7.6,14.62,23.35,88.0,8.8,16.92,27.03,43.0,4.3,8.27,13.21,97.0,9.7,18.65,29.8,33.0,3.3,6.35,10.14,39.0,3.9,7.5,11.98,24.0,2.4,4.62,7.37,24.0,2.4,4.62,7.37,91.0,9.1,17.5,27.96,25.0,2.5,4.81,7.68,79.0,7.9,15.19,24.27,50.0,5.0,9.62,15.36,57.0,5.7,10.96,17.51,25.0,2.5,4.81,7.68,8.0,0.8,1.54,2.46,60.0,6.0,11.54,18.43,55.0,5.5,10.58,16.9,40.0,43.08,-3.08,106.5,-16.0,-1.6,-3.08,117.19,11.72,0.5,0.51,0.49,0.34,0.62,0.2,0.75,0.23,0.78,0.53,4.81,1.54,0.12,10.58,0.21
4,高雄全家海神,118|120|124|5948,蘇文儒/威勝/邱子軒/克雷格,9,269,314.0,4359.17,72.65,72:39,484.35,8.07,08:04,124.0,13.78,39.49,61.44,133.0,14.78,42.36,65.9,119.0,13.22,37.9,58.97,46.0,5.11,14.65,22.79,51.0,5.67,16.24,25.27,25.0,2.78,7.96,12.39,68.0,7.56,21.66,33.69,21.0,2.33,6.69,10.41,20.0,2.22,6.37,9.91,12.0,1.33,3.82,5.95,16.0,1.78,5.1,7.93,59.0,6.56,18.79,29.23,16.0,1.78,5.1,7.93,47.0,5.22,14.97,23.29,26.0,2.89,8.28,12.88,34.0,3.78,10.83,16.85,14.0,1.56,4.46,6.94,4.0,0.44,1.27,1.98,32.0,3.56,10.19,15.86,27.0,3.0,8.6,13.38,39.49,42.36,-2.87,103.73,-9.0,-1.0,-2.87,72.65,8.07,0.47,0.49,0.49,0.31,0.6,0.17,0.74,0.25,0.79,0.54,4.46,1.27,0.1,8.6,0.17
