lineup_size,team_name,lineup_player_ids,lineup_player_names,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,PTS_allowed,PTS_allowed_per_game,PTS_allowed_per100,PTS_allowed_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,ORB_allowed,ORB_allowed_per_game,ORB_allowed_per100,ORB_allowed_per36,DRB_allowed,DRB_allowed_per_game,DRB_allowed_per100,DRB_allowed_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PACE,PM_total,PM_per_game,PM_per100,MIN_total,MIN_per_game,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,ORB_pct,DRB_pct,TRB_pct,STL_pct,BLK_pct,Foul_per_poss,FT_allowed_rate_per100,FT_rate
5,福爾摩沙夢想家,77|79|86|104|9480,馬建豪/張宗憲/林俊吉/貝奇/龍查,2,52,61.0,780.56,13.01,13:01,390.28,6.5,06:30,23.0,11.5,37.7,63.65,23.0,11.5,37.7,63.65,17.0,8.5,27.87,47.04,9.0,4.5,14.75,24.91,8.0,4.0,13.11,22.14,6.0,3.0,9.84,16.6,9.0,4.5,14.75,24.91,3.0,1.5,4.92,8.3,5.0,2.5,8.2,13.84,2.0,1.0,3.28,5.53,1.0,0.5,1.64,2.77,8.0,4.0,13.11,22.14,5.0,2.5,8.2,13.84,11.0,5.5,18.03,30.44,6.0,3.0,9.84,16.6,3.0,1.5,4.92,8.3,6.0,3.0,9.84,16.6,1.0,0.5,1.64,2.77,7.0,3.5,11.48,19.37,3.0,1.5,4.92,8.3,37.7,37.7,0.0,112.53,0.0,0.0,0.0,13.01,6.5,0.62,0.6,0.75,0.33,0.4,0.24,0.33,0.08,0.62,0.36,9.84,1.64,0.11,4.92,0.29
5,高雄全家海神,110|118|120|124|5948,胡瓏貿/蘇文儒/威勝/邱子軒/克雷格,9,269,314.0,4359.17,72.65,72:39,484.35,8.07,08:04,124.0,13.78,39.49,61.44,133.0,14.78,42.36,65.9,119.0,13.22,37.9,58.97,46.0,5.11,14.65,22.79,51.0,5.67,16.24,25.27,25.0,2.78,7.96,12.39,68.0,7.56,21.66,33.69,21.0,2.33,6.69,10.41,20.0,2.22,6.37,9.91,12.0,1.33,3.82,5.95,16.0,1.78,5.1,7.93,59.0,6.56,18.79,29.23,16.0,1.78,5.1,7.93,47.0,5.22,14.97,23.29,26.0,2.89,8.28,12.88,34.0,3.78,10.83,16.85,14.0,1.56,4.46,6.94,4.0,0.44,1.27,1.98,32.0,3.56,10.19,15.86,27.0,3.0,8.6,13.38,39.49,42.36,-2.87,103.73,-9.0,-1.0,-2.87,72.65,8.07,0.47,0.49,0.49,0.31,0.6,0.17,0.74,0.25,0.79,0.54,4.46,1.27,0.1,8.6,0.17
5,福爾摩沙夢想家,77|79|86|104|107,馬建豪/張宗憲/林俊吉/貝奇/霍爾曼,2,37,43.0,534.02,8.9,08:54,267.01,4.45,04:27,22.0,11.0,51.16,88.99,20.0,10.0,46.51,80.9,16.0,8.0,37.21,64.72,5.0,2.5,11.63,20.22,9.0,4.5,20.93,36.4,2.0,1.0,4.65,8.09,7.0,3.5,16.28,28.31,3.0,1.5,6.98,12.13,8.0,4.0,18.6,32.36,7.0,3.5,16.28,28.31,3.0,1.5,6.98,12.13,7.0,3.5,16.28,28.31,0.0,0.0,0.0,0.0,6.0,3.0,13.95,24.27,2.0,1.0,4.65,8.09,3.0,1.5,6.98,12.13,1.0,0.5,2.33,4.04,0.0,0.0,0.0,0.0,7.0,3.5,16.28,28.31,8.0,4.0,18.6,32.36,51.16,46.51,4.65,115.95,2.0,1.0,4.65,8.9,4.45,0.41,0.56,0.22,0.43,0.88,0.09,0.6,0.33,1.0,0.62,2.33,0.0,0.16,18.6,0.5
5,福爾摩沙夢想家,77|79|89|104|107,馬建豪/張宗憲/蔣淯安/貝奇/霍爾曼,1,15,19.0,274.72,4.58,04:35,274.72,4.58,04:35,11.0,11.0,57.89,86.49,8.0,8.0,42.11,62.9,5.0,5.0,26.32,39.31,3.0,3.0,15.79,23.59,1.0,1.0,5.26,7.86,1.0,1.0,5.26,7.86,4.0,4.0,21.05,31.45,2.0,2.0,10.53,15.72,6.0,6.0,31.58,47.17,5.0,5.0,26.32,39.31,1.0,1.0,5.26,7.86,1.0,1.0,5.26,7.86,1.0,1.0,5.26,7.86,4.0,4.0,21.05,31.45,2.0,2.0,10.53,15.72,1.0,1.0,5.26,7.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,21.05,31.45,1.0,1.0,5.26,7.86,57.89,42.11,15.79,99.59,3.0,3.0,15.79,4.58,4.58,0.8,0.72,1.0,0.5,0.83,0.21,0.33,0.2,0.5,0.29,0.0,0.0,0.21,5.26,1.2
5,高雄全家海神,110|118|124|4181|5948,胡瓏貿/蘇文儒/邱子軒/艾德/克雷格,6,104,119.0,1585.83,26.43,26:26,264.3,4.41,04:24,50.0,8.33,42.02,68.1,42.0,7.0,35.29,57.21,46.0,7.67,38.66,62.66,20.0,3.33,16.81,27.24,27.0,4.5,22.69,36.78,15.0,2.5,12.61,20.43,19.0,3.17,15.97,25.88,5.0,0.83,4.2,6.81,8.0,1.33,6.72,10.9,5.0,0.83,4.2,6.81,6.0,1.0,5.04,8.17,22.0,3.67,18.49,29.97,3.0,0.5,2.52,4.09,19.0,3.17,15.97,25.88,10.0,1.67,8.4,13.62,12.0,2.0,10.08,16.34,4.0,0.67,3.36,5.45,3.0,0.5,2.52,4.09,13.0,2.17,10.92,17.71,18.0,3.0,15.13,24.52,42.02,35.29,6.72,108.06,8.0,1.33,6.72,26.43,4.41,0.49,0.5,0.56,0.26,0.62,0.17,0.6,0.24,0.88,0.56,3.36,2.52,0.11,15.13,0.17
5,福爾摩沙夢想家,77|89|99|104|107,馬建豪/蔣淯安/盧冠良/貝奇/霍爾曼,1,8,9.0,108.0,1.8,01:48,108.0,1.8,01:48,2.0,2.0,22.22,40.0,8.0,8.0,88.89,160.0,2.0,2.0,22.22,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,22.22,40.0,0.0,0.0,0.0,0.0,2.0,2.0,22.22,40.0,2.0,2.0,22.22,40.0,1.0,1.0,11.11,20.0,1.0,1.0,11.11,20.0,0.0,0.0,0.0,0.0,1.0,1.0,11.11,20.0,2.0,2.0,22.22,40.0,0.0,0.0,0.0,0.0,1.0,1.0,11.11,20.0,0.0,0.0,0.0,0.0,1.0,1.0,11.11,20.0,0.0,0.0,0.0,0.0,22.22,88.89,-66.67,120.0,-6.0,-6.0,-66.67,1.8,1.8,0.0,0.35,,0.0,1.0,0.41,,0.5,1.0,0.67,11.11,0.0,0.11,0.0,1.0
5,高雄全家海神,109|110|118|4181|5948,于煥亞/胡瓏貿/蘇文儒/艾德/克雷格,4,70,85.0,1092.6,18.21,18:13,273.15,4.55,04:33,43.0,10.75,50.59,85.01,43.0,10.75,50.59,85.01,29.0,7.25,34.12,57.33,15.0,3.75,17.65,29.65,16.0,4.0,18.82,31.63,11.0,2.75,12.94,21.75,13.0,3.25,15.29,25.7,4.0,1.0,4.71,7.91,10.0,2.5,11.76,19.77,9.0,2.25,10.59,17.79,5.0,1.25,5.88,9.88,10.0,2.5,11.76,19.77,6.0,1.5,7.06,11.86,8.0,2.0,9.41,15.82,7.0,1.75,8.24,13.84,10.0,2.5,11.76,19.77,3.0,0.75,3.53,5.93,2.0,0.5,2.35,3.95,9.0,2.25,10.59,17.79,5.0,1.25,5.88,9.88,50.59,50.59,0.0,112.03,0.0,0.0,0.0,18.21,4.55,0.59,0.64,0.69,0.31,0.9,0.17,0.67,0.38,0.62,0.52,3.53,2.35,0.11,5.88,0.34
5,高雄全家海神,109|110|119|4181|5948,于煥亞/胡瓏貿/余純安/艾德/克雷格,1,8,8.0,114.0,1.9,01:54,114.0,1.9,01:54,8.0,8.0,100.0,151.58,0.0,0.0,0.0,0.0,4.0,4.0,50.0,75.79,3.0,3.0,37.5,56.84,2.0,2.0,25.0,37.89,1.0,1.0,12.5,18.95,2.0,2.0,25.0,37.89,2.0,2.0,25.0,37.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.5,18.95,0.0,0.0,0.0,0.0,3.0,3.0,37.5,56.84,0.0,0.0,0.0,0.0,3.0,3.0,37.5,56.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,101.05,8.0,8.0,100.0,1.9,1.9,1.0,1.0,0.5,1.0,,0.0,1.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0
5,福爾摩沙夢想家,77|89|99|107|9480,馬建豪/蔣淯安/盧冠良/霍爾曼/龍查,1,3,3.0,56.0,0.93,00:56,56.0,0.93,00:56,0.0,0.0,0.0,0.0,3.0,3.0,100.0,115.71,2.0,2.0,66.67,77.14,0.0,0.0,0.0,0.0,1.0,1.0,33.33,38.57,0.0,0.0,0.0,0.0,1.0,1.0,33.33,38.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,66.67,77.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-100.0,77.14,-3.0,-3.0,-100.0,0.93,0.93,0.0,0.0,0.0,0.0,,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0
5,福爾摩沙夢想家,86|89|99|107|9480,林俊吉/蔣淯安/盧冠良/霍爾曼/龍查,1,6,7.0,96.0,1.6,01:36,96.0,1.6,01:36,4.0,4.0,57.14,90.0,6.0,6.0,85.71,135.0,4.0,4.0,57.14,90.0,2.0,2.0,28.57,45.0,4.0,4.0,57.14,90.0,2.0,2.0,28.57,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.29,22.5,1.0,1.0,14.29,22.5,0.0,0.0,0.0,0.0,1.0,1.0,14.29,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14,85.71,-28.57,105.0,-2.0,-2.0,-28.57,1.6,1.6,0.5,0.5,0.5,,,0.0,0.0,0.5,1.0,0.67,0.0,0.0,0.0,0.0,0.0
