player_id,player_name,team_name,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PM_total,PM_per_game,PM_per100,PACE,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,USG_pct,ORB_pct,DRB_pct,TRB_pct,STL_per100poss,BLK_per100poss,Foul_per_poss,FT_allowed_rate_per100,FT_rate
77,馬建豪,福爾摩沙夢想家,5,627,758.0,10040.0,167.33,167:20,2008.0,33.47,33:28,60.0,12.0,7.92,12.91,62.0,12.4,8.18,13.34,20.0,4.0,2.64,4.3,19.0,3.8,2.51,4.09,11.0,2.2,1.45,2.37,43.0,8.6,5.67,9.25,9.0,1.8,1.19,1.94,17.0,3.4,2.24,3.66,11.0,2.2,1.45,2.37,6.0,1.2,0.79,1.29,12.0,2.4,1.58,2.58,7.0,1.4,0.92,1.51,3.0,0.6,0.4,0.65,0.0,0.0,0.0,0.0,10.0,2.0,1.32,2.15,19.0,3.8,2.51,4.09,91.0,18.2,12.01,19.58,41.42,44.2,-2.77,-21.0,-4.2,-2.77,108.72,0.4,0.43,0.58,0.21,0.65,0.13,0.35,10.49,0.05,0.19,0.1,0.4,0.0,0.03,12.01,0.27
79,張宗憲,福爾摩沙夢想家,5,330,392.0,5328.0,88.8,88:48,1065.6,17.76,17:46,20.0,4.0,5.1,8.11,23.0,4.6,5.87,9.32,6.0,1.2,1.53,2.43,17.0,3.4,4.34,6.89,5.0,1.0,1.28,2.03,6.0,1.2,1.53,2.43,1.0,0.2,0.26,0.41,8.0,1.6,2.04,3.24,7.0,1.4,1.79,2.84,6.0,1.2,1.53,2.43,3.0,0.6,0.77,1.22,4.0,0.8,1.02,1.62,3.0,0.6,0.77,1.22,1.0,0.2,0.26,0.41,6.0,1.2,1.53,2.43,5.0,1.0,1.28,2.03,39.0,7.8,9.95,15.81,41.84,45.92,-4.08,-16.0,-3.2,-4.08,105.95,0.28,0.38,0.29,0.17,0.88,0.18,0.67,8.3,0.1,0.12,0.1,0.77,0.26,0.01,9.95,0.35
86,林俊吉,福爾摩沙夢想家,5,525,629.0,8059.0,134.32,134:19,1611.8,26.86,26:52,66.0,13.2,10.49,17.69,47.0,9.4,7.47,12.6,22.0,4.4,3.5,5.9,23.0,4.6,3.66,6.16,14.0,2.8,2.23,3.75,24.0,4.8,3.82,6.43,8.0,1.6,1.27,2.14,17.0,3.4,2.7,4.56,14.0,2.8,2.23,3.75,4.0,0.8,0.64,1.07,8.0,1.6,1.27,2.14,18.0,3.6,2.86,4.82,7.0,1.4,1.11,1.88,0.0,0.0,0.0,0.0,9.0,1.8,1.43,2.41,15.0,3.0,2.38,4.02,80.0,16.0,12.72,21.44,43.72,41.81,1.91,12.0,2.4,1.91,112.39,0.55,0.61,0.61,0.33,0.82,0.14,0.82,10.09,0.04,0.23,0.09,1.11,0.0,0.02,12.72,0.36
104,貝奇,福爾摩沙夢想家,2,237,284.0,3484.0,58.07,58:04,1742.0,29.03,29:02,14.0,7.0,4.93,8.68,12.0,6.0,4.23,7.44,3.0,1.5,1.06,1.86,3.0,1.5,1.06,1.86,1.0,0.5,0.35,0.62,9.0,4.5,3.17,5.58,2.0,1.0,0.7,1.24,6.0,3.0,2.11,3.72,6.0,3.0,2.11,3.72,2.0,1.0,0.7,1.24,12.0,6.0,4.23,7.44,1.0,0.5,0.35,0.62,2.0,1.0,0.7,1.24,1.0,0.5,0.35,0.62,6.0,3.0,2.11,3.72,11.0,5.5,3.87,6.82,33.0,16.5,11.62,20.46,42.96,45.07,-2.11,-6.0,-3.0,-2.11,117.38,0.33,0.48,0.33,0.22,1.0,0.29,0.33,7.27,0.06,0.46,0.23,0.7,0.35,0.04,11.62,0.5
9480,龍查,福爾摩沙夢想家,5,430,511.0,6805.0,113.42,113:25,1361.0,22.68,22:41,39.0,7.8,7.63,12.38,25.0,5.0,4.89,7.94,15.0,3.0,2.94,4.76,24.0,4.8,4.7,7.62,15.0,3.0,2.94,4.76,1.0,0.2,0.2,0.32,0.0,0.0,0.0,0.0,9.0,1.8,1.76,2.86,9.0,1.8,1.76,2.86,10.0,2.0,1.96,3.17,24.0,4.8,4.7,7.62,7.0,1.4,1.37,2.22,1.0,0.2,0.2,0.32,6.0,1.2,1.17,1.9,11.0,2.2,2.15,3.49,19.0,3.8,3.72,6.03,66.0,13.2,12.92,20.95,38.36,46.77,-8.41,-43.0,-8.6,-8.41,108.13,0.6,0.67,0.62,0.0,1.0,0.28,0.47,7.82,0.11,0.41,0.23,0.2,1.17,0.04,12.92,0.36
110,胡瓏貿,高雄全家海神,12,1497,1771.0,23415.0,390.25,390:15,1951.25,32.52,32:31,171.0,14.25,9.66,15.77,114.0,9.5,6.44,10.52,58.0,4.83,3.27,5.35,47.0,3.92,2.65,4.34,26.0,2.17,1.47,2.4,67.0,5.58,3.78,6.18,32.0,2.67,1.81,2.95,33.0,2.75,1.86,3.04,23.0,1.92,1.3,2.12,10.0,0.83,0.56,0.92,34.0,2.83,1.92,3.14,35.0,2.92,1.98,3.23,8.0,0.67,0.45,0.74,3.0,0.25,0.17,0.28,28.0,2.33,1.58,2.58,36.0,3.0,2.03,3.32,207.0,17.25,11.69,19.1,45.85,45.29,0.56,10.0,0.83,0.56,108.91,0.65,0.67,0.55,0.48,0.7,0.18,0.6,8.84,0.04,0.23,0.1,0.45,0.17,0.02,11.69,0.29
118,蘇文儒,高雄全家海神,11,1288,1534.0,20473.0,341.22,341:13,1861.18,31.02,31:01,108.0,9.82,7.04,11.39,89.0,8.09,5.8,9.39,34.0,3.09,2.22,3.59,42.0,3.82,2.74,4.43,14.0,1.27,0.91,1.48,47.0,4.27,3.06,4.96,20.0,1.82,1.3,2.11,22.0,2.0,1.43,2.32,20.0,1.82,1.3,2.11,18.0,1.64,1.17,1.9,25.0,2.27,1.63,2.64,16.0,1.45,1.04,1.69,15.0,1.36,0.98,1.58,3.0,0.27,0.2,0.32,12.0,1.09,0.78,1.27,45.0,4.09,2.93,4.75,155.0,14.09,10.1,16.35,44.72,45.96,-1.24,-19.0,-1.73,-1.24,107.9,0.49,0.55,0.33,0.43,0.91,0.11,0.47,7.22,0.07,0.21,0.11,0.98,0.2,0.03,10.1,0.25
120,威勝,高雄全家海神,10,1234,1437.0,19075.0,317.92,317:55,1907.5,31.79,31:48,123.0,12.3,8.56,13.93,103.0,10.3,7.17,11.66,42.0,4.2,2.92,4.76,45.0,4.5,3.13,5.1,21.0,2.1,1.46,2.38,58.0,5.8,4.04,6.57,21.0,2.1,1.46,2.38,45.0,4.5,3.13,5.1,18.0,1.8,1.25,2.04,20.0,2.0,1.39,2.26,86.0,8.6,5.98,9.74,33.0,3.3,2.3,3.74,17.0,1.7,1.18,1.93,12.0,1.2,0.84,1.36,27.0,2.7,1.88,3.06,30.0,3.0,2.09,3.4,158.0,15.8,11.0,17.89,41.68,44.82,-3.13,-45.0,-4.5,-3.13,108.48,0.51,0.5,0.47,0.36,0.4,0.18,0.79,10.42,0.08,0.54,0.25,1.18,0.84,0.02,11.0,0.44
124,邱子軒,高雄全家海神,12,1256,1491.0,19670.0,327.83,327:50,1639.17,27.32,27:19,97.0,8.08,6.51,10.65,99.0,8.25,6.64,10.87,36.0,3.0,2.41,3.95,46.0,3.83,3.09,5.05,26.0,2.17,1.74,2.86,53.0,4.42,3.55,5.82,10.0,0.83,0.67,1.1,22.0,1.83,1.48,2.42,15.0,1.25,1.01,1.65,8.0,0.67,0.54,0.88,26.0,2.17,1.74,2.86,29.0,2.42,1.95,3.18,22.0,1.83,1.48,2.42,3.0,0.25,0.2,0.33,13.0,1.08,0.87,1.43,24.0,2.0,1.61,2.64,166.0,13.83,11.13,18.23,42.12,42.72,-0.6,-9.0,-0.75,-0.6,109.15,0.41,0.45,0.57,0.19,0.68,0.11,0.81,8.16,0.03,0.23,0.09,1.48,0.2,0.02,11.13,0.22
5948,克雷格,高雄全家海神,12,1643,1948.0,25639.0,427.32,427:19,2136.58,35.61,35:37,227.0,18.92,11.65,19.12,165.0,13.75,8.47,13.9,77.0,6.42,3.95,6.49,101.0,8.42,5.18,8.51,58.0,4.83,2.98,4.89,64.0,5.33,3.29,5.39,19.0,1.58,0.98,1.6,67.0,5.58,3.44,5.64,54.0,4.5,2.77,4.55,18.0,1.5,0.92,1.52,49.0,4.08,2.52,4.13,51.0,4.25,2.62,4.3,18.0,1.5,0.92,1.52,5.0,0.42,0.26,0.42,42.0,3.5,2.16,3.54,41.0,3.42,2.1,3.45,222.0,18.5,11.4,18.7,45.43,45.07,0.36,7.0,0.58,0.36,109.41,0.52,0.58,0.57,0.3,0.81,0.18,0.66,12.14,0.06,0.28,0.14,0.92,0.26,0.02,11.4,0.41
